Player,Pos,combine_year,NFL_production_value
Harrison Smith,S,2012,1580.8
Eric Weddle,S,2007,1509.9
Thomas Davis,S,2005,1469.0
Malcolm Jenkins,CB,2009,1384.7
Terence Newman,CB,2003,1382.8999999999999
Devin McCourty,CB,2010,1324.6
Charles Tillman,CB,2003,1316.0
Kareem Jackson,CB,2010,1278.3
DeAngelo Hall,CB,2004,1229.8
Jordan Poyer,CB,2013,1227.3
Nate Clements,CB,2001,1221.7
Budda Baker,S,2017,1183.6000000000001
Reggie Nelson,S,2007,1173.6
Troy Polamalu,S,2003,1122.8000000000002
Ed Reed,S,2002,1121.4
Deon Grant,S,2000,1112.5
Donte Whitner,S,2006,1102.1999999999998
Quentin Jammer,CB,2002,1090.6000000000001
Antrel Rolle,CB,2005,1084.1
Darius Slay,CB,2013,1076.7
Logan Ryan,CB,2013,1053.7
Roman Harper,S,2006,1053.5
Jessie Bates,S,2018,1044.7
Michael Griffin,S,2007,1035.1
Patrick Peterson,CB,2011,1030.7
