score_bin,players,score_mean,proxy_outcome_mean
0,342,3.4815789473684204,1.4926900584795322
1,336,9.981696428571428,5.174107142857143
2,338,18.523076923076925,11.068047337278106
3,338,28.903846153846153,18.488165680473372
4,339,42.059439528023596,28.536873156342182
5,339,56.11371681415929,38.77138643067847
6,338,69.83979289940828,49.19082840236686
7,338,84.99630177514793,60.55917159763314
8,337,124.68991097922849,87.13056379821958
9,339,474.832005899705,337.05162241887905
