Player,Pos,combine_year,NFL_production_value
Harrison Smith,S,2012,1245.4999999999998
Eric Weddle,S,2007,1177.5
Thomas Davis,S,2005,1151.3999999999999
Terence Newman,CB,2003,1098.1
Malcolm Jenkins,CB,2009,1084.8
Devin McCourty,CB,2010,1049.3
Charles Tillman,CB,2003,1025.6
Kareem Jackson,CB,2010,1007.1999999999999
Jordan Poyer,CB,2013,971.2
DeAngelo Hall,CB,2004,969.6999999999998
Nate Clements,CB,2001,964.8999999999999
Reggie Nelson,S,2007,937.0
Ed Reed,S,2002,913.8
Budda Baker,S,2017,906.0999999999999
Troy Polamalu,S,2003,888.6999999999999
Deon Grant,S,2000,885.3
Quentin Jammer,CB,2002,860.5
Darius Slay,CB,2013,857.1999999999999
Donte Whitner,S,2006,855.4
Antrel Rolle,CB,2005,852.6999999999999
Patrick Peterson,CB,2011,842.3
Roman Harper,S,2006,830.0
Logan Ryan,CB,2013,830.0
Michael Griffin,S,2007,819.7999999999998
Jessie Bates,S,2018,811.7
