Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional,NFL_id
Johnathan Abram,S,Mississippi State,College Stats,5-11,205,4.45,,,116.0,,,Oakland Raiders / 1st / 27th pick / 2019,AbraJo01,3728305
Paul Adams,OT,Missouri,College Stats,6-6,317,5.18,27.0,16.0,103.0,7.68,4.74,,AdamPa01,N/A
Nasir Adderley,S,Delaware,,6-0,206,,,,,,,Los Angeles Chargers / 2nd / 60th pick / 2019,AddeNa00,3912028
Azeez Al-Shaair,LB,Florida Atlantic,College Stats,6-1,234,,,16.0,,,,,AlShAz00,3919117
Otaro Alaka,LB,Texas A&M,College Stats,6-3,239,4.82,36.0,20.0,131.0,,,,AlakOt01,3122141
Dakota Allen,LB,Texas Tech,College Stats,6-1,232,4.77,31.5,23.0,116.0,6.88,4.04,Los Angeles Rams / 7th / 251st pick / 2019,AlleDa01,3139453
Josh Allen,EDGE,Kentucky,College Stats,6-5,262,4.63,,28.0,118.0,7.15,4.23,Jacksonville Jaguars / 1st / 7th pick / 2019,AlleJo03,N/A
Zach Allen,DL,Boston Col.,College Stats,6-4,281,5.0,32.0,24.0,112.0,7.34,4.36,Arizona Cardinals / 3rd / 65th pick / 2019,AlleZa01,3915282
Bryson Allen-Williams,LB,South Carolina,College Stats,6-1,236,4.88,,14.0,,7.4,,,AlleBr03,N/A
Jeff Allison,LB,Fresno State,College Stats,5-11,228,4.82,31.0,12.0,115.0,7.2,4.45,,AlliJe00,N/A
Ugo Amadi,S,Oregon,College Stats,5-9,199,4.51,32.5,18.0,115.0,7.21,4.19,Seattle Seahawks / 4th / 132nd pick / 2019,AmadUg00,3886834
Rodney Anderson,RB,Oklahoma,College Stats,6-0,224,,,25.0,,,,Cincinnati Bengals / 6th / 211th pick / 2019,AndeRo02,N/A
J.J. Arcega-Whiteside,WR,Stanford,College Stats,6-2,225,,,,,,,Philadelphia Eagles / 2nd / 57th pick / 2019,ArceJJ00,3931397
Ryquell Armstead,RB,Temple,College Stats,5-11,220,4.45,30.0,22.0,114.0,7.02,4.29,Jacksonville Jaguars / 5th / 140th pick / 2019,ArmsRy00,3923397
Blessuan Austin,CB,Rutgers,College Stats,6-1,198,,,15.0,,,,New York Jets / 6th / 196th pick / 2019,AustBl00,N/A
Jake Bailey,P,Stanford,College Stats,6-1,200,4.72,33.0,,117.0,,,New England Patriots / 5th / 163rd pick / 2019,BailJa00,3931395
Zack Bailey,OL,South Carolina,College Stats,6-5,299,,28.0,24.0,103.0,,,,BailZa01,N/A
Derrick Baity,CB,Kentucky,College Stats,6-2,197,,38.5,10.0,127.0,7.06,4.31,,BaitDe01,N/A
Deandre Baker,CB,Georgia,College Stats,5-11,193,4.52,,14.0,118.0,,,New York Giants / 1st / 30th pick / 2019,BakeDe00,3915163
Corey Ballentine,CB,Washburn,,5-11,196,4.47,39.5,15.0,135.0,6.82,4.14,New York Giants / 6th / 180th pick / 2019,BallCo00,4411769
Ben Banogu,EDGE,TCU,College Stats,6-3,250,4.62,40.0,23.0,134.0,7.02,4.27,Indianapolis Colts / 2nd / 49th pick / 2019,BanoBe00,3124970
Alex Barnes,RB,Kansas State,College Stats,6-0,226,4.59,38.5,34.0,126.0,6.95,4.1,,BarnAl01,N/A
Alex Bars,OL,Notre Dame,College Stats,6-6,312,,,,,,,,BarsAl01,3129290
Cody Barton,LB,Utah,College Stats,6-2,237,4.64,32.5,30.0,116.0,6.9,4.03,Seattle Seahawks / 3rd / 88th pick / 2019,BartCo00,3926229
Jackson Barton,OT,Utah,College Stats,6-7,310,5.18,27.0,25.0,109.0,7.85,4.66,Indianapolis Colts / 7th / 240th pick / 2019,BartJa00,N/A
Ryan Bates,OL,Penn State,College Stats,6-4,306,5.09,27.0,28.0,102.0,7.45,4.53,,BateRy02,N/A
John Battle,S,LSU,College Stats,6-0,201,4.67,29.5,,120.0,7.09,4.33,,BattJo01,N/A
Terry Beckner,DL,Missouri,College Stats,6-4,296,5.19,24.5,28.0,98.0,7.97,4.82,Tampa Bay Buccaneers / 7th / 215th pick / 2019,BeckTe00,N/A
Mike Bell,S,Fresno State,College Stats,6-3,210,4.83,30.0,10.0,118.0,7.1,4.46,,BellMi01,N/A
Beau Benzschawel,OL,Wisconsin,College Stats,6-6,309,5.24,,20.0,,,,,BenzBe01,N/A
Marquise Blair,S,Utah,College Stats,6-1,195,4.48,35.0,,125.0,,,Seattle Seahawks / 2nd / 47th pick / 2019,BlaiMa01,4243244
Kendall Blanton,TE,Missouri,College Stats,6-6,262,4.95,31.0,22.0,113.0,7.37,4.42,,BlanKe01,3122103
Nick Bosa,DL,Ohio State,College Stats,6-4,266,4.79,33.5,29.0,116.0,7.1,4.14,San Francisco 49ers / 1st / 2nd pick / 2019,BosaNi00,4040605
Kris Boyd,CB,Texas,College Stats,5-11,201,4.45,36.5,19.0,127.0,6.94,4.08,Minnesota Vikings / 7th / 217th pick / 2019,BoydKr00,3929845
Miles Boykin,WR,Notre Dame,College Stats,6-4,220,4.42,43.5,12.0,140.0,6.77,4.07,Baltimore Ravens / 3rd / 93rd pick / 2019,BoykMi00,3932423
Garrett Bradbury,OL,North Carolina State,College Stats,6-3,306,4.92,31.0,34.0,104.0,7.41,4.53,Minnesota Vikings / 1st / 18th pick / 2019,BradGa00,3116729
Tyre Brady,WR,Marshall,College Stats,6-3,211,,32.0,12.0,117.0,,4.25,,BradTy00,N/A
Jordan Brailford,EDGE,Oklahoma State,College Stats,6-3,252,4.65,37.5,22.0,126.0,,,Washington Redskins / 7th / 253rd pick / 2019,BraiJo00,3122420
