Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional,NFL_id
Cal Adomitis,LS,Pittsburgh,College Stats,6-2,235,4.97,29.5,18.0,107.0,7.53,4.62,,AdomCa00,4240719
Austin Allen,TE,Nebraska,College Stats,6-8,253,4.83,34.0,,121.0,7.0,4.26,,AlleAu00,N/A
Chase Allen,TE,Iowa St.,College Stats,6-6,251,,33.5,,117.0,7.03,4.43,,AlleCh03,2975680
Christopher Allen,EDGE,Alabama,College Stats,6-4,241,,,,,,,,AlleCh04,N/A
Tyler Allgeier,RB,BYU,College Stats,5-11,224,4.6,33.0,,120.0,,,Atlanta Falcons / 5th / 151st pick / 2022,AllgTy00,4373626
Troy Andersen,LB,Montana St.,,6-4,243,4.42,36.0,,128.0,,,Atlanta Falcons / 2nd / 58th pick / 2022,AndeTr00,4247807
Tycen Anderson,S,Toledo,College Stats,6-2,209,4.36,35.5,,123.0,6.64,4.28,Cincinnati Bengals / 5th / 166th pick / 2022,AndeTy00,4257240
Blaise Andries,OG,Minnesota,,6-6,308,5.1,30.5,,106.0,7.84,4.68,,-9999,N/A
Matt Araiza,P,San Diego St.,College Stats,6-1,200,4.68,32.0,,121.0,,,Buffalo Bills / 6th / 180th pick / 2022,AraiMa00,4361496
Jalyn Armour-Davis,CB,Alabama,College Stats,6-1,197,4.39,34.5,14.0,,,,Baltimore Ravens / 4th / 119th pick / 2022,ArmoJa00,4372017
Brian Asamoah,LB,Oklahoma,College Stats,6-0,226,4.56,36.5,,124.0,,,Minnesota Vikings / 3rd / 66th pick / 2022,AsamBr00,4360255
Calvin Austin,WR,Memphis,College Stats,5-8,170,4.32,39.0,,135.0,6.65,4.07,Pittsburgh Steelers / 4th / 138th pick / 2022,AustCa00,4243389
Tyler Badie,RB,Missouri,College Stats,5-8,197,4.45,33.5,,121.0,,,Baltimore Ravens / 6th / 196th pick / 2022,BadiTy00,4362748
Kalon Barnes,CB,Baylor,College Stats,6-0,183,4.23,,,,,,Carolina Panthers / 7th / 242nd pick / 2022,BarnKa00,N/A
Amaré Barno,EDGE,Virginia Tech,College Stats,6-5,246,4.36,37.0,,131.0,,4.45,Carolina Panthers / 6th / 189th pick / 2022,BarnAm00,4568439
Darrian Beavers,LB,Cincinnati,College Stats,6-4,237,,36.5,,125.0,6.91,,New York Giants / 6th / 182nd pick / 2022,BeavDa00,N/A
Markquese Bell,S,Florida A&M,,6-2,212,4.41,36.5,,123.0,,4.46,,-9999,4241921
David Bell,WR,Purdue,College Stats,6-1,212,4.65,33.0,,118.0,7.14,4.57,Cleveland Browns / 3rd / 99th pick / 2022,BellDa02,4570409
Greg Bell,RB,San Diego St.,College Stats,5-11,201,,31.0,17.0,120.0,,,,BellGr01,N/A
Daniel Bellinger,TE,San Diego St.,College Stats,6-5,253,4.63,34.5,22.0,125.0,7.05,4.47,New York Giants / 4th / 112th pick / 2022,BellDa00,4361516
Dane Belton,S,Iowa,College Stats,6-1,205,4.43,36.5,,123.0,7.01,4.24,New York Giants / 4th / 114th pick / 2022,BeltDa00,4426686
Terrel Bernard,LB,Baylor,College Stats,6-1,224,,35.5,22.0,123.0,7.03,4.25,Buffalo Bills / 3rd / 89th pick / 2022,BernTe00,4259166
Bubba Bolden,S,Miami,College Stats,6-2,209,4.47,,,116.0,,,,BoldBu00,N/A
Slade Bolden,WR,Alabama,College Stats,5-11,193,4.66,32.0,,116.0,,,,BoldSl00,N/A
Nik Bonitto,EDGE,Oklahoma,College Stats,6-3,248,4.54,35.5,,120.0,7.07,4.23,Denver Broncos / 2nd / 64th pick / 2022,BoniNi00,4360259
Thomas Booker,DT,Stanford,College Stats,6-3,301,4.94,,,110.0,7.33,4.41,Houston Texans / 5th / 150th pick / 2022,BookTh00,4360749
Andrew Booth,CB,Clemson,College Stats,6-0,194,,,,,,,Minnesota Vikings / 2nd / 42nd pick / 2022,BootAn00,4426344
Max Borghi,RB,Washington St.,College Stats,5-9,210,,,20.0,,,,,BorgMa00,N/A
Jaquan Brisker,S,Penn St.,College Stats,6-1,199,4.49,34.5,22.0,124.0,,,Chicago Bears / 2nd / 48th pick / 2022,BrisJa01,4570044
Gabe Brkic,K,Oklahoma,College Stats,6-2,197,,,,,,,,BrkiGa00,N/A
Kennedy Brooks,RB,Oklahoma,College Stats,5-11,209,4.59,31.0,,120.0,,,,BrooKe01,N/A
Ben Brown,C,Mississippi,College Stats,6-5,312,,,,,,,,BrowBe01,4362890
Leddie Brown,RB,West Virginia,College Stats,6-0,213,4.64,30.0,,118.0,,,,BrowLe03,N/A
Montaric Brown,CB,Arkansas,College Stats,6-0,196,4.55,,,,,,Jacksonville Jaguars / 7th / 222nd pick / 2022,BrowMo00,4242149
Logan Bruss,OG,Wisconsin,College Stats,6-5,309,5.32,31.0,,112.0,7.57,4.55,Los Angeles Rams / 3rd / 104th pick / 2022,BrusLo00,N/A
Coby Bryant,CB,Cincinnati,College Stats,6-1,193,4.54,,17.0,,,,Seattle Seahawks / 4th / 109th pick / 2022,BryaCo01,4239094
Spencer Burford,OG,Texas-San Antonio,College Stats,6-4,304,5.19,27.5,,105.0,,4.73,San Francisco 49ers / 4th / 134th pick / 2022,BurfSp00,4362999
Treylon Burks,WR,Arkansas,College Stats,6-2,225,4.55,33.0,,122.0,7.28,,Tennessee Titans / 1st / 18th pick / 2022,BurkTr00,4567156
Darien Butler,LB,Arizona St.,College Stats,5-10,221,,,,,7.47,,,ButlDa00,4360466
Matthew Butler,DT,Tennessee,College Stats,6-4,297,5.0,32.0,17.0,112.0,7.89,4.81,Las Vegas Raiders / 5th / 175th pick / 2022,ButlMa02,4242457
Percy Butler,S,Louisiana,College Stats,6-0,194,4.36,31.5,,123.0,,,Washington Commanders / 4th / 113th pick / 2022,ButlPe00,4363097
Grant Calcaterra,TE,SMU,College Stats,6-4,241,4.62,,20.0,,,,Philadelphia Eagles / 6th / 198th pick / 2022,CalcGr00,4241374
Jake Camarda,P,Georgia,College Stats,6-1,193,4.56,,,,,,Tampa Bay Buccaneers / 4th / 133rd pick / 2022,CamaJa00,4379396
Chance Campbell,LB,Mississippi,College Stats,6-2,232,4.57,39.5,,127.0,,,Tennessee Titans / 6th / 219th pick / 2022,CampCh02,4372051
Ja'Tyre Carter,OG,Southern,,6-3,311,5.13,30.0,,108.0,7.84,4.9,Chicago Bears / 7th / 226th pick / 2022,CartJa04,N/A
