Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional,NFL_id
JC Latham,OT,Alabama,College Stats,6-6,342,,,,,,,Tennessee Titans / 1st / 7th pick / 2024,LathJC00,N/A
Laiatu Latu,EDGE,UCLA,College Stats,6-5,259,4.64,32.0,,116.0,,,Indianapolis Colts / 1st / 15th pick / 2024,LatuLa00,4426473
Dylan Laube,RB,New Hampshire,,5-10,206,4.54,37.0,23.0,118.0,6.84,4.02,,-9999,4366963
Sataoa Laumea,G,Utah,College Stats,6-4,319,,26.0,,104.0,,,Seattle Seahawks / 6th / 179th pick / 2024,LaumSa00,N/A
Devin Leary,QB,Kentucky,College Stats,6-1,215,,,,,,,Baltimore Ravens / 6th / 218th pick / 2024,LearDe00,N/A
Matt Lee,C,Miami,,6-4,301,5.03,31.0,,111.0,,,,-9999,N/A
Logan Lee,DT,Iowa,College Stats,6-5,281,5.05,31.5,25.0,114.0,7.16,4.37,Pittsburgh Steelers / 6th / 178th pick / 2024,LeexLo00,4569474
Xavier Legette,WR,South Carolina,College Stats,6-1,221,4.39,40.0,,126.0,,,Carolina Panthers / 1st / 32nd pick / 2024,LegeXa00,4430034
Kaitori Leveston,G,Kansas St.,College Stats,6-4,326,5.38,27.5,,108.0,,4.89,,-9999,N/A
Beaux Limmer,C,Arkansas,College Stats,6-5,302,5.22,36.5,,110.0,7.47,4.57,Los Angeles Rams / 6th / 217th pick / 2024,LimmBe00,4567175
Cam Little,K,Arkansas,College Stats,6-1,172,,,,,,,Jacksonville Jaguars / 6th / 212th pick / 2024,LittCa00,4686361
Marist Liufau,LB,Notre Dame,College Stats,6-2,234,4.64,,,,,,Dallas Cowboys / 3rd / 87th pick / 2024,LiufMa00,4427816
MarShawn Lloyd,RB,USC,College Stats,5-9,220,4.46,36.0,25.0,118.0,,,Green Bay Packers / 3rd / 88th pick / 2024,LloyMa00,4429023
Zion Logue,DT,Georgia,College Stats,6-6,314,5.14,29.0,,109.0,,4.92,Atlanta Falcons / 6th / 197th pick / 2024,LoguZi00,4427826
Jordan Magee,LB,Temple,College Stats,6-1,228,4.55,35.5,,124.0,,,Washington Commanders / 5th / 139th pick / 2024,MageJo00,4568617
Christian Mahogany,G,Boston Col.,College Stats,6-3,314,5.13,32.5,,109.0,7.81,4.53,Detroit Lions / 6th / 210th pick / 2024,MahoCh00,N/A
Drake Maye,QB,North Carolina,College Stats,6-4,223,,,,,,,New England Patriots / 1st / 3rd pick / 2024,MayeDr00,4431452
Luke McCaffrey,WR,Rice,College Stats,6-2,198,4.46,36.0,,121.0,6.7,4.02,Washington Commanders / 3rd / 100th pick / 2024,McCaLu00,4426948
J.J. McCarthy,QB,Michigan,College Stats,6-3,219,,,,,6.82,4.23,Minnesota Vikings / 1st / 10th pick / 2024,McCaJJ00,4433970
Jase McClellan,RB,Alabama,College Stats,5-10,221,,,20.0,,,,Atlanta Falcons / 6th / 186th pick / 2024,McClJa05,4429001
Ladd McConkey,WR,Georgia,College Stats,6-0,186,4.39,36.0,13.0,124.0,,,Los Angeles Chargers / 2nd / 34th pick / 2024,McCoLa00,4612826
Mason McCormick,G,South Dakota St.,,6-4,309,5.08,35.5,,117.0,7.59,4.45,,-9999,4368304
Dwight McGlothern,CB,Arkansas,College Stats,6-2,185,4.47,32.0,,115.0,,,,McGlDw00,N/A
Braiden McGregor,EDGE,Michigan,College Stats,6-5,257,,,,,,,,McGrBr00,4429005
Kool-Aid McKinstry,CB,Alabama,College Stats,6-0,199,,,,,,,New Orleans Saints / 2nd / 41st pick / 2024,McKiKo00,4433975
Tanner McLachlan,TE,Arizona,College Stats,6-5,244,4.61,35.0,,117.0,,,Cincinnati Bengals / 6th / 194th pick / 2024,McLaTa00,N/A
Dylan McMahon,C,North Carolina St.,College Stats,6-3,299,5.1,33.0,,115.0,7.26,4.33,Philadelphia Eagles / 6th / 190th pick / 2024,McMaDy00,N/A
Jalen McMillan,WR,Washington,College Stats,6-1,197,4.47,37.0,,127.0,6.94,4.18,Tampa Bay Buccaneers / 3rd / 92nd pick / 2024,McMiJa01,4430834
Patrick McMorris,SAF,California,College Stats,6-0,207,,31.0,14.0,112.0,,,,-9999,4430158
