Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional,NFL_id
Mehdi Abdesmad,DE,Boston Col.,College Stats,6-6,284,5.1,29.5,25.0,108.0,7.55,4.62,,AbdeMe00,2576467
Vernon Adams,QB,Oregon,College Stats,5-11,200,4.83,29.5,,114.0,6.82,4.2,,-9999,N/A
Jerell Adams,TE,South Carolina,College Stats,6-5,247,4.64,32.5,,117.0,7.05,4.31,New York Giants / 6th / 184th pick / 2016,AdamJe01,2978727
Bralon Addison,WR,Oregon,College Stats,5-9,197,4.66,34.5,13.0,116.0,6.95,4.14,,AddiBr01,2971271
Roberto Aguayo,K,Florida State,College Stats,6-0,207,4.96,,,,,,Tampa Bay Buccaneers / 2nd / 59th pick / 2016,AguaRo00,2978887
Dominique Alexander,ILB,Oklahoma,College Stats,6-0,232,4.64,28.5,17.0,104.0,,,,AlexDo01,3052651
Mackensie Alexander,CB,Clemson,College Stats,5-10,190,4.43,,11.0,,,,Minnesota Vikings / 2nd / 54th pick / 2016,AlexMa01,3045120
Vadal Alexander,OT,LSU,College Stats,6-5,326,5.57,24.0,25.0,95.0,8.04,4.9,Oakland Raiders / 7th / 234th pick / 2016,AlexVa00,N/A
Brandon Allen,QB,Arkansas,College Stats,6-1,217,4.84,28.0,,110.0,7.06,4.33,Jacksonville Jaguars / 6th / 201st pick / 2016,AlleBr00,2574511
Jack Allen,C,Michigan State,College Stats,6-1,294,5.29,26.5,23.0,101.0,7.9,4.73,,AlleJa03,N/A
Geronimo Allison,WR,Illinois,College Stats,6-3,196,4.67,33.0,,127.0,7.4,4.28,,AlliGe01,3115913
Stephen Anderson,TE,California,College Stats,6-2,230,4.59,38.0,16.0,119.0,,,,AndeSt01,2576854
Eli Apple,CB,Ohio State,College Stats,6-1,199,4.4,,13.0,,,,New York Giants / 1st / 10th pick / 2016,ApplEl00,3040506
Demarcus Ayers,WR,Houston,College Stats,5-9,182,4.72,33.0,,123.0,,,Pittsburgh Steelers / 7th / 229th pick / 2016,AyerDe00,3040026
Sterling Bailey,DE,Georgia,College Stats,6-4,285,5.23,30.0,20.0,111.0,7.46,4.73,,-9999,N/A
Peyton Barber,RB,Auburn,College Stats,5-10,228,4.64,32.5,20.0,111.0,7.0,4.21,,BarbPe01,3051902
Jimmy Bean,DE,Oklahoma State,College Stats,6-5,264,4.87,,20.0,,,,,BeanJi01,N/A
Willie Beavers,OT,West. Michigan,College Stats,6-5,321,5.28,25.5,20.0,103.0,7.96,4.71,Minnesota Vikings / 4th / 121st pick / 2016,BeavWi00,N/A
Vonn Bell,S,Ohio State,College Stats,5-11,199,4.52,,16.0,,,,New Orleans Saints / 2nd / 61st pick / 2016,BellVo00,3051388
Caleb Benenoch,OT,UCLA,College Stats,6-5,311,4.98,28.0,,104.0,8.15,5.11,Tampa Bay Buccaneers / 5th / 148th pick / 2016,BeneCa00,3047575
