Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional,NFL_id
Darrell Adams,DE,Villanova,,6-5,277,5.0,27.0,22.0,109.0,7.91,4.76,,-9999,N/A
Titus Adams,DT,Nebraska,College Stats,6-3,306,5.07,30.5,15.0,103.0,7.49,4.54,New York Jets / 7th / 220th pick / 2006,AdamTi00,9806
Jahmile Addae,S,West Virginia,College Stats,5-10,214,4.7,38.5,,122.0,,,,-9999,N/A
Joseph Addai,RB,LSU,College Stats,5-11,214,4.4,38.5,18.0,125.0,7.09,4.47,Indianapolis Colts / 1st / 30th pick / 2006,AddaJo00,9616
Victor Adeyanju,DE,Indiana,College Stats,6-4,274,4.86,32.0,22.0,112.0,7.37,4.41,St. Louis Rams / 4th / 113th pick / 2006,AdeyVi20,9699
Jason Allen,S,Tennessee,College Stats,6-1,209,4.39,39.5,17.0,131.0,6.75,3.81,Miami Dolphins / 1st / 16th pick / 2006,AlleJa23,9602
Jon Alston,OLB,Stanford,College Stats,6-1,223,4.5,40.0,30.0,132.0,6.9,4.13,St. Louis Rams / 3rd / 77th pick / 2006,AlstJo20,9663
Sir Henry Anderson,DT,Oregon State,College Stats,6-4,306,5.19,28.5,27.0,100.0,7.69,4.55,,-9999,N/A
David Anderson,WR,Colorado State,College Stats,5-10,192,4.57,34.0,,116.0,6.88,4.2,Houston Texans / 7th / 251st pick / 2006,AndeDa01,9837
James Anderson,OLB,Virginia Tech,College Stats,6-3,229,4.59,41.0,,121.0,6.67,4.07,Carolina Panthers / 3rd / 88th pick / 2006,AndeJa21,9674
Mark Anderson,DE,Alabama,College Stats,6-4,254,4.62,42.0,20.0,127.0,6.95,4.22,Chicago Bears / 5th / 159th pick / 2006,AndeMa21,9745
Willie Andrews,S,Baylor,College Stats,5-9,193,4.43,36.5,7.0,124.0,6.99,4.27,New England Patriots / 7th / 229th pick / 2006,AndrWi20,9815
Devin Aromashodu,WR,Auburn,College Stats,6-2,201,4.35,39.0,,120.0,7.04,4.16,Miami Dolphins / 7th / 233rd pick / 2006,AromDe00,9819
Miles Austin,WR,Monmouth (NJ),,6-2,215,4.47,40.5,21.0,123.0,7.09,4.14,,AustMi00,10147
Jason Avant,WR,Michigan,College Stats,6-0,212,4.62,37.0,20.0,118.0,,,Philadelphia Eagles / 4th / 109th pick / 2006,AvanJa00,9695
Brett Basanez,QB,Northwestern,College Stats,6-1,220,4.76,34.0,,114.0,6.75,4.22,,BasaBr00,9858
Hank Baskett,WR,New Mexico,College Stats,6-3,224,4.5,35.0,,119.0,6.79,4.17,,BaskHa00,9859
Danny Baugher,P,Arizona,College Stats,5-10,194,,,,,,,,-9999,N/A
Mike Bell,RB,Arizona,College Stats,6-0,221,4.6,31.5,19.0,112.0,7.16,4.21,,BellMi00,9864
Charles Bennett,DE,Clemson,College Stats,6-4,258,4.7,33.5,19.0,115.0,7.48,4.52,Tampa Bay Buccaneers / 7th / 241st pick / 2006,BennCh21,9827
Matt Bernstein,FB,Wisconsin,College Stats,6-0,260,4.91,29.5,22.0,110.0,7.46,4.5,,-9999,N/A
Antoine Bethea,S,Howard,,5-11,203,4.39,36.5,19.0,127.0,6.99,4.11,Indianapolis Colts / 6th / 207th pick / 2006,BethAn20,9793
Troy Bienemann,TE,Washington State,College Stats,6-5,256,4.8,,,,,,,BienTr00,10443
Damarius Bilbo,WR,Georgia Tech,College Stats,6-2,214,4.7,36.5,19.0,115.0,6.9,4.18,,-9999,N/A
Darnell Bing,S,USC,College Stats,6-2,227,4.53,34.0,17.0,120.0,7.25,4.07,Oakland Raiders / 4th / 101st pick / 2006,BingDa00,9687
Will Blackmon,CB,Boston Col.,College Stats,6-0,198,4.47,41.0,,133.0,6.67,4.23,Green Bay Packers / 4th / 115th pick / 2006,BlacWi20,9701
Jeremy Bloom,WR,Colorado,,5-9,173,4.49,,,,,,Philadelphia Eagles / 5th / 147th pick / 2006,-9999,N/A
Greg Blue,S,Georgia,College Stats,6-2,216,4.57,37.5,16.0,120.0,,,Minnesota Vikings / 5th / 149th pick / 2006,BlueGr20,9735
Kevin Boothe,OT,Cornell,,6-5,316,5.41,31.5,23.0,98.0,8.36,5.07,Oakland Raiders / 6th / 176th pick / 2006,BootKe20,9762
Jovon Bouknight,WR,Wyoming,College Stats,6-1,195,4.71,34.0,,120.0,6.93,4.03,,-9999,N/A
McKinley Boykin,DT,Mississippi,College Stats,6-1,289,5.01,30.5,30.0,109.0,,4.75,,BoykMc99,9878
Trent Bray,ILB,Oregon State,College Stats,6-1,231,4.9,32.0,18.0,109.0,7.15,4.41,,-9999,N/A
Darrell Brooks,S,Arizona,College Stats,6-0,198,4.61,36.5,7.0,125.0,6.97,4.36,,-9999,N/A
Manaia Brown,DT,BYU,College Stats,6-3,301,5.1,34.5,21.0,111.0,7.63,4.47,,-9999,N/A
Copeland Bryan,DE,Arizona,College Stats,6-4,253,4.9,33.0,16.0,117.0,7.11,4.3,,BryaCo99,10357
Daniel Bullocks,S,Nebraska,College Stats,6-0,212,4.38,38.0,18.0,124.0,6.91,4.16,Detroit Lions / 2nd / 40th pick / 2006,BullDa20,9626
Brodrick Bunkley,DT,Florida State,College Stats,6-3,306,5.01,32.5,44.0,113.0,,,Philadelphia Eagles / 1st / 14th pick / 2006,BunkBr20,9600
Reggie Bush,RB,USC,College Stats,5-11,201,4.37,,,,,,New Orleans Saints / 1st / 2nd pick / 2006,BushRe00,9588
Brad Butler,OT,Virginia,College Stats,6-7,310,5.29,,,,,,Buffalo Bills / 5th / 143rd pick / 2006,ButlBr20,9729
Rashad Butler,OT,Miami (FL),College Stats,6-5,293,5.3,28.0,16.0,106.0,7.9,4.55,Carolina Panthers / 3rd / 89th pick / 2006,ButlRa20,9729
Dominique Byrd,TE,USC,College Stats,6-3,255,4.79,,,,,,St. Louis Rams / 3rd / 93rd pick / 2006,ByrdDo00,9679
Brian Calhoun,RB,Wisconsin,College Stats,5-9,201,4.57,31.5,18.0,124.0,7.05,4.2,Detroit Lions / 3rd / 74th pick / 2006,CalhBr00,9660
Bobby Carpenter,OLB,Ohio State,College Stats,6-2,256,4.65,,,,,,Dallas Cowboys / 1st / 18th pick / 2006,CarpBo20,9604
Jason Carter,WR,Texas A&M,College Stats,6-0,211,4.6,33.0,,116.0,6.89,4.21,,CartJa00,N/A
Chris Chester,C,Oklahoma,College Stats,6-3,303,4.83,31.5,27.0,106.0,7.31,4.5,Baltimore Ravens / 2nd / 56th pick / 2006,ChesCh21,9642
Jeromey Clary,OT,Kansas State,College Stats,6-6,309,5.28,26.0,24.0,102.0,7.8,4.63,San Diego Chargers / 6th / 187th pick / 2006,ClarJe20,9773
Kellen Clemens,QB,Oregon,College Stats,6-2,224,4.89,,,,,,New York Jets / 2nd / 49th pick / 2006,ClemKe00,9635
Barry Cofield,DT,Northwestern,College Stats,6-4,304,4.95,34.0,35.0,105.0,7.43,4.35,New York Giants / 4th / 124th pick / 2006,CofiBa20,9710
Daryn Colledge,OT,Boise State,,6-4,299,5.05,32.5,21.0,110.0,7.43,4.58,Green Bay Packers / 2nd / 47th pick / 2006,CollDa20,9633
Marques Colston,WR,Hofstra,,6-5,224,4.5,37.0,16.0,123.0,6.94,4.43,New Orleans Saints / 7th / 252nd pick / 2006,ColsMa00,9838
Ryan Cook,OT,New Mexico,,6-7,328,5.47,26.5,28.0,97.0,7.93,4.66,Minnesota Vikings / 2nd / 51st pick / 2006,CookRy20,9637
Antonio Cromartie,CB,Florida State,College Stats,6-2,208,4.47,38.0,18.0,132.0,,,San Diego Chargers / 1st / 19th pick / 2006,CromAn20,9605
Brodie Croyle,QB,Alabama,College Stats,6-2,205,4.88,30.5,,104.0,7.34,4.25,Kansas City Chiefs / 3rd / 85th pick / 2006,CroyBr00,9671
Jay Cutler,QB,Vanderbilt,College Stats,6-3,226,4.77,,23.0,,7.1,4.26,Denver Broncos / 1st / 11th pick / 2006,CutlJa00,9597
Owen Daniels,TE,Wisconsin,College Stats,6-3,253,4.65,34.5,23.0,114.0,6.87,4.1,Houston Texans / 4th / 98th pick / 2006,DaniOw00,9684
P.J. Daniels,RB,Georgia Tech,College Stats,5-10,214,4.64,33.0,21.0,116.0,7.13,4.4,Baltimore Ravens / 4th / 132nd pick / 2006,DaniP.00,N/A
Vernon Davis,TE,Maryland,College Stats,6-3,254,4.38,42.0,33.0,128.0,7.0,4.17,San Francisco 49ers / 1st / 6th pick / 2006,DaviVe00,9592
Charles Davis,TE,Purdue,College Stats,6-5,263,4.87,31.5,27.0,108.0,7.53,4.37,Pittsburgh Steelers / 5th / 167th pick / 2006,-9999,N/A
Tim Day,TE,Oregon,College Stats,6-3,256,4.74,35.0,24.0,109.0,7.03,4.2,,-9999,N/A
Mike Degory,C,Florida,College Stats,6-5,305,5.42,26.0,24.0,98.0,8.03,4.67,,-9999,N/A
