Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional,NFL_id
Israel Abanikanda,RB,Pittsburgh,College Stats,5-10,216,,,,,,,New York Jets / 5th / 143rd pick / 2023,AbanIs00,4429202
Yasir Abdullah,LB,Louisville,College Stats,6-1,237,4.47,36.5,,129.0,,,Jacksonville Jaguars / 5th / 136th pick / 2023,AbduYa00,4360807
Devon Achane,RB,Texas A&M,College Stats,5-9,188,4.32,33.0,,,,,Miami Dolphins / 3rd / 84th pick / 2023,AchaDe00,4429160
Jordan Addison,WR,USC,College Stats,5-11,173,4.49,34.0,,122.0,,,Minnesota Vikings / 1st / 23rd pick / 2023,AddiJo00,4429205
Adetomiwa Adebawore,DE,Northwestern,College Stats,6-2,282,4.49,37.5,27.0,125.0,,,Indianapolis Colts / 4th / 110th pick / 2023,AdebAd00,4427635
Alan Ali,C,TCU,College Stats,6-4,301,,26.5,,,,,,-9999,N/A
Davis Allen,TE,Clemson,College Stats,6-6,245,4.84,38.5,,125.0,,,Los Angeles Rams / 5th / 175th pick / 2023,AlleDa02,4426553
MJ Anderson,DE,Iowa St.,College Stats,6-3,269,,33.0,,,,,,AndeMJ00,N/A
Jake Andrews,C,Troy,College Stats,6-3,305,5.15,26.0,,102.0,,4.73,New England Patriots / 4th / 107th pick / 2023,AndrJa00,4362732
Felix Anudike-Uzomah,EDGE,Kansas St.,College Stats,6-3,255,,,,,,,Kansas City Chiefs / 1st / 31st pick / 2023,AnudFe00,4612387
Malaesala Aumavae-Laulu,OT,Oregon,College Stats,6-6,317,5.23,28.5,,106.0,7.65,4.75,Baltimore Ravens / 6th / 199th pick / 2023,AumaMa00,N/A
Alex Austin,CB,Oregon St.,College Stats,6-1,195,4.55,33.0,,122.0,,4.33,Buffalo Bills / 7th / 252nd pick / 2023,AustAl00,4426599
Steve Avila,OG,TCU,,6-4,332,5.21,29.5,,98.0,7.85,4.74,,-9999,4362474
Tyson Bagent,QB,Shepherd,,6-3,213,4.79,36.0,,120.0,6.95,4.36,,-9999,4434153
Henry Bainivalu,OG,Washington,College Stats,6-6,306,5.5,28.0,,101.0,8.34,4.97,,BainHe00,N/A
Habakkuk Baldonado,EDGE,Pittsburgh,College Stats,6-4,251,4.78,35.0,21.0,120.0,7.11,4.44,,BaldHa00,N/A
Deonte Banks,CB,Maryland,College Stats,6-0,197,4.35,42.0,,136.0,,,New York Giants / 1st / 24th pick / 2023,BankDe00,4428328
