Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional,NFL_id
Keith Adams,OLB,Clemson,College Stats,5-11,219,4.82,,24.0,104.0,,,Tennessee Titans / 7th / 232nd pick / 2001,AdamKe20,2781
Hakim Akbar,S,Washington,College Stats,6-0,210,4.55,,,,,,New England Patriots / 5th / 163rd pick / 2001,AkbaHa20,2712
Brian Allen,OLB,Florida State,College Stats,6-0,238,4.65,,25.0,,,,St. Louis Rams / 3rd / 83rd pick / 2001,AlleBr21,2971632
David Allen,RB,Kansas State,College Stats,5-9,194,4.62,31.0,15.0,111.0,,,,AlleDa00,4760
Matt Allen,P,Troy,,6-3,246,,,,,,,,AlleMa20,4300
Will Allen,CB,Syracuse,College Stats,5-10,192,4.44,39.5,14.0,121.0,6.78,3.9,New York Giants / 1st / 22nd pick / 2001,AlleWi20,5636
Scotty Anderson,WR,Grambling State,,6-2,184,4.57,34.5,,115.0,,,Detroit Lions / 5th / 148th pick / 2001,AndeSc00,2697
Adam Archuleta,S,Arizona State,College Stats,6-0,211,4.46,,31.0,,,,St. Louis Rams / 1st / 20th pick / 2001,ArchAd20,2568
Tom Ashworth,OG,Colorado,College Stats,6-6,293,5.11,33.5,20.0,109.0,7.4,4.3,,AshwTo20,4298
Billy Baber,TE,Virginia,College Stats,6-4,255,4.76,33.0,22.0,106.0,7.12,4.19,Kansas City Chiefs / 5th / 141st pick / 2001,BabeBi00,2690
Jeff Backus,OT,Michigan,,6-5,310,5.37,27.0,25.0,99.0,8.27,4.67,Detroit Lions / 1st / 18th pick / 2001,BackJe20,2566
Rodney Bailey,DE,Ohio State,,6-3,283,5.1,,,,,,Pittsburgh Steelers / 6th / 181st pick / 2001,BailRo21,2730
Jason Baker,P,Iowa,College Stats,6-1,198,,,,,,,,BakeJa20,2845
Alex Bannister,WR,East. Kentucky,,6-5,201,4.47,30.5,,110.0,,,Seattle Seahawks / 5th / 140th pick / 2001,BannAl00,2689
Kevan Barlow,RB,Pittsburgh,College Stats,6-1,235,4.56,,,,,,San Francisco 49ers / 3rd / 80th pick / 2001,BarlKe00,2628
Idrees Bashir,S,Memphis,College Stats,6-2,206,4.56,40.0,22.0,126.0,7.14,4.2,Indianapolis Colts / 2nd / 37th pick / 2001,BashId20,2585
Gary Baxter,CB,Baylor,,6-2,204,4.53,37.5,,122.0,7.39,4.21,Baltimore Ravens / 2nd / 62nd pick / 2001,BaxtGa20,2610
Jonathan Beasley,QB,Kansas State,College Stats,6-0,227,4.85,29.5,,102.0,7.55,4.38,,-9999,N/A
Monty Beisel,DE,Kansas State,College Stats,6-4,270,4.83,34.5,25.0,110.0,7.32,4.28,Kansas City Chiefs / 4th / 107th pick / 2001,BeisMo20,2656
Kendrell Bell,ILB,Georgia,College Stats,6-1,234,4.64,38.5,24.0,124.0,7.25,4.5,Pittsburgh Steelers / 2nd / 39th pick / 2001,BellKe20,2587
Marcus Bell,DT,Memphis,College Stats,6-1,319,5.32,,17.0,98.0,8.07,4.71,Arizona Cardinals / 4th / 123rd pick / 2001,BellMa20,2672
Michael Bennett,RB,Wisconsin,College Stats,5-9,207,4.38,39.5,13.0,130.0,,,Minnesota Vikings / 1st / 27th pick / 2001,BennMi00,2576371
Eddie Berlin,WR,New Mexico,,5-11,191,4.43,39.5,,122.0,6.78,4.08,Tennessee Titans / 5th / 159th pick / 2001,BerlEd00,2708
Cory Bird,S,Virginia Tech,College Stats,5-10,217,4.6,,22.0,,,,Indianapolis Colts / 3rd / 91st pick / 2001,BirdCo20,2640
Darvell Bivens,FB,NW State (LA),,5-10,255,4.97,33.5,32.0,108.0,7.81,4.38,,-9999,N/A
Randy Black,S,UNLV,College Stats,6-0,205,4.74,35.5,,115.0,7.14,4.2,,-9999,N/A
Harold Blackmon,CB,Northwestern,College Stats,5-11,210,4.54,37.0,17.0,121.0,7.03,4.28,Seattle Seahawks / 7th / 210th pick / 2001,BlacHa20,2759
Willie Blade,DT,Mississippi State,,6-3,316,4.93,,,,,,Dallas Cowboys / 3rd / 93rd pick / 2001,BladWi20,2642
Al Blades,S,Miami (FL),College Stats,6-1,209,4.56,,,,,,,-9999,N/A
Derrick Blaylock,RB,Stephen F. Austin,,5-10,194,4.36,35.5,18.0,119.0,7.05,4.09,Kansas City Chiefs / 5th / 150th pick / 2001,BlayDe00,2699
David Bobo,OG,TCU,,6-4,290,5.28,31.0,19.0,106.0,7.81,4.89,,-9999,N/A
Fred Booker,CB,LSU,College Stats,5-9,193,4.65,,,,,,,BookFr20,4807
Josh Booty,QB,LSU,College Stats,6-2,221,4.9,29.5,,105.0,7.54,4.48,Seattle Seahawks / 6th / 172nd pick / 2001,-9999,N/A
Jarvis Borum,OG,North Carolina State,,6-7,332,5.05,30.5,25.0,107.0,8.08,4.83,,BoruJa20,N/A
Kyle Vanden Bosch,DE,Nebraska,,6-4,270,4.75,36.5,26.0,119.0,6.82,4.08,Arizona Cardinals / 2nd / 34th pick / 2001,VandKy99,2582
James Boyd,S,Penn State,College Stats,5-11,207,4.59,32.5,,117.0,7.29,4.24,Jacksonville Jaguars / 3rd / 94th pick / 2001,BoydJa20,2643
Roylin Bradley,OLB,Texas A&M,,6-1,243,4.67,34.0,19.0,116.0,7.16,4.28,,-9999,N/A
Drew Brees,QB,Purdue,College Stats,6-0,213,4.83,32.0,,105.0,7.09,4.21,San Diego Chargers / 2nd / 32nd pick / 2001,BreeDr00,2580
Sean Brewer,TE,San Jose State,College Stats,6-4,255,4.73,36.0,14.0,117.0,7.37,4.18,Cincinnati Bengals / 3rd / 66th pick / 2001,BrewSe20,2614
Chris Brown,OT,Georgia Tech,College Stats,6-5,329,5.33,,30.0,,,,Tennessee Titans / 3rd / 93rd pick / 2003,BrowCh03,4551
Corey Brown,WR,Tulsa,College Stats,6-0,202,4.63,39.5,,126.0,,,,BrowPh00,17399
Kenny Bryant,CB,Jackson State,,5-11,190,4.65,37.5,10.0,117.0,7.5,4.15,,-9999,N/A
Correll Buckhalter,RB,Nebraska,College Stats,6-0,226,4.53,40.0,11.0,123.0,7.08,4.06,Philadelphia Eagles / 4th / 121st pick / 2001,BuckCo00,2670
Derrick Burgess,DE,Mississippi,College Stats,6-2,264,4.92,40.0,24.0,125.0,7.85,,Philadelphia Eagles / 3rd / 63rd pick / 2001,BurgDe99,2611
Adrian Burnette,WR,Tulane,College Stats,5-10,191,4.63,,,,,,,-9999,N/A
Jerametrius Butler,CB,Kansas State,College Stats,5-10,173,4.57,36.0,11.0,121.0,7.22,4.4,St. Louis Rams / 5th / 145th pick / 2001,ButlJe20,2694
Cecil Caldwell,DT,South Carolina,,6-1,268,4.93,,,,,,,-9999,N/A
John Capel,WR,Florida,,5-11,177,4.39,36.5,,126.0,,,Chicago Bears / 7th / 208th pick / 2001,-9999,N/A
Terrence Carroll,S,Oregon State,College Stats,6-0,212,4.63,,,,,,,-9999,N/A
Elliott Carson,TE,Vanderbilt,College Stats,6-4,246,4.9,36.0,16.0,115.0,7.52,4.21,,-9999,N/A
Robert Carswell,S,Clemson,College Stats,6-0,214,4.59,34.0,21.0,106.0,7.14,4.18,San Diego Chargers / 7th / 244th pick / 2001,CarsRo20,2793
Andre Carter,DE,California,College Stats,6-4,249,4.84,38.5,20.0,132.0,,4.24,San Francisco 49ers / 1st / 7th pick / 2001,CartAn20,4577333
Quincy Carter,QB,Georgia,College Stats,6-2,225,4.58,35.5,,113.0,7.12,4.12,Dallas Cowboys / 2nd / 53rd pick / 2001,CartQu00,2601
Quinton Caver,ILB,Arkansas,College Stats,6-4,227,4.67,37.5,23.0,118.0,7.66,4.25,Philadelphia Eagles / 2nd / 55th pick / 2001,CaveQu20,2603
Derrick Chambers,DT,Florida,,6-4,299,4.98,,32.0,,,,,-9999,N/A
Chris Chambers,WR,Wisconsin,College Stats,6-0,210,4.33,45.0,,134.0,,4.0,Miami Dolphins / 2nd / 52nd pick / 2001,ChamCh00,2600
Jeff Chaney,RB,Florida State,College Stats,5-11,193,4.46,,,,,,,-9999,N/A
Jeff Chase,OG,Texas A&M-Kingsville,,6-3,303,5.25,,27.0,,,,,-9999,N/A
Patrick Chukwurah,OLB,Wyoming,College Stats,6-2,238,4.77,40.0,24.0,119.0,7.34,4.21,Minnesota Vikings / 5th / 157th pick / 2001,ChukPa20,2706
Kenny Clark,WR,Central Florida,College Stats,6-1,225,4.59,35.5,,121.0,,,,ClarKe22,3122752
Nate Clements,CB,Ohio State,College Stats,5-11,209,4.38,,,,,,Buffalo Bills / 1st / 21st pick / 2001,ClemNa99,2569
Tay Cody,CB,Florida State,College Stats,5-9,181,4.55,,11.0,,,,San Diego Chargers / 3rd / 67th pick / 2001,CodyTa20,2615
Justin Coleman,QB,Nebraska-Kearney,,6-4,238,5.22,29.5,,101.0,7.78,4.62,,ColeJu01,2577707
Derek Combs,RB,Ohio State,College Stats,6-0,193,4.42,35.0,8.0,120.0,6.96,4.07,Oakland Raiders / 7th / 228th pick / 2001,CombDe20,2777
