Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional,NFL_id
BJ Adams,CB,Central Florida,College Stats,6-2,182,4.53,32.5,,117.0,,,,AdamBr00,N/A
Tommy Akingbesote,DT,Maryland,College Stats,6-4,306,5.09,28.0,,103.0,,,Dallas Cowboys / 7th / 247th pick / 2025,AkinTo00,N/A
Darius Alexander,DT,Toledo,College Stats,6-4,305,4.95,31.5,28.0,111.0,7.6,4.79,New York Giants / 3rd / 65th pick / 2025,AlexDa01,4426542
Zy Alexander,CB,LSU,College Stats,6-1,187,4.56,31.5,,116.0,,,,AlexZy00,N/A
LeQuint Allen,RB,Syracuse,College Stats,6-0,204,,35.0,,120.0,,,Jacksonville Jaguars / 7th / 236th pick / 2025,AlleLe01,4911851
Trey Amos,CB,Mississippi,College Stats,6-1,195,4.43,32.5,13.0,126.0,,,Washington Commanders / 2nd / 61st pick / 2025,AmosTr00,4574689
Andrew Armstrong,WR,Arkansas,College Stats,6-4,202,4.51,37.5,11.0,124.0,6.97,4.18,,-9999,N/A
Elijah Arroyo,TE,Miami,College Stats,6-5,250,,,22.0,,,,Seattle Seahawks / 2nd / 50th pick / 2025,ArroEl00,4678006
Eugene Asante,LB,Auburn,College Stats,6-1,223,4.48,,21.0,,,,,AsanEu01,N/A
Elic Ayomanor,WR,Stanford,College Stats,6-2,206,4.44,38.5,,127.0,,,Tennessee Titans / 4th / 136th pick / 2025,AyomEl00,4883647
Elijhah Badger,WR,Florida,College Stats,6-1,200,4.43,35.5,,,,,,BadgEl00,N/A
Tyler Baron,EDGE,Miami,College Stats,6-5,258,4.62,35.5,19.0,121.0,,,New York Jets / 5th / 176th pick / 2025,BaroTy00,4692555
Jahdae Barron,CB,Texas,College Stats,5-11,194,4.39,35.0,,123.0,,,Denver Broncos / 1st / 20th pick / 2025,BarrJa01,4430925
Gavin Bartholomew,TE,Pittsburgh,College Stats,6-5,246,4.7,,,,,,Minnesota Vikings / 6th / 202nd pick / 2025,BartGa00,N/A
Jeffrey Bassa,LB,Oregon,College Stats,6-1,232,4.63,38.5,21.0,118.0,7.34,,Kansas City Chiefs / 5th / 156th pick / 2025,BassJe00,4602389
Tyler Batty,EDGE,BYU,College Stats,6-6,271,4.78,34.0,27.0,120.0,7.21,4.54,,BattTy00,4608794
Jack Bech,WR,TCU,College Stats,6-1,214,,34.5,19.0,125.0,6.84,4.21,Las Vegas Raiders / 2nd / 58th pick / 2025,BechJa00,4603186
Anthony Belton,OT,North Carolina St.,College Stats,6-6,336,5.26,29.5,,107.0,7.77,,Green Bay Packers / 2nd / 54th pick / 2025,BeltAn00,N/A
Zeek Biggers,DT,Georgia Tech,College Stats,6-6,321,5.14,34.5,,111.0,,,,-9999,4683276
Yahya Black,DT,Iowa,College Stats,6-6,336,5.39,25.5,,101.0,7.63,4.72,Pittsburgh Steelers / 5th / 164th pick / 2025,BlacYa00,4430947
Jaydon Blue,RB,Texas,College Stats,5-9,196,4.38,,,,,,,-9999,4685279
Isaiah Bond,WR,Texas,College Stats,5-11,180,4.39,,,,,,,BondIs00,4808839
Tyler Booker,G,Alabama,College Stats,6-5,321,5.38,27.0,,94.0,7.96,4.84,Dallas Cowboys / 1st / 12th pick / 2025,BookTy00,N/A
Andres Borregales,K,Miami,College Stats,5-11,199,,,,,,,New England Patriots / 6th / 182nd pick / 2025,BorrAn00,N/A
Jake Briningstool,TE,Clemson,College Stats,6-6,241,4.75,31.0,,115.0,,,,BrinJa00,N/A
Warren Brinson,DT,Georgia,College Stats,6-5,315,5.09,31.0,,115.0,,,,-9999,4429136
Ja'Corey Brooks,WR,Louisville,College Stats,6-2,184,,,,,,,,BrooJa04,N/A
Tahj Brooks,RB,Texas Tech,College Stats,5-9,214,4.52,35.0,16.0,120.0,6.9,4.06,Cincinnati Bengals / 6th / 193rd pick / 2025,BrooTa00,4429299
Max Brosmer,QB,Minnesota,College Stats,6-2,217,,,,,,,,BrosMa00,4573398
Vernon Broughton,DT,Texas,College Stats,6-5,311,,,,,,,New Orleans Saints / 3rd / 71st pick / 2025,BrouVe00,4429040
Logan Brown,OT,Kansas,College Stats,6-6,311,5.18,32.0,,111.0,7.75,4.51,,BrowLo01,N/A
Carson Bruener,LB,Washington,College Stats,6-1,227,4.58,33.5,,119.0,,,,-9999,4429490
Jacobee Bryant,CB,Kansas,College Stats,6-0,180,4.53,,,,,,,BryaCo02,4429324
Pat Bryant,WR,Illinois,College Stats,6-2,204,4.61,37.5,,124.0,,,Denver Broncos / 3rd / 74th pick / 2025,BryaPa00,4600981
Teddye Buchanan,LB,California,College Stats,6-2,233,4.6,40.0,26.0,125.0,,,Baltimore Ravens / 4th / 129th pick / 2025,BuchTe00,4698244
Jordan Burch,EDGE,Oregon,College Stats,6-4,279,4.67,,,,,,Arizona Cardinals / 3rd / 78th pick / 2025,BurcJo00,4428996
Denzel Burke,CB,Ohio St.,College Stats,5-11,186,4.48,,,,,,Arizona Cardinals / 5th / 174th pick / 2025,BurkDe01,4432668
James Burnip,P,Alabama,College Stats,6-6,235,,,,,,,,BurnJa00,N/A
Jamaree Caldwell,DT,Oregon,College Stats,6-2,332,5.16,27.0,,,,,Los Angeles Chargers / 3rd / 86th pick / 2025,CaldJa00,5089178
Jihaad Campbell,LB,Alabama,College Stats,6-3,235,4.52,,,127.0,,,Philadelphia Eagles / 1st / 31st pick / 2025,CampJi00,4685287
Will Campbell,OT,LSU,College Stats,6-6,319,4.98,32.0,,113.0,,,New England Patriots / 1st / 4th pick / 2025,CampWi01,4685298
Abdul Carter,EDGE,Penn St.,College Stats,6-3,250,,,,,,,New York Giants / 1st / 3rd pick / 2025,CartAb00,4725996
Barrett Carter,LB,Clemson,College Stats,6-0,231,,34.5,,116.0,,4.41,Cincinnati Bengals / 4th / 119th pick / 2025,CartBa00,4431519
Sebastian Castro,SAF,Iowa,College Stats,5-11,203,4.59,30.5,,117.0,,4.34,,CastSe01,4426882
Alijah Clark,SAF,Syracuse,College Stats,6-1,188,4.5,33.0,,122.0,,,,ClarAl01,4595352
Connor Colby,G,Iowa,College Stats,6-6,309,5.11,28.5,,110.0,7.78,4.63,San Francisco 49ers / 7th / 249th pick / 2025,ColbCo00,4431523
Alfred Collins,DT,Texas,College Stats,6-6,332,,26.0,,96.0,,,San Francisco 49ers / 2nd / 43rd pick / 2025,CollAl01,4430835
Beaux Collins,WR,Notre Dame,College Stats,6-3,201,,,,,,,,CollBe00,4431210
Joshua Conerly,OT,Oregon,College Stats,6-5,311,5.05,34.5,,103.0,,,Washington Commanders / 1st / 29th pick / 2025,ConeJo00,N/A
Hayden Conner,G,Texas,College Stats,6-6,314,,,,,7.9,4.88,Arizona Cardinals / 6th / 211th pick / 2025,ConnHa00,N/A
Jalin Conyers,TE,Texas Tech,College Stats,6-4,260,4.74,35.5,,121.0,6.94,4.27,,ConyJa00,N/A
Brady Cook,QB,Missouri,College Stats,6-2,214,4.59,37.0,,128.0,7.01,4.17,,CookBr03,4429435
Ajani Cornelius,OT,Oregon,College Stats,6-5,310,,,,,,,Dallas Cowboys / 6th / 204th pick / 2025,CornAj00,N/A
Eli Cox,C,Kentucky,College Stats,6-4,306,5.02,32.5,,109.0,7.63,4.58,,CoxxEl00,N/A
Kitan Crawford,SAF,Nevada,College Stats,5-11,202,4.41,41.5,18.0,128.0,6.81,4.03,,-9999,4430821
Jeremy Crawshaw,P,Florida,College Stats,6-4,198,,,,,,,Denver Broncos / 6th / 216th pick / 2025,CrawJe00,4589212
Brandon Crenshaw-Dickson,OT,Florida,College Stats,6-7,316,5.33,24.5,,96.0,8.15,4.91,,CrenBr00,N/A
Jaxson Dart,QB,Mississippi,College Stats,6-2,223,,,,,,,New York Giants / 1st / 25th pick / 2025,DartJa00,4689114
Garrett Dellinger,G,LSU,College Stats,6-4,325,,,,,,,Baltimore Ravens / 7th / 243rd pick / 2025,DellGa00,N/A
Fadil Diggs,EDGE,Syracuse,College Stats,6-4,257,4.57,30.5,,121.0,,,New Orleans Saints / 7th / 254th pick / 2025,DiggFa00,N/A
Chimere Dike,WR,Florida,College Stats,6-1,196,4.34,38.5,,128.0,6.82,4.27,Tennessee Titans / 4th / 103rd pick / 2025,DikeCh00,4431268
CJ Dippre,TE,Alabama,College Stats,6-5,256,4.69,34.5,32.0,120.0,,,,DippCJ00,N/A
