Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional,NFL_id
Jonathan Adams,WR,Arkansas St.,College Stats,6-2,210.0,4.59,39.0,,132.0,7.04,4.38,,AdamJo04,N/A
Paulson Adebo,CB,Stanford,College Stats,6-1,198.0,4.45,36.5,18.0,121.0,6.69,4.13,New Orleans Saints / 3rd / 76th pick / 2021,AdebPa00,4242547
Giles Amos,TE,Arkansas St.,College Stats,6-3,250.0,5.14,28.5,,111.0,7.65,5.13,,-9999,N/A
Zayne Anderson,LB,BYU,College Stats,,,4.46,34.0,11.0,120.0,6.78,4.22,,-9999,3932335
Otis Anderson,RB,Central Florida,College Stats,5-7,179.0,4.63,36.0,11.0,113.0,7.04,4.38,,-9999,N/A
Jack Anderson,OL,Texas Tech,College Stats,6-4,314.0,5.28,29.5,27.0,105.0,7.9,4.83,Buffalo Bills / 7th / 236th pick / 2021,AndeJa01,N/A
Dan Archibong,DT,Temple,College Stats,6-5,295.0,5.35,28.5,28.0,100.0,8.16,4.68,,-9999,N/A
Calvin Ashley,OL,Florida A&M,,6-6,314.0,5.49,29.0,15.0,105.0,7.0,5.1,,AshlCa00,N/A
Jaytlin Askew,DB,Georgia Tech,College Stats,5-8,180.0,4.51,35.5,18.0,125.0,7.1,4.31,,-9999,N/A
Tutu Atwell,WR,Louisville,College Stats,5-8,155.0,4.42,33.0,,117.0,6.89,4.14,Los Angeles Rams / 2nd / 57th pick / 2021,AtweTu00,4360797
Kayode Awosika,OL,Buffalo,College Stats,6-3,307.0,5.19,30.0,28.0,100.0,8.15,4.91,,AwosKa00,N/A
Kawaan Baker,WR,South Alabama,College Stats,6-0,210.0,4.44,39.5,21.0,129.0,7.42,4.41,,-9999,4068152
Josh Ball,OL,Marshall,College Stats,6-7,308.0,5.2,27.5,28.0,106.0,7.77,4.7,Dallas Cowboys / 4th / 138th pick / 2021,BallJo00,N/A
Aaron Banks,OL,Notre Dame,College Stats,6-5,325.0,5.32,31.0,24.0,100.0,7.69,4.89,San Francisco 49ers / 2nd / 48th pick / 2021,BankAa00,4242390
Cole Banwart,OL,Iowa,College Stats,6-1,298.0,5.12,27.5,22.0,103.0,7.5,4.7,,-9999,N/A
Christian Barmore,DL,Alabama,College Stats,6-4,310.0,4.93,,,,,,New England Patriots / 2nd / 38th pick / 2021,BarmCh00,4372030
Derrick Barnes,DE,Purdue,College Stats,6-0,238.0,4.57,37.0,29.0,119.0,,4.27,Detroit Lions / 4th / 113th pick / 2021,BarnDe02,4260409
Carlos Basham,DL,Wake Forest,College Stats,6-3,274.0,4.64,34.0,20.0,122.0,7.13,4.25,Buffalo Bills / 2nd / 61st pick / 2021,BashCa00,N/A
Rashod Bateman,WR,Minnesota,College Stats,6-0,190.0,4.39,36.0,,123.0,,,Baltimore Ravens / 1st / 27th pick / 2021,BateRa00,4360939
John Bates,TE,Boise St.,College Stats,6-5,250.0,4.84,31.5,19.0,120.0,6.85,4.35,,-9999,4048228
Adam Bay,LS,Wisconsin,College Stats,5-11,240.0,5.27,26.0,14.0,100.0,7.65,4.56,,-9999,N/A
Tavante Beckett,LB,Marshall,College Stats,5-10,220.0,4.78,31.0,18.0,106.0,7.34,4.58,,BeckTa00,N/A
Chase Behrndt,OL,West Virginia,College Stats,6-3,324.0,5.55,24.5,25.0,101.0,8.21,4.93,,-9999,N/A
Shaun Beyer,TE,Iowa,College Stats,6-4,250.0,4.78,31.5,,119.0,,4.2,,BeyeSh00,N/A
Tarik Black,WR,Texas,College Stats,6-2,213.0,4.54,40.0,15.0,132.0,6.91,4.26,,BlacTa00,4258170
Josh Blancato,WR,Georgia Tech,College Stats,5-9,182.0,4.55,32.0,17.0,124.0,6.9,4.31,,-9999,N/A
Joshuah Bledsoe,S,Missouri,College Stats,,,,,,,,,New England Patriots / 6th / 188th pick / 2021,BledJo00,4241199
Quinton Bohanna,DL,Kentucky,College Stats,6-4,327.0,5.46,29.0,,99.0,8.21,5.15,,-9999,4259978
Nick Bolton,LB,Missouri,College Stats,5-11,237.0,4.6,32.0,24.0,,7.4,4.5,Kansas City Chiefs / 2nd / 58th pick / 2021,BoltNi00,4362759
Ian Book,QB,Notre Dame,College Stats,6-0,211.0,4.65,32.5,,115.0,6.99,4.19,New Orleans Saints / 4th / 133rd pick / 2021,BookIa00,4046678
Dicaprio Bootle,CB,Nebraska,College Stats,5-9,180.0,4.38,36.5,16.0,126.0,6.77,4.03,,BootDi00,4034835
Tuf Borland,LB,Ohio St.,College Stats,6-0,229.0,4.98,32.5,15.0,109.0,7.17,4.29,,BorlTu00,N/A
Larry Borom,OL,Missouri,College Stats,6-5,322.0,5.12,31.0,,,,,Chicago Bears / 5th / 151st pick / 2021,BoroLa00,4241217
Rakeem Boyd,RB,Arkansas,College Stats,5-11,213.0,4.7,32.5,6.0,98.0,7.22,4.38,,BoydRa00,N/A
Michael Boykin,DL,Louisville,College Stats,6-5,291.0,4.88,32.0,24.0,110.0,7.69,4.58,,-9999,N/A
William Bradley-King,OLB,Baylor,College Stats,6-3,252.0,4.74,34.5,,119.0,7.14,4.26,Washington Football Team / 7th / 240th pick / 2021,BradWi00,4036476
Brady Breeze,S,Oregon,College Stats,5-11,197.0,4.55,38.0,20.0,120.0,7.05,4.22,Tennessee Titans / 6th / 215th pick / 2021,BreeBr00,4038944
Gary Brightwell,RB,Arizona,College Stats,5-10,218.0,4.62,34.5,17.0,118.0,7.51,4.48,New York Giants / 6th / 196th pick / 2021,BrigGa00,4245645
K.J. Britt,LB,Auburn,College Stats,6-0,235.0,4.76,32.5,24.0,118.0,7.38,4.4,Tampa Bay Buccaneers / 5th / 176th pick / 2021,BritKJ00,4242521
Josiah Bronson,DL,Washington,College Stats,6-2,304.0,5.08,30.0,27.0,101.0,7.63,4.72,,-9999,3923400
Chris Brown,DB,Texas,College Stats,5-10,191.0,4.55,36.0,15.0,118.0,6.85,4.18,,-9999,N/A
Earnest Brown,DE,Northwestern,College Stats,6-4,270.0,5.01,31.0,25.0,115.0,7.19,4.5,,-9999,4242292
Kimere Brown,CB,Temple,College Stats,5-11,175.0,4.57,32.5,,124.0,7.37,4.32,,-9999,N/A
Deonte Brown,OL,Alabama,College Stats,6-3,344.0,,27.0,,,,,Carolina Panthers / 6th / 193rd pick / 2021,BrowDe06,N/A
Dyami Brown,WR,North Carolina,College Stats,6-0,189.0,4.46,35.0,18.0,128.0,6.87,4.35,Washington Football Team / 3rd / 82nd pick / 2021,BrowDy00,4361577
Shakur Brown,CB,Michigan St.,College Stats,5-9,185.0,4.61,35.5,17.0,116.0,7.08,4.23,,BrowSh00,N/A
Tre Brown,CB,Oklahoma,College Stats,5-9,185.0,4.42,38.0,13.0,123.0,7.11,4.27,Seattle Seahawks / 4th / 137th pick / 2021,BrowTr03,4241373
Amon-Ra St. Brown,WR,USC,College Stats,5-11,197.0,4.51,38.5,20.0,127.0,6.88,4.17,Detroit Lions / 4th / 112th pick / 2021,StxxAm00,4374302
Baron Browning,LB,Ohio St.,College Stats,6-2,245.0,4.58,40.0,23.0,130.0,6.78,4.23,Denver Broncos / 3rd / 105th pick / 2021,BrowBa01,4241987
John Brunner,OL,North Texas,College Stats,6-2,194.0,,32.5,11.0,121.0,6.77,4.3,,-9999,N/A
Calvin Bundage,LB,Oklahoma St.,College Stats,6-1,221.0,4.81,31.5,14.0,116.0,7.31,4.43,,-9999,N/A
Lorenzo Burns,CB,Arizona,College Stats,5-10,183.0,4.56,33.5,14.0,123.0,7.55,4.51,,BurnLo00,N/A
Eric Burrell,S,Wisconsin,College Stats,5-11,197.0,4.73,35.5,8.0,124.0,7.21,4.26,,BurrEr00,N/A
Wesley Burris,LS,Kansas St.,College Stats,5-9,203.0,5.3,30.0,12.0,102.0,7.51,4.74,,-9999,N/A
Jake Burton,OL,Baylor,College Stats,6-5,303.0,5.49,26.0,22.0,100.0,8.22,4.97,,-9999,N/A
Camryn Bynum,CB,California,College Stats,6-0,196.0,4.58,34.0,,129.0,6.99,4.1,Minnesota Vikings / 4th / 125th pick / 2021,BynuCa00,N/A
Jalen Camp,WR,Georgia Tech,College Stats,6-1,226.0,4.48,39.5,29.0,125.0,7.0,4.14,,-9999,4037311
Donavaughn Campbell,OL,Louisiana Tech,College Stats,6-4,336.0,5.62,22.0,,93.0,8.34,5.15,,-9999,N/A
Kyree Campbell,DL,Florida,College Stats,6-2,287.0,5.46,25.0,,98.0,7.96,5.02,,CampKy00,N/A
Tyson Campbell,DB,Georgia,College Stats,6-1,193.0,4.4,34.5,12.0,124.0,7.15,4.45,Jacksonville Jaguars / 2nd / 33rd pick / 2021,CampTy01,4379397
Joseph Carlson,K,Air Force,College Stats,6-0,175.0,,,,,,,,-9999,N/A
Jackson Carman,OT,Clemson,College Stats,6-4,317.0,,,,,,,Cincinnati Bengals / 2nd / 46th pick / 2021,CarmJa00,4360320
Tory Carter,FB,LSU,College Stats,6-0,229.0,4.86,35.5,24.0,112.0,7.21,4.38,,-9999,4242212
Michael Carter,RB,North Carolina,College Stats,5-7,201.0,4.5,34.0,16.0,119.0,6.81,3.98,New York Jets / 4th / 107th pick / 2021,CartMi03,4240657
J.C. Chalk,TE,Clemson,College Stats,6-2,250.0,5.18,28.5,15.0,106.0,7.83,4.72,,-9999,N/A
Ja'Marr Chase,WR,LSU,College Stats,6-0,201.0,4.34,41.0,,132.0,6.96,3.99,Cincinnati Bengals / 1st / 5th pick / 2021,ChasJa00,4362628
Ramaud Chiaokhiao-Bowman,WR,Northwestern,College Stats,6-1,204.0,4.78,34.5,11.0,119.0,6.78,4.2,,-9999,N/A
Drue Chrisman,P,Ohio St.,College Stats,6-2,209.0,,,,,,,,ChriDr00,4040607
Brady Christensen,OL,BYU,College Stats,,,,34.0,30.0,124.0,,,Carolina Panthers / 3rd / 70th pick / 2021,ChriBr00,4256062
Andre Cisco,DB,Syracuse,College Stats,,,,,17.0,,,,Jacksonville Jaguars / 3rd / 65th pick / 2021,CiscAn00,4361939
Mallory Claybourne,CB,Coastal Carolina,College Stats,5-9,191.0,4.57,33.0,12.0,116.0,7.37,4.32,,-9999,N/A
Ben Cleveland,OL,Georgia,College Stats,6-6,343.0,5.05,28.0,30.0,102.0,,4.88,Baltimore Ravens / 3rd / 94th pick / 2021,ClevBe00,4048231
Riley Cole,LB,South Alabama,College Stats,6-2,240.0,4.72,,26.0,,7.46,4.35,,-9999,N/A
Nico Collins,WR,Michigan,College Stats,6-4,215.0,4.43,37.5,14.0,125.0,6.78,4.29,Houston Texans / 3rd / 89th pick / 2021,CollNi00,4258173
Zaven Collins,LB,Tulsa,College Stats,6-4,259.0,4.67,35.0,19.0,122.0,,4.36,Arizona Cardinals / 1st / 16th pick / 2021,CollZa00,4244606
Nolan Cooney,P,Syracuse,College Stats,6-2,195.0,,,,,,,,-9999,4047860
Jonathon Cooper,DE,Ohio St.,College Stats,6-2,253.0,4.69,33.0,28.0,108.0,6.99,4.31,Denver Broncos / 7th / 239th pick / 2021,CoopJo02,4040608
Samuel Cosmi,OL,Texas,College Stats,6-5,314.0,4.87,30.0,36.0,117.0,7.35,4.39,Washington Football Team / 2nd / 51st pick / 2021,CosmSa00,N/A
Seth Cottengim,S,Arkansas St.,College Stats,5-11,230.0,,28.5,,,,,,-9999,N/A
Jabril Cox,LB,LSU,College Stats,6-3,232.0,,,,,,,Dallas Cowboys / 4th / 115th pick / 2021,CoxxJa00,4040940
Damonte Coxie,WR,Memphis,College Stats,6-2,198.0,4.77,30.5,4.0,122.0,6.92,4.45,,CoxiDa00,N/A
Tyler Coyle,LB,Purdue,College Stats,6-1,209.0,4.38,39.0,24.0,133.0,7.14,4.0,,-9999,4044079
Jack Crane,K,Wake Forest,College Stats,6-1,193.0,,,,,,,,-9999,N/A
Daniel Crawford,TE,Northern Illinois,College Stats,6-1,245.0,4.7,32.5,14.0,113.0,7.19,4.45,,-9999,N/A
Shaun Crawford,S,Notre Dame,College Stats,5-9,182.0,4.55,35.0,12.0,116.0,6.7,4.13,,-9999,N/A
Harry Crider,OL,Indiana,College Stats,6-2,307.0,5.25,27.0,31.0,102.0,7.63,4.68,,-9999,N/A
Jake Curhan,OL,California,College Stats,6-5,316.0,5.45,24.0,15.0,102.0,8.07,4.84,,-9999,4035870
David Curry,LB,Georgia Tech,College Stats,6-1,227.0,,,,,,,,CurrDa02,N/A
