Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional,NFL_id
John Abraham,OLB,South Carolina,,6-4,252,4.55,,,,,,New York Jets / 1st / 13th pick / 2000,AbraJo00,2144
Shaun Alexander,RB,Alabama,College Stats,6-0,218,4.58,,,,,,Seattle Seahawks / 1st / 19th pick / 2000,AlexSh00,2150
Darnell Alford,OT,Boston Col.,,6-4,334,5.56,25.0,23.0,94.0,8.48,4.98,Kansas City Chiefs / 6th / 188th pick / 2000,AlfoDa20,N/A
Kyle Allamon,TE,Texas Tech,,6-2,253,4.97,29.0,,104.0,7.29,4.49,,-9999,N/A
Rashard Anderson,CB,Jackson State,,6-2,206,4.55,34.0,,123.0,7.18,4.15,Carolina Panthers / 1st / 23rd pick / 2000,AndeRa21,2154
Jake Arians,K,Ala-Birmingham,,5-10,202,,,,,,,,arianjak01,2796
LaVar Arrington,OLB,Penn State,College Stats,6-3,250,4.53,,,,,,Washington Redskins / 1st / 2nd pick / 2000,ArriLa00,2133
Corey Atkins,OLB,South Carolina,,6-0,237,4.72,31.0,21.0,112.0,7.96,4.39,,AtkiCo20,2487
Kyle Atteberry,K,Baylor,,6-0,167,,,,,,,,-9999,N/A
Reggie Austin,CB,Wake Forest,,5-9,175,4.44,35.0,17.0,119.0,7.03,4.14,Chicago Bears / 4th / 125th pick / 2000,AustRe20,2256
John Baker,P,North Texas,College Stats,6-3,227,,,,,,,,BakeJo21,2403
Mark Baniewicz,OT,Syracuse,,6-6,312,5.34,28.0,20.0,96.0,7.72,4.73,Jacksonville Jaguars / 7th / 247th pick / 2000,-9999,N/A
Rashidi Barnes,S,Colorado,,6-0,208,4.62,35.0,10.0,114.0,6.92,4.32,Cleveland Browns / 7th / 225th pick / 2000,BarnRa20,2356
David Barrett,CB,Arkansas,,5-10,199,4.44,37.5,16.0,116.0,6.81,4.04,Arizona Cardinals / 4th / 102nd pick / 2000,BarrDa22,2233
William Bartee,CB,Oklahoma,,6-1,192,4.43,38.5,,124.0,6.7,3.99,Kansas City Chiefs / 2nd / 54th pick / 2000,BartWi20,2185
Andrew Bayes,P,East Carolina,,6-2,200,,,,,,,,-9999,N/A
Terrance Beadles,OG,Ark-Pine Bluff,,6-3,312,5.19,,29.0,,,,,-9999,N/A
