Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional,NFL_id
Robert Bean,CB,Mississippi State,,5-11,178,4.5,34.5,,122.0,6.87,4.2,Cincinnati Bengals / 5th / 133rd pick / 2000,BeanRo20,2264
Anthony Becht,TE,West Virginia,College Stats,6-6,270,4.78,33.5,,123.0,6.94,4.08,New York Jets / 1st / 27th pick / 2000,BechAn00,2158
Matt Beck,ILB,California,,6-3,234,4.65,,,,,,,-9999,N/A
Rogers Beckett,S,Marshall,,6-1,207,4.62,39.5,15.0,119.0,6.48,4.29,San Diego Chargers / 2nd / 43rd pick / 2000,BeckRo20,2174
Brad Bedell,OG,Colorado,,6-4,302,5.07,31.5,17.0,103.0,7.76,4.58,Cleveland Browns / 6th / 206th pick / 2000,BedeBr20,2337
Marcus Bell,ILB,Arizona,,6-2,237,4.78,31.5,21.0,111.0,7.17,4.33,Seattle Seahawks / 4th / 116th pick / 2000,BellMa21,2247
Gary Berry,S,Ohio State,,5-11,204,4.55,,,,,,Green Bay Packers / 4th / 126th pick / 2000,BerrGa20,2257
Michael Boireau,DE,Miami (FL),,6-4,274,5.09,29.0,26.0,105.0,7.68,4.49,Minnesota Vikings / 2nd / 56th pick / 2000,-9999,N/A
Matt Bowen,S,Iowa,,6-1,201,4.49,33.0,12.0,115.0,7.06,4.09,St. Louis Rams / 6th / 198th pick / 2000,BoweMa20,2329
Carl Bradley,DT,Virginia Tech,,6-2,300,5.03,,,,,,,-9999,N/A
Tom Brady,QB,Michigan,College Stats,6-4,211,5.28,24.5,,99.0,7.2,4.38,New England Patriots / 6th / 199th pick / 2000,BradTo00,2330
Robert Brannon,DT,Iowa State,,6-4,309,5.19,28.5,28.0,99.0,7.82,4.7,,-9999,N/A
Keith Brown,RB,UCLA,,5-11,216,4.66,30.0,,117.0,6.64,4.08,,-9999,N/A
Demario Brown,RB,Utah State,,6-0,217,4.72,31.0,,107.0,7.17,4.39,,-9999,N/A
Courtney Brown,DE,Penn State,College Stats,6-5,269,4.78,,,,,,Cleveland Browns / 1st / 1st pick / 2000,BrowCo22,2132
Mike Brown,S,Nebraska,,5-10,204,4.59,36.0,14.0,116.0,6.93,4.01,Chicago Bears / 2nd / 39th pick / 2000,BrowMi99,2170
Ralph Brown,CB,Nebraska,College Stats,5-10,185,4.55,,10.0,,,,New York Giants / 5th / 140th pick / 2000,BrowRa20,2271
Travis Brown,QB,Northern Arizona,,6-3,218,5.01,29.0,,101.0,7.54,4.87,,BrowTr01,2519
Lamont Bryant,DE,Notre Dame,,6-3,260,4.91,,17.0,,,,,BryaLa00,N/A
Marc Bulger,QB,West Virginia,College Stats,6-2,208,4.97,,,100.0,7.46,4.34,New Orleans Saints / 6th / 168th pick / 2000,BulgMa00,2299
Keith Bulluck,OLB,Syracuse,,6-3,244,4.47,38.0,,119.0,7.33,4.13,Tennessee Titans / 1st / 30th pick / 2000,BullKe00,2161
Bill Burke,QB,Michigan State,,6-4,206,5.03,28.5,,107.0,7.46,4.42,,-9999,N/A
Plaxico Burress,WR,Michigan State,College Stats,6-5,231,4.59,33.0,,115.0,,,Pittsburgh Steelers / 1st / 8th pick / 2000,BurrPl00,2139
David Byrd,CB,Syracuse,,5-11,202,4.53,36.0,14.0,117.0,7.18,4.39,,-9999,N/A
Trung Canidate,RB,Arizona,College Stats,5-11,193,4.41,,18.0,,,,St. Louis Rams / 1st / 31st pick / 2000,CaniTr00,2162
Cooper Carlisle,OG,Florida,,6-5,297,5.16,31.0,28.0,100.0,7.82,4.48,Denver Broncos / 4th / 112th pick / 2000,CarlCo20,2243
Giovanni Carmazzi,QB,Hofstra,,6-3,224,4.74,36.5,,119.0,6.94,4.23,San Francisco 49ers / 3rd / 65th pick / 2000,-9999,N/A
Leonardo Carson,DE,Auburn,,6-1,283,5.06,28.0,22.0,106.0,7.82,4.75,San Diego Chargers / 4th / 113th pick / 2000,CarsLe20,2244
Tyrone Carter,S,Minnesota,College Stats,5-8,190,4.5,41.0,16.0,121.0,6.75,4.19,Minnesota Vikings / 4th / 118th pick / 2000,CartTy20,2249
Kwame Cavil,WR,Texas,College Stats,6-2,208,4.54,39.5,,118.0,,,,CaviKw00,2390
Chris Chaloupka,QB,SMU,,6-2,216,4.96,,,,,,,-9999,N/A
Doug Chapman,RB,Marshall,College Stats,5-10,215,4.56,38.5,16.0,128.0,6.84,4.2,Minnesota Vikings / 3rd / 88th pick / 2000,ChapDo00,2219
Ike Charlton,CB,Virginia Tech,College Stats,5-11,205,4.47,,16.0,126.0,,,Seattle Seahawks / 2nd / 52nd pick / 2000,CharIk20,2183
Chrys Chukwuma,RB,Arkansas,,6-1,232,4.56,,,115.0,,,,-9999,N/A
Joey Chustz,OT,Louisiana Tech,,6-7,304,5.08,31.0,28.0,103.0,7.65,4.65,Jacksonville Jaguars / 4th / 123rd pick / 2000,-9999,N/A
Pedro Cirino,S,Boston Col.,,5-11,197,4.59,,,,,,,-9999,N/A
John Saint Clair,C,Virginia,,6-5,302,5.2,,25.0,,,,,-9999,N/A
Kendrick Clancy,DT,Mississippi,,6-1,283,5.25,27.5,25.0,108.0,7.98,4.65,Pittsburgh Steelers / 3rd / 72nd pick / 2000,ClanKe20,2203
Travis Claridge,OG,USC,,6-5,303,5.15,31.5,29.0,100.0,7.77,4.86,Atlanta Falcons / 2nd / 37th pick / 2000,ClarTr20,2168
Danny Clark,ILB,Illinois,,6-2,245,4.75,,20.0,,,,Jacksonville Jaguars / 7th / 245th pick / 2000,ClarDa21,2376
Chad Clifton,OT,Tennessee,,6-5,334,5.05,30.5,24.0,102.0,7.58,4.73,Green Bay Packers / 2nd / 44th pick / 2000,ClifCh20,2175
Chris Cole,WR,Texas A&M,College Stats,6-0,191,4.37,37.5,,125.0,6.76,4.09,Denver Broncos / 3rd / 70th pick / 2000,ColeCh00,2201
Chris Coleman,WR,North Carolina State,College Stats,6-0,211,4.61,32.5,,110.0,6.79,4.1,,ColeCh01,2491
Cosey Coleman,OG,Tennessee,College Stats,6-4,322,5.4,28.0,,101.0,8.15,4.97,Tampa Bay Buccaneers / 2nd / 51st pick / 2000,ColeCo21,2182
Laveranues Coles,WR,Florida State,College Stats,5-11,192,4.41,34.0,,115.0,6.89,4.39,New York Jets / 3rd / 78th pick / 2000,ColeLa00,2209
Chris Combs,DT,Duke,,6-5,286,5.16,,22.0,,,,Pittsburgh Steelers / 6th / 173rd pick / 2000,CombCh21,2304
Kurth Connell,OT,Washington,,6-4,291,5.49,33.0,27.0,103.0,8.14,4.84,,-9999,N/A
Rameel Connor,DE,Illinois,,6-3,276,5.0,35.5,25.0,121.0,7.65,4.45,,-9999,N/A
D.J. Cooper,DT,Arkansas,,6-3,277,5.22,28.0,,108.0,7.41,4.49,,-9999,N/A
Ashley Cooper,S,Mississippi State,,5-10,208,4.67,,16.0,117.0,,,,-9999,N/A
Renard Cox,CB,Maryland,,5-11,192,4.68,38.0,13.0,111.0,7.1,,,CoxxRe20,N/A
Casey Crawford,TE,Virginia,College Stats,6-6,244,4.83,,18.0,,,,,CrawCa00,2451
Sedrick Curry,CB,Texas A&M,,6-1,197,4.44,39.0,,125.0,6.34,3.94,,-9999,N/A
Chris Daniels,WR,Purdue,,6-3,217,4.74,33.0,,115.0,7.2,4.24,,-9999,N/A
Brandon Daniels,WR,Oklahoma,,5-10,211,4.54,,,,,,,-9999,N/A
Joe Dean Davenport,TE,Arkansas,,6-7,268,5.06,30.0,13.0,108.0,7.33,4.67,,-9999,2888
Darren Davis,RB,Iowa State,,5-8,189,4.81,32.0,13.0,109.0,7.04,4.47,,-9999,N/A
Adam Davis,OG,Oklahoma State,,6-4,309,5.66,26.0,,92.0,8.51,5.0,,-9999,N/A
JaJuan Dawson,WR,Tulane,College Stats,6-1,199,4.55,34.0,,117.0,6.96,4.16,Cleveland Browns / 3rd / 79th pick / 2000,DawsJa00,2210
Ron Dayne,RB,Wisconsin,College Stats,5-11,259,4.65,,,,,,New York Giants / 1st / 11th pick / 2000,DaynRo00,2142
Jerry DeLoach,DT,California,,6-3,314,4.99,31.5,19.0,101.0,7.4,4.57,,DeLoJe20,2838
Mike Derouselle,DT,Houston,,6-2,314,5.28,27.5,27.0,96.0,7.67,4.8,,-9999,N/A
Na'il Diggs,OLB,Ohio State,,6-4,231,4.66,,,,,,Green Bay Packers / 4th / 98th pick / 2000,DiggNa20,2229
Reuben Droughns,RB,Oregon,College Stats,5-11,215,4.66,30.0,13.0,115.0,7.34,4.41,Detroit Lions / 3rd / 81st pick / 2000,DrouRe00,2212
Ron Dugans,WR,Florida State,College Stats,6-1,206,4.58,,,117.0,,,Cincinnati Bengals / 3rd / 66th pick / 2000,DugaRo00,2197
Deon Dyer,FB,North Carolina,College Stats,5-11,260,4.99,28.0,,104.0,7.88,4.81,Miami Dolphins / 4th / 117th pick / 2000,DyerDe00,2248
Chris Edwards,OLB,Georgia Tech,,6-5,226,4.65,,,,,,,-9999,N/A
Mario Edwards,CB,Florida State,College Stats,6-0,191,4.46,,,120.0,,,Dallas Cowboys / 6th / 180th pick / 2000,EdwaMa20,2311
Shaun Ellis,DE,Tennessee,,6-4,280,4.85,,,,,,New York Jets / 1st / 12th pick / 2000,ElliSh00,2143
John Engelberger,DE,Virginia Tech,College Stats,6-4,260,4.73,34.0,24.0,115.0,6.95,4.28,San Francisco 49ers / 2nd / 35th pick / 2000,EngeJo20,2166
Dwan Epps,ILB,Texas Southern,,6-1,242,4.68,34.5,8.0,,,,,-9999,N/A
Matt Farmer,WR,Air Force,,6-0,190,4.51,33.0,,108.0,6.63,3.94,,-9999,N/A
Danny Farmer,WR,UCLA,College Stats,6-3,217,4.58,,,,,,Pittsburgh Steelers / 4th / 103rd pick / 2000,FarmDa00,2234
Kevin Feterik,QB,BYU,,5-11,207,4.92,31.0,,106.0,7.3,4.45,,-9999,N/A
Chafie Fields,WR,Penn State,,6-1,196,4.43,,,,,,,-9999,N/A
Aaron Fields,DE,Troy,,6-4,243,4.76,34.0,22.0,115.0,7.51,4.56,,FielAa20,N/A
Zeron Flemister,TE,Iowa,College Stats,6-4,249,4.72,37.0,14.0,116.0,6.92,4.16,,FlemZe00,2446
Erik Flowers,DE,Arizona State,,6-4,271,4.75,33.0,24.0,114.0,7.21,4.15,Buffalo Bills / 1st / 26th pick / 2000,FlowEr20,2157
Derrick Foster,RB,Texas A&M-Kingsville,,5-11,201,4.43,34.5,19.0,117.0,6.84,4.36,,-9999,N/A
Larry Foster,WR,LSU,College Stats,5-10,198,4.55,37.0,,121.0,6.88,4.06,,FostLa00,2499
John Frank,DE,Utah,,6-4,280,4.78,37.0,32.0,117.0,7.07,4.27,Philadelphia Eagles / 6th / 178th pick / 2000,-9999,N/A
Bubba Franks,TE,Miami (FL),College Stats,6-6,265,4.85,,,,,,Green Bay Packers / 1st / 14th pick / 2000,FranBu00,2145
Todd Franz,S,Tulsa,,6-1,199,4.55,,14.0,,,,Detroit Lions / 5th / 145th pick / 2000,FranTo21,2276
Arturo Freeman,S,South Carolina,,6-0,188,4.5,35.5,14.0,124.0,6.91,4.38,Miami Dolphins / 5th / 152nd pick / 2000,FreeAr20,2283
Byron Frisch,DE,BYU,,6-4,281,4.73,34.5,31.0,114.0,7.2,4.41,Tennessee Titans / 3rd / 93rd pick / 2000,FrisBy20,2224
Mondriel Fulcher,FB,Miami (FL),College Stats,6-3,253,4.85,27.0,18.0,116.0,7.46,4.52,Oakland Raiders / 7th / 227th pick / 2000,FulcMo20,2358
Trent Gamble,S,Wyoming,,5-9,186,4.56,37.0,21.0,124.0,6.6,3.9,,GambTr20,2413
Jason Gavadza,TE,Kent State,,6-3,249,4.62,32.5,22.0,113.0,7.15,4.3,Pittsburgh Steelers / 6th / 204th pick / 2000,-9999,N/A
Trevor Gaylor,WR,Miami (OH),College Stats,6-3,199,4.56,37.5,,121.0,7.03,4.29,San Diego Chargers / 4th / 111th pick / 2000,GaylTr00,2242
Kabeer Gbaja-Biamila,OLB,San Diego State,,6-4,243,4.65,34.0,21.0,120.0,6.9,4.28,Green Bay Packers / 5th / 149th pick / 2000,GbajKa20,2280
Sherrod Gideon,WR,Southern Miss,,5-11,173,4.66,,,,,,New Orleans Saints / 6th / 200th pick / 2000,-9999,N/A
Ian Gold,OLB,Michigan,College Stats,6-1,221,4.56,33.0,21.0,115.0,6.97,4.19,Denver Broncos / 2nd / 40th pick / 2000,GoldIa00,2171
Dwayne Goodrich,CB,Tennessee,,5-11,195,4.45,,,,,,Dallas Cowboys / 2nd / 49th pick / 2000,GoodDw20,2180
Lamar Grant,CB,Duke,,5-11,188,4.62,32.0,16.0,117.0,7.3,4.3,,-9999,N/A
Deon Grant,S,Tennessee,College Stats,6-2,209,4.5,,15.0,,,,Carolina Panthers / 2nd / 57th pick / 2000,GranDe21,2188
Ernest Grant,DT,Ark-Pine Bluff,,6-5,316,5.31,29.5,24.0,98.0,8.0,5.03,Miami Dolphins / 6th / 167th pick / 2000,GranEr20,2298
Jonathan Gray,OT,Texas Tech,,6-4,338,5.85,23.0,20.0,94.0,,,,-9999,N/A
Brian Gray,CB,BYU,,6-1,214,4.94,33.5,19.0,116.0,7.38,4.24,,-9999,N/A
Barrett Green,OLB,West Virginia,College Stats,6-0,233,4.56,36.0,22.0,120.0,,,Detroit Lions / 2nd / 50th pick / 2000,GreeBa20,2181
Mike Green,S,NW State (LA),,6-0,189,4.53,38.5,,118.0,,4.2,Tennessee Titans / 7th / 213th pick / 2000,GreeMi00,2344
Mike Green,FB,Houston,College Stats,6-0,253,4.78,28.5,25.0,108.0,7.08,4.34,Tennessee Titans / 7th / 213th pick / 2000,GreeMi00,2344
Damian Gregory,DT,Illinois State,,6-2,307,4.87,30.0,27.0,105.0,7.37,4.6,,GregDa20,2869
Cornelius Griffin,DE,Alabama,,6-3,297,4.9,31.0,30.0,111.0,7.63,4.62,New York Giants / 2nd / 42nd pick / 2000,GrifCo20,2173
Clark Haggans,OLB,Colorado State,,6-3,253,4.97,31.5,20.0,109.0,7.12,4.21,Pittsburgh Steelers / 5th / 137th pick / 2000,HaggCl20,2268
Ricky Hall,WR,Virginia Tech,,6-2,206,4.52,,,,,,,-9999,N/A
Dante' Hall,RB,Texas A&M,,5-8,191,4.44,38.0,18.0,123.0,6.62,3.82,,-9999,2284
James Hall,DE,Michigan,,6-2,271,5.03,32.0,,111.0,7.86,4.51,,HallJa21,2432
Troy Hambrick,RB,South Carolina,College Stats,6-0,237,4.66,34.5,21.0,118.0,7.48,4.44,,HambTr00,2535
Joey Hamilton,WR,Jacksonville State,,6-1,201,4.54,36.0,,116.0,7.57,4.41,,-9999,2365
Joe Hamilton,QB,Georgia Tech,College Stats,5-10,192,4.81,,,106.0,,,Tampa Bay Buccaneers / 7th / 234th pick / 2000,HamiJo20,2365
Thomas Hamner,RB,Minnesota,,6-0,197,4.5,32.0,17.0,125.0,6.97,4.07,Philadelphia Eagles / 6th / 171st pick / 2000,-9999,N/A
D'Andre Hardeman,FB,Texas A&M,,5-10,238,4.81,30.0,,109.0,7.27,4.36,,-9999,N/A
Antwan Harris,CB,Virginia,,5-9,186,4.34,39.0,16.0,121.0,6.75,4.01,New England Patriots / 6th / 187th pick / 2000,HarrAn21,2318
Jeff Harris,CB,Georgia,,6-0,190,4.53,34.5,,114.0,6.73,4.25,Miami Dolphins / 7th / 232nd pick / 2000,-9999,N/A
Lloyd Harrison,CB,North Carolina State,College Stats,5-10,190,4.5,37.5,16.0,119.0,7.12,4.25,Washington Redskins / 3rd / 64th pick / 2000,HarrLl20,2195
Windrell Hayes,WR,USC,College Stats,5-11,204,4.5,,,,7.33,4.18,New York Jets / 5th / 143rd pick / 2000,HayeWi00,2274
Semisi Heimuli,OG,Texas A&M,,6-1,312,5.4,29.0,20.0,94.0,7.94,4.63,,-9999,N/A
Steve Herndon,OG,Georgia,,6-4,297,5.23,,,,,,,HernSt20,2832
Leroy Hodge,WR,Texas A&M,,6-1,215,4.54,34.5,,116.0,7.14,4.21,,-9999,N/A
Deone Horinek,P,Colorado State,,6-2,234,,,,,,,,-9999,N/A
Chris Hovan,DT,Boston Col.,,6-2,305,4.99,30.0,35.0,101.0,6.85,4.16,Minnesota Vikings / 1st / 25th pick / 2000,HovaCh20,2156
Darren Howard,DE,Kansas State,,6-4,281,5.09,29.0,,108.0,7.0,4.32,New Orleans Saints / 2nd / 33rd pick / 2000,HowaDa21,2164
Reggie Howard,CB,Memphis,,5-11,190,4.55,,,,,,,HowaRe21,2454
Ethan Howell,CB,Oklahoma State,,5-11,186,4.56,,16.0,,6.98,4.13,Washington Redskins / 7th / 250th pick / 2000,-9999,N/A
Aaron Humphrey,DE,Texas,,6-3,254,5.1,34.0,21.0,119.0,,,,-9999,N/A
Todd Husak,QB,Stanford,College Stats,6-3,216,5.2,27.5,,99.0,7.17,4.41,Washington Redskins / 6th / 202nd pick / 2000,HusaTo20,2333
Trevor Insley,WR,Nevada,College Stats,6-0,192,4.7,,,,,,,InslTr00,2891
Junior Ioane,DT,Arizona State,,6-3,324,5.12,,,,,,Oakland Raiders / 4th / 107th pick / 2000,IoanJu20,2238
Jabari Issa,DT,Washington,,6-5,296,5.05,31.5,19.0,105.0,7.69,4.72,Arizona Cardinals / 6th / 176th pick / 2000,IssaJa20,2307
Keith Jackson,DT,Cheyney,,6-4,319,5.2,,28.0,,,,,-9999,N/A
Al Jackson,OG,LSU,,6-3,304,5.2,,19.0,,,,,-9999,N/A
Darrell Jackson,WR,Florida,,6-0,197,4.56,,,,,,Seattle Seahawks / 3rd / 80th pick / 2000,JackDa00,2211
Jarious Jackson,QB,Notre Dame,College Stats,6-0,226,4.68,,,109.0,,,Denver Broncos / 7th / 214th pick / 2000,JackJa01,2345
Marlion Jackson,RB,Saginaw Valley State,,6-1,242,4.6,35.5,24.0,125.0,7.15,4.14,,JackMa01,N/A
Jeno James,OG,Auburn,,6-3,320,5.62,25.5,24.0,94.0,8.51,5.22,Carolina Panthers / 6th / 182nd pick / 2000,JameJe20,2313
Sebastian Janikowski,K,Florida State,College Stats,6-1,260,,,,,,,Oakland Raiders / 1st / 17th pick / 2000,janikseb01,2148
Ronney Jenkins,RB,Northern Arizona,College Stats,5-10,184,4.5,,18.0,118.0,,,,JenkRo00,2427
Brandon Jennings,S,Texas A&M,,6-0,198,4.51,38.0,16.0,123.0,6.91,4.14,,JennBr20,2460
Ryan Johanningmeier,OG,Colorado,,6-6,310,5.25,29.0,,107.0,7.9,4.66,,-9999,N/A
Matt Johnson,OG,BYU,,6-4,345,5.56,28.0,35.0,99.0,8.07,4.99,Indianapolis Colts / 5th / 138th pick / 2000,-9999,N/A
Doug Johnson,QB,Florida,College Stats,6-2,226,4.95,29.5,,96.0,,,,JohnDo00,2405
Dwight Johnson,DT,Baylor,,6-4,285,4.97,28.0,26.0,105.0,7.51,4.76,,JohnDw20,2426
Eric Johnson,S,Yale,,6-0,215,4.6,38.0,12.0,121.0,6.96,4.17,San Francisco 49ers / 7th / 224th pick / 2001,JohnEr00,N/A
Jerry Johnson,DT,Florida State,,6-0,293,5.03,28.5,26.0,102.0,,,Denver Broncos / 4th / 101st pick / 2000,JohnJe21,2232
Dwaune Jones,WR,Richmond,,6-0,191,4.66,,,,,,,-9999,N/A
Dhani Jones,OLB,Michigan,,6-1,240,4.68,,29.0,,,,New York Giants / 6th / 177th pick / 2000,JoneDh20,2308
Fred Jones,OLB,Colorado,,6-2,247,4.95,32.0,17.0,113.0,7.27,4.39,,JoneFr20,2392
John Jones,TE,Pittsburgh,College Stats,6-4,248,4.63,38.5,13.0,125.0,7.33,4.43,,JoneJo00,2467
Thomas Jones,RB,Virginia,College Stats,5-10,216,4.45,,,,,,Arizona Cardinals / 1st / 7th pick / 2000,JoneTh00,2138
Leander Jordan,OG,Indiana (PA),,6-4,330,5.46,31.0,25.0,104.0,7.91,4.76,Carolina Panthers / 3rd / 82nd pick / 2000,JordLe20,2213
Morgan Kane,RB,Wake Forest,,6-1,221,4.62,37.5,29.0,121.0,6.81,4.16,,-9999,N/A
Curtis Keaton,RB,West Virginia,College Stats,5-10,214,4.41,41.5,23.0,131.0,6.82,3.93,Cincinnati Bengals / 4th / 97th pick / 2000,KeatCu00,2228
Tinker Keck,S,Cincinnati,,6-1,200,4.55,36.5,15.0,120.0,6.96,4.31,,-9999,N/A
Matt Keller,FB,Ohio State,,5-11,235,4.74,,,,,,,-9999,N/A
Ben Kelly,CB,Colorado,College Stats,5-9,183,4.53,36.0,17.0,116.0,6.63,3.95,Miami Dolphins / 3rd / 84th pick / 2000,KellBe20,2215
Dan Kendra,FB,Florida State,,6-0,251,4.84,35.0,24.0,119.0,,,,-9999,N/A
Kenoy Kennedy,S,Arkansas,College Stats,6-1,221,4.71,33.5,8.0,113.0,7.08,4.38,Denver Broncos / 2nd / 45th pick / 2000,KennKe21,2176
Sean Key,S,Florida State,,5-11,188,4.65,,,,7.12,4.2,,-9999,N/A
Jimmy Kibble,P,Virginia Tech,,5-10,195,,,,,,,,-9999,N/A
Erron Kinney,TE,Florida,College Stats,6-6,272,4.9,,,,,,Tennessee Titans / 3rd / 68th pick / 2000,KinnEr00,2199
Adrian Klemm,OT,Hawaii,,6-4,307,4.98,,24.0,,,,New England Patriots / 2nd / 46th pick / 2000,KlemAd20,N/A
Andrew Kline,OG,San Diego State,,6-2,305,5.43,28.0,26.0,103.0,7.54,4.6,St. Louis Rams / 7th / 220th pick / 2000,-9999,N/A
Marcus Knight,WR,Michigan,College Stats,6-1,180,4.72,28.5,,106.0,7.11,4.38,,KnigMa00,2823
Noel LaMontagne,OG,Virginia,,6-4,299,5.09,,21.0,,,,,LamoNo20,N/A
Kareem Larrimore,CB,West Texas A&M,,5-11,190,4.42,34.0,,125.0,,,Dallas Cowboys / 4th / 109th pick / 2000,LarrKa20,2240
Leif Larsen,DT,Texas-El Paso,,6-4,300,5.08,30.0,45.0,110.0,7.46,4.37,Buffalo Bills / 6th / 194th pick / 2000,LarsLe20,2325
Shane Lechler,P,Texas A&M,College Stats,6-2,234,,,,,,,Oakland Raiders / 5th / 142nd pick / 2000,LechSh20,2273
Charles Lee,WR,Central Florida,College Stats,6-1,202,4.56,35.5,,125.0,7.3,4.25,Green Bay Packers / 7th / 242nd pick / 2000,LeexCh00,2373
Tim Lester,QB,West. Michigan,,6-0,202,5.02,27.0,,97.0,7.28,4.24,,-9999,N/A
Jamal Lewis,RB,Tennessee,College Stats,6-0,240,4.58,,23.0,,,,Baltimore Ravens / 1st / 5th pick / 2000,LewiJa00,2136
Anthony Lucas,WR,Arkansas,,6-3,194,4.53,35.0,,121.0,,,Green Bay Packers / 4th / 114th pick / 2000,-9999,N/A
Al Lucas,DT,Troy,,6-1,294,5.0,36.0,28.0,108.0,7.44,4.56,,LucaAl20,2492
Alton Lusk,WR,Central Oklahoma,,6-2,182,4.61,36.5,,122.0,7.16,4.26,,-9999,N/A
Dustin Lyman,ILB,Wake Forest,,6-4,259,4.7,35.0,22.0,118.0,6.86,4.06,Chicago Bears / 3rd / 87th pick / 2000,LymaDu00,2218
David Macklin,CB,Penn State,,5-9,194,4.54,37.5,,120.0,6.9,4.09,Indianapolis Colts / 3rd / 91st pick / 2000,MackDa20,2222
Anthony Malbrough,CB,Texas Tech,College Stats,5-9,184,4.44,35.5,20.0,117.0,6.73,4.0,Cleveland Browns / 5th / 130th pick / 2000,MalbAn20,2261
Tee Martin,QB,Tennessee,College Stats,6-2,227,4.58,34.5,,113.0,,,Pittsburgh Steelers / 5th / 163rd pick / 2000,MartTe00,2294
Terrence McCaskey,TE,Mississippi State,,6-5,271,5.0,29.0,,101.0,,,,-9999,N/A
Kevin McDougal,RB,Colorado State,College Stats,5-11,206,4.63,32.0,,108.0,7.08,4.12,,McDoKe01,2439
Stockar McDougle,OT,Oklahoma,College Stats,6-5,361,5.5,,24.0,,,,Detroit Lions / 1st / 20th pick / 2000,McDoSt20,2151
Chris McIntosh,OT,Wisconsin,College Stats,6-6,315,5.39,,28.0,,,,Seattle Seahawks / 1st / 22nd pick / 2000,McInCh20,N/A
Damion McIntosh,OT,Kansas State,,6-4,328,5.31,26.0,23.0,97.0,7.72,4.71,San Diego Chargers / 3rd / 83rd pick / 2000,McInDa20,2214
Alvin McKinley,DT,Mississippi State,,6-4,289,5.09,27.5,22.0,102.0,7.73,4.61,Carolina Panthers / 4th / 120th pick / 2000,McKiAl20,2251
Rondell Mealey,RB,LSU,College Stats,6-0,212,4.69,33.0,,120.0,6.89,4.15,Green Bay Packers / 7th / 252nd pick / 2000,MealRo00,2383
Brad Meester,C,New Mexico,,6-3,298,5.12,34.0,25.0,110.0,7.46,4.43,Jacksonville Jaguars / 2nd / 60th pick / 2000,MeesBr20,2191
Rob Meier,DE,Washington State,,6-5,284,4.99,30.5,27.0,113.0,7.49,4.52,Jacksonville Jaguars / 7th / 241st pick / 2000,MeieRo20,2372
Richard Mercier,OG,Miami (FL),,6-3,295,5.39,26.0,18.0,97.0,7.84,4.78,Baltimore Ravens / 5th / 148th pick / 2000,-9999,N/A
Keith Miller,ILB,California,,6-1,246,4.97,27.5,24.0,110.0,7.37,4.43,,MillKe20,2466
Wendell Montgomery,WR,Wyoming,,6-3,203,4.81,35.5,,117.0,7.01,4.24,,-9999,N/A
