Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional,NFL_id
Jon Abbate,ILB,Wake Forest,College Stats,5-10,231,5.0,38.5,26.0,115.0,7.12,4.33,,-9999,N/A
Victor Abiamiri,DE,Notre Dame,College Stats,6-4,267,4.8,,25.0,,,,Philadelphia Eagles / 2nd / 57th pick / 2007,AbiaVi99,10501
Gaines Adams,DE,Clemson,College Stats,6-5,258,4.64,35.0,,119.0,7.17,4.36,Tampa Bay Buccaneers / 1st / 4th pick / 2007,AdamGa99,10449
Jesse Ainsworth,K,Arizona State,College Stats,6-3,218,4.75,,,,,,,-9999,N/A
Ikaika Alama-Francis,DE,Hawaii,College Stats,6-5,280,4.85,,,,,,Detroit Lions / 2nd / 58th pick / 2007,AlamIk99,10502
Gerald Alexander,S,Boise State,College Stats,6-0,210,4.51,41.0,15.0,124.0,7.24,4.21,Detroit Lions / 2nd / 61st pick / 2007,AlexGe99,10505
Rufus Alexander,OLB,Oklahoma,College Stats,6-1,228,4.79,35.0,25.0,117.0,7.06,4.3,Minnesota Vikings / 6th / 176th pick / 2007,AlexRu20,N/A
Jay Alford,DT,Penn State,College Stats,6-3,304,5.17,25.5,,103.0,7.81,4.83,New York Giants / 3rd / 81st pick / 2007,AlfoJa99,10525
Michael Allan,TE,Whitworth,,6-6,255,4.71,36.0,19.0,123.0,7.31,4.52,Kansas City Chiefs / 7th / 231st pick / 2007,-9999,N/A
Andy Alleman,OG,Akron,,6-4,305,5.07,30.0,27.0,106.0,7.8,4.65,New Orleans Saints / 3rd / 88th pick / 2007,AlleAn20,N/A
Aundrae Allison,WR,East Carolina,College Stats,6-0,198,4.39,37.0,,127.0,,,Minnesota Vikings / 5th / 146th pick / 2007,AlliAu00,10589
Cory Anderson,FB,Tennessee,College Stats,6-2,247,4.7,37.0,19.0,115.0,7.37,4.35,,-9999,N/A
Deon Anderson,FB,Connecticut,College Stats,5-11,243,4.73,33.0,23.0,114.0,7.27,4.43,Dallas Cowboys / 6th / 195th pick / 2007,AndeDe01,10638
Jamaal Anderson,DE,Arkansas,College Stats,6-5,288,4.75,,,,,,Atlanta Falcons / 1st / 8th pick / 2007,AndeJa98,11116
Antwan Applewhite,DE,San Diego State,College Stats,6-3,250,4.73,35.0,25.0,115.0,7.5,4.36,,ApplAn99,10862
