Player,Pos,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Player-additional,NFL_id
Khalid Abdullah,OLB,Mars Hill,,6-2,227,4.61,36.5,26.0,126.0,7.13,4.25,Cincinnati Bengals / 5th / 136th pick / 2003,AbduKh20,4594
Anthony Adams,DT,Penn State,,6-0,299,5.13,30.5,,109.0,7.68,4.59,San Francisco 49ers / 2nd / 57th pick / 2003,AdamAn20,4515
Sam Aiken,WR,North Carolina,College Stats,6-2,209,4.59,39.5,,121.0,7.22,,Buffalo Bills / 4th / 127th pick / 2003,AikeSa00,4585
Paul Arnold,WR,Washington,College Stats,6-1,213,4.53,40.5,,131.0,6.84,4.11,,-9999,N/A
B.J. Askew,RB,Michigan,College Stats,6-2,241,4.6,,,,,,New York Jets / 3rd / 85th pick / 2003,AskeB.00,4543
Nnamdi Asomugha,CB,California,College Stats,6-2,213,4.45,37.5,16.0,124.0,,,Oakland Raiders / 1st / 31st pick / 2003,AsomNn20,4489
Rod Babers,CB,Texas,College Stats,5-9,192,4.43,37.0,15.0,127.0,6.83,4.07,,-9999,4581
Boss Bailey,OLB,Georgia,College Stats,6-3,233,4.58,42.0,,135.0,,,Detroit Lions / 2nd / 34th pick / 2003,BailBo20,4492
Korey Banks,CB,Mississippi State,College Stats,5-10,188,4.58,,15.0,,,,,-9999,N/A
Brad Banks,QB,Iowa,College Stats,5-11,201,4.67,33.5,,112.0,,,,-9999,N/A
Tully Banta-Cain,DE,California,College Stats,6-2,264,4.79,,25.0,,,,New England Patriots / 7th / 239th pick / 2003,BantTu20,4697
Nick Barnett,OLB,Oregon State,College Stats,6-2,236,4.67,34.5,32.0,123.0,7.0,4.08,Green Bay Packers / 1st / 29th pick / 2003,BarnNi20,4487
Solomon Bates,ILB,Arizona State,College Stats,6-1,243,4.89,30.0,19.0,112.0,7.23,4.34,Seattle Seahawks / 4th / 135th pick / 2003,BateSo20,4593
Justin Bates,OG,Colorado,,6-4,300,5.38,,18.0,,,,Dallas Cowboys / 7th / 219th pick / 2003,-9999,N/A
Arnaz Battle,WR,Notre Dame,College Stats,6-1,217,4.58,35.0,,117.0,6.74,4.06,San Francisco 49ers / 6th / 197th pick / 2003,BattAr00,4655
Julian Battle,CB,Tennessee,College Stats,6-2,205,4.45,,,,,,Kansas City Chiefs / 3rd / 92nd pick / 2003,BattJu20,4550
Santonio Beard,RB,Alabama,College Stats,6-0,222,4.62,31.5,,119.0,,,,-9999,N/A
Ronald Bellamy,WR,Michigan,College Stats,6-0,208,4.57,30.5,,119.0,7.38,4.1,,BellRo00,4792
Sean Berton,TE,North Carolina State,College Stats,6-4,279,5.02,31.0,,107.0,7.18,4.35,,BertSe00,4794
Jordan Black,OT,Notre Dame,College Stats,6-6,314,5.18,30.0,,106.0,7.65,4.5,Kansas City Chiefs / 5th / 153rd pick / 2003,BlacJo20,4611
Josh Blankenship,QB,Tulsa,,6-2,211,5.16,28.5,,103.0,7.59,4.42,,-9999,N/A
Anquan Boldin,WR,Florida State,College Stats,6-1,216,4.72,33.5,,114.0,7.35,4.33,Arizona Cardinals / 2nd / 54th pick / 2003,BoldAn00,4512
Kyle Boller,QB,California,College Stats,6-3,234,4.61,35.5,,117.0,7.2,4.02,Baltimore Ravens / 1st / 19th pick / 2003,BollKy00,4477
Ulish Booker,OT,Michigan State,,6-6,304,5.24,,,,,,,-9999,N/A
Colin Branch,S,Stanford,College Stats,6-0,203,4.4,36.0,22.0,119.0,,,Carolina Panthers / 4th / 119th pick / 2003,BranCo20,4577
