Player,Pos,combine_year,NFL_production_value
Harrison Smith,S,2012,1663.9999999999998
Eric Weddle,S,2007,1590.3000000000002
Thomas Davis,S,2005,1548.6
Terence Newman,CB,2003,1471.3
Malcolm Jenkins,CB,2009,1464.3
Devin McCourty,CB,2010,1406.6
Charles Tillman,CB,2003,1383.1999999999998
Kareem Jackson,CB,2010,1360.3
Jordan Poyer,CB,2013,1299.7
DeAngelo Hall,CB,2004,1298.2
Nate Clements,CB,2001,1293.7
Reggie Nelson,S,2007,1246.0
Budda Baker,S,2017,1238.8
Ed Reed,S,2002,1191.0
Troy Polamalu,S,2003,1186.0
Deon Grant,S,2000,1182.9
Donte Whitner,S,2006,1165.0
Quentin Jammer,CB,2002,1163.8
Darius Slay,CB,2013,1151.5000000000002
Antrel Rolle,CB,2005,1146.1
Roman Harper,S,2006,1115.9
Logan Ryan,CB,2013,1115.3
Patrick Peterson,CB,2011,1111.1
Michael Griffin,S,2007,1096.7
Jessie Bates,S,2018,1096.7
