Player,Pos,combine_year,NFL_production_value
Harrison Smith,S,2012,1687.9499999999998
Eric Weddle,S,2007,1612.65
Thomas Davis,S,2005,1541.3
Terence Newman,CB,2003,1511.9
Malcolm Jenkins,CB,2009,1475.85
Devin McCourty,CB,2010,1439.5
Charles Tillman,CB,2003,1419.1
Kareem Jackson,CB,2010,1380.2
DeAngelo Hall,CB,2004,1339.8
Nate Clements,CB,2001,1326.55
Jordan Poyer,CB,2013,1315.95
Reggie Nelson,S,2007,1279.45
Ed Reed,S,2002,1250.8
Budda Baker,S,2017,1239.8
Troy Polamalu,S,2003,1209.6
Deon Grant,S,2000,1208.3500000000001
Quentin Jammer,CB,2002,1184.8
Darius Slay,CB,2013,1178.8000000000002
Donte Whitner,S,2006,1173.9
Antrel Rolle,CB,2005,1169.3
Patrick Peterson,CB,2011,1144.3
Logan Ryan,CB,2013,1125.2
Jessie Bates,S,2018,1123.0
Michael Griffin,S,2007,1116.8
Roman Harper,S,2006,1114.3
