Player,Pos,combine_year,NFL_production_value
Harrison Smith,S,2012,1284.4999999999998
Eric Weddle,S,2007,1206.5
Thomas Davis,S,2005,1164.3999999999999
Terence Newman,CB,2003,1140.1
Malcolm Jenkins,CB,2009,1105.8
Devin McCourty,CB,2010,1084.3
Charles Tillman,CB,2003,1063.6
Kareem Jackson,CB,2010,1029.1999999999998
DeAngelo Hall,CB,2004,1012.6999999999998
Nate Clements,CB,2001,1000.8999999999999
Jordan Poyer,CB,2013,996.2
Ed Reed,S,2002,977.8
Reggie Nelson,S,2007,975.0
Troy Polamalu,S,2003,920.6999999999999
Deon Grant,S,2000,915.3
Budda Baker,S,2017,914.0999999999999
Darius Slay,CB,2013,885.1999999999999
Quentin Jammer,CB,2002,881.5
Antrel Rolle,CB,2005,878.6999999999999
Patrick Peterson,CB,2011,878.3
Donte Whitner,S,2006,866.4
Logan Ryan,CB,2013,849.0
Michael Griffin,S,2007,844.7999999999998
Roman Harper,S,2006,841.0
Jessie Bates,S,2018,838.7
