Player,Pos,combine_year,NFL_production_value
Harrison Smith,S,2012,1309.6999999999998
Eric Weddle,S,2007,1236.8999999999999
Terence Newman,CB,2003,1208.5
Thomas Davis,S,2005,1184.3999999999999
Malcolm Jenkins,CB,2009,1151.3999999999999
Devin McCourty,CB,2010,1115.3
Charles Tillman,CB,2003,1109.6
Kareem Jackson,CB,2010,1072.6
DeAngelo Hall,CB,2004,1054.8999999999999
Nate Clements,CB,2001,1049.5
Jordan Poyer,CB,2013,1007.2
Ed Reed,S,2002,997.8
Reggie Nelson,S,2007,997.0
Darius Slay,CB,2013,954.9999999999999
Troy Polamalu,S,2003,954.6999999999999
Deon Grant,S,2000,950.0999999999999
Quentin Jammer,CB,2002,943.9000000000001
Budda Baker,S,2017,932.5
Patrick Peterson,CB,2011,915.5
Joe Haden,CB,2010,897.4
Antrel Rolle,CB,2005,895.2999999999998
Logan Ryan,CB,2013,888.8
Donte Whitner,S,2006,888.4
Sheldon Brown,CB,2002,883.9000000000001
Roman Harper,S,2006,870.2
