Player,Pos,combine_year,NFL_production_value
Harrison Smith,S,2012,1501.5500000000002
Eric Weddle,S,2007,1443.85
Thomas Davis,S,2005,1415.7
Malcolm Jenkins,CB,2009,1308.65
Terence Newman,CB,2003,1271.1
Devin McCourty,CB,2010,1256.5
Charles Tillman,CB,2003,1229.9
Kareem Jackson,CB,2010,1210.8
Jordan Poyer,CB,2013,1182.55
Budda Baker,S,2017,1150.2
DeAngelo Hall,CB,2004,1143.2
Nate Clements,CB,2001,1133.95
Reggie Nelson,S,2007,1109.05
Donte Whitner,S,2006,1067.1
Troy Polamalu,S,2003,1048.4
Deon Grant,S,2000,1043.15
Antrel Rolle,CB,2005,1038.7
Ed Reed,S,2002,1033.2
Quentin Jammer,CB,2002,1007.1999999999999
Jessie Bates,S,2018,1002.0
Roman Harper,S,2006,1000.6999999999999
Michael Griffin,S,2007,994.2
Logan Ryan,CB,2013,985.8000000000001
Darius Slay,CB,2013,978.2
Patrick Peterson,CB,2011,954.6999999999999
