Player,Pos,combine_year,NFL_production_value
Harrison Smith,S,2012,1186.25
Eric Weddle,S,2007,1119.4499999999998
Thomas Davis,S,2005,1064.5
Terence Newman,CB,2003,1050.3
Malcolm Jenkins,CB,2009,1016.75
Devin McCourty,CB,2010,1000.1999999999999
Charles Tillman,CB,2003,994.3
Kareem Jackson,CB,2010,945.0999999999999
DeAngelo Hall,CB,2004,942.8999999999999
Nate Clements,CB,2001,925.75
Jordan Poyer,CB,2013,915.05
Ed Reed,S,2002,904.0
Reggie Nelson,S,2007,898.05
Budda Baker,S,2017,851.8999999999999
Troy Polamalu,S,2003,849.0999999999999
Deon Grant,S,2000,840.3499999999999
Antrel Rolle,CB,2005,813.9
Darius Slay,CB,2013,809.7
Quentin Jammer,CB,2002,808.3
Donte Whitner,S,2006,801.5
Patrick Peterson,CB,2011,795.0999999999999
Jessie Bates,S,2018,786.0
Logan Ryan,CB,2013,778.3000000000001
Michael Griffin,S,2007,778.3
Joe Haden,CB,2010,768.6999999999999
