Player,Pos,combine_year,NFL_production_value
Harrison Smith,S,2012,1648.9499999999998
Eric Weddle,S,2007,1583.65
Thomas Davis,S,2005,1528.3
Terence Newman,CB,2003,1469.9
Malcolm Jenkins,CB,2009,1454.85
Devin McCourty,CB,2010,1404.5
Charles Tillman,CB,2003,1381.1
Kareem Jackson,CB,2010,1358.2
DeAngelo Hall,CB,2004,1296.8
Jordan Poyer,CB,2013,1290.95
Nate Clements,CB,2001,1290.55
Reggie Nelson,S,2007,1241.45
Budda Baker,S,2017,1231.8
Ed Reed,S,2002,1186.8
Deon Grant,S,2000,1178.3500000000001
Troy Polamalu,S,2003,1177.6
Quentin Jammer,CB,2002,1163.8
Donte Whitner,S,2006,1162.9
Darius Slay,CB,2013,1150.8000000000002
Antrel Rolle,CB,2005,1143.3
Patrick Peterson,CB,2011,1108.3
Logan Ryan,CB,2013,1106.2
Roman Harper,S,2006,1103.3
Jessie Bates,S,2018,1096.0
Michael Griffin,S,2007,1091.8
