Player,Pos,combine_year,NFL_production_value
Harrison Smith,S,2012,1516.6000000000001
Eric Weddle,S,2007,1450.5
Thomas Davis,S,2005,1436.0
Malcolm Jenkins,CB,2009,1318.1000000000001
Terence Newman,CB,2003,1272.5
Devin McCourty,CB,2010,1258.6
Charles Tillman,CB,2003,1232.0
Kareem Jackson,CB,2010,1212.9
Jordan Poyer,CB,2013,1191.3
Budda Baker,S,2017,1157.2
DeAngelo Hall,CB,2004,1144.6
Nate Clements,CB,2001,1137.1
Reggie Nelson,S,2007,1113.6
Donte Whitner,S,2006,1069.2
Troy Polamalu,S,2003,1056.8
Deon Grant,S,2000,1047.7
Antrel Rolle,CB,2005,1041.5
Ed Reed,S,2002,1037.4
Roman Harper,S,2006,1013.3
Quentin Jammer,CB,2002,1007.1999999999999
Jessie Bates,S,2018,1002.7
Michael Griffin,S,2007,999.1
Logan Ryan,CB,2013,994.9000000000001
Darius Slay,CB,2013,978.9000000000001
Patrick Peterson,CB,2011,957.4999999999999
