Player,Pos,combine_year,NFL_production_value
Harrison Smith,S,2012,1333.6499999999999
Eric Weddle,S,2007,1259.25
Terence Newman,CB,2003,1249.1
Thomas Davis,S,2005,1177.1
Malcolm Jenkins,CB,2009,1162.9499999999998
Devin McCourty,CB,2010,1148.1999999999998
Charles Tillman,CB,2003,1145.5
DeAngelo Hall,CB,2004,1096.5
Kareem Jackson,CB,2010,1092.5
Nate Clements,CB,2001,1082.35
Ed Reed,S,2002,1057.6
Reggie Nelson,S,2007,1030.45
Jordan Poyer,CB,2013,1023.45
Darius Slay,CB,2013,982.3000000000001
Troy Polamalu,S,2003,978.3
Deon Grant,S,2000,975.55
Quentin Jammer,CB,2002,964.9000000000001
Patrick Peterson,CB,2011,948.7
Budda Baker,S,2017,933.5
Joe Haden,CB,2010,924.3000000000001
Antrel Rolle,CB,2005,918.4999999999999
Sheldon Brown,CB,2002,904.3
Logan Ryan,CB,2013,898.6999999999999
Donte Whitner,S,2006,897.3
Asante Samuel,CB,2003,883.8
