Player,Pos,combine_year,NFL_production_value
Harrison Smith,S,2012,1599.8
Eric Weddle,S,2007,1530.9
Thomas Davis,S,2005,1515.6
Malcolm Jenkins,CB,2009,1397.7
Terence Newman,CB,2003,1360.9
Devin McCourty,CB,2010,1340.6
Charles Tillman,CB,2003,1299.1999999999998
Kareem Jackson,CB,2010,1294.9
Jordan Poyer,CB,2013,1263.7
DeAngelo Hall,CB,2004,1213.0
Budda Baker,S,2017,1212.3999999999999
Nate Clements,CB,2001,1209.1
Reggie Nelson,S,2007,1186.0
Donte Whitner,S,2006,1132.0
Troy Polamalu,S,2003,1120.0
Deon Grant,S,2000,1118.1
Ed Reed,S,2002,1107.0
Antrel Rolle,CB,2005,1103.5
Quentin Jammer,CB,2002,1080.3999999999999
Roman Harper,S,2006,1075.7
Michael Griffin,S,2007,1060.7
Logan Ryan,CB,2013,1056.5
Jessie Bates,S,2018,1054.7
Darius Slay,CB,2013,1053.7
Patrick Peterson,CB,2011,1037.8999999999999
