Player,Pos,combine_year,NFL_production_value
Harrison Smith,S,2012,1555.6000000000001
Eric Weddle,S,2007,1479.5
Thomas Davis,S,2005,1449.0
Malcolm Jenkins,CB,2009,1339.1000000000001
Terence Newman,CB,2003,1314.5
Devin McCourty,CB,2010,1293.6
Charles Tillman,CB,2003,1270.0
Kareem Jackson,CB,2010,1234.8999999999999
Jordan Poyer,CB,2013,1216.3
DeAngelo Hall,CB,2004,1187.6
Nate Clements,CB,2001,1173.1
Budda Baker,S,2017,1165.2
Reggie Nelson,S,2007,1151.6
Ed Reed,S,2002,1101.4
Troy Polamalu,S,2003,1088.8000000000002
Donte Whitner,S,2006,1080.1999999999998
Deon Grant,S,2000,1077.6999999999998
Antrel Rolle,CB,2005,1067.5
Jessie Bates,S,2018,1029.7
Quentin Jammer,CB,2002,1028.2
Roman Harper,S,2006,1024.3
Michael Griffin,S,2007,1024.1
Logan Ryan,CB,2013,1013.9000000000001
Darius Slay,CB,2013,1006.9000000000001
Patrick Peterson,CB,2011,993.4999999999999
