Player,Pos,combine_year,NFL_production_value
Harrison Smith,S,2012,1162.3
Eric Weddle,S,2007,1097.1
Thomas Davis,S,2005,1071.8
Terence Newman,CB,2003,1009.6999999999998
Malcolm Jenkins,CB,2009,1005.2
Devin McCourty,CB,2010,967.3
Charles Tillman,CB,2003,958.4
Kareem Jackson,CB,2010,925.1999999999999
DeAngelo Hall,CB,2004,901.2999999999998
Jordan Poyer,CB,2013,898.8
Nate Clements,CB,2001,892.8999999999999
Reggie Nelson,S,2007,864.5999999999999
Budda Baker,S,2017,850.8999999999999
Ed Reed,S,2002,844.2
Troy Polamalu,S,2003,825.4999999999999
Deon Grant,S,2000,814.8999999999999
Donte Whitner,S,2006,792.6
Antrel Rolle,CB,2005,790.6999999999999
Quentin Jammer,CB,2002,787.3
Darius Slay,CB,2013,782.4
Logan Ryan,CB,2013,768.4000000000001
Roman Harper,S,2006,767.5999999999999
Patrick Peterson,CB,2011,761.9
Jessie Bates,S,2018,759.7
Michael Griffin,S,2007,758.1999999999999
