Player,Pos,combine_year,NFL_production_value
Harrison Smith,S,2012,1294.6499999999999
Eric Weddle,S,2007,1230.25
Terence Newman,CB,2003,1207.1
Thomas Davis,S,2005,1164.1
Malcolm Jenkins,CB,2009,1141.9499999999998
Devin McCourty,CB,2010,1113.1999999999998
Charles Tillman,CB,2003,1107.5
Kareem Jackson,CB,2010,1070.5
DeAngelo Hall,CB,2004,1053.5
Nate Clements,CB,2001,1046.35
Jordan Poyer,CB,2013,998.45
Ed Reed,S,2002,993.5999999999999
Reggie Nelson,S,2007,992.45
Darius Slay,CB,2013,954.3000000000001
Troy Polamalu,S,2003,946.3
Deon Grant,S,2000,945.55
Quentin Jammer,CB,2002,943.9000000000001
Budda Baker,S,2017,925.5
Patrick Peterson,CB,2011,912.7
Joe Haden,CB,2010,895.3000000000001
Antrel Rolle,CB,2005,892.4999999999999
Donte Whitner,S,2006,886.3
Logan Ryan,CB,2013,879.6999999999999
Sheldon Brown,CB,2002,878.3
Roman Harper,S,2006,857.5999999999999
