score_bin,players,score_mean,proxy_outcome_mean
0,346,5.2034682080924854,1.7355491329479769
1,331,13.582477341389726,5.43202416918429
2,338,22.60221893491124,10.95414201183432
3,343,32.99606413994169,18.85276967930029
4,335,45.23402985074627,28.567164179104477
5,339,58.641445427728605,39.25221238938053
6,337,72.01172106824924,49.07121661721068
7,338,86.39600591715975,60.80029585798817
8,338,130.46819526627218,85.85650887573965
9,339,486.0949852507374,336.9454277286136
