Player,Pos,combine_year,NFL_production_value
Harrison Smith,S,2012,1269.4499999999998
Eric Weddle,S,2007,1199.85
Thomas Davis,S,2005,1144.1
Terence Newman,CB,2003,1138.6999999999998
Malcolm Jenkins,CB,2009,1096.35
Devin McCourty,CB,2010,1082.1999999999998
Charles Tillman,CB,2003,1061.5
Kareem Jackson,CB,2010,1027.1
DeAngelo Hall,CB,2004,1011.3
Nate Clements,CB,2001,997.75
Jordan Poyer,CB,2013,987.45
Ed Reed,S,2002,973.5999999999999
Reggie Nelson,S,2007,970.45
Troy Polamalu,S,2003,912.3
Deon Grant,S,2000,910.75
Budda Baker,S,2017,907.0999999999999
Darius Slay,CB,2013,884.5
Quentin Jammer,CB,2002,881.5
Antrel Rolle,CB,2005,875.9
Patrick Peterson,CB,2011,875.5
Donte Whitner,S,2006,864.3
Logan Ryan,CB,2013,839.9
Michael Griffin,S,2007,839.8999999999999
Jessie Bates,S,2018,838.0
Joe Haden,CB,2010,831.9
