Player,Pos,combine_year,NFL_production_value
Harrison Smith,S,2012,1226.5
Eric Weddle,S,2007,1156.4999999999998
Terence Newman,CB,2003,1120.1
Thomas Davis,S,2005,1104.8
Malcolm Jenkins,CB,2009,1071.8
Charles Tillman,CB,2003,1042.4
Devin McCourty,CB,2010,1033.3
Kareem Jackson,CB,2010,990.6
DeAngelo Hall,CB,2004,986.4999999999999
Nate Clements,CB,2001,977.5
Jordan Poyer,CB,2013,934.8
Ed Reed,S,2002,928.2
Reggie Nelson,S,2007,924.5999999999999
Troy Polamalu,S,2003,891.4999999999999
Darius Slay,CB,2013,880.1999999999999
Deon Grant,S,2000,879.6999999999998
Budda Baker,S,2017,877.3
Quentin Jammer,CB,2002,870.7
Patrick Peterson,CB,2011,835.1
Joe Haden,CB,2010,834.1999999999999
Antrel Rolle,CB,2005,833.2999999999998
Logan Ryan,CB,2013,827.2
Donte Whitner,S,2006,825.6
Sheldon Brown,CB,2002,813.9000000000001
Roman Harper,S,2006,807.8
