Player,Pos,combine_year,NFL_production_value
Harrison Smith,S,2012,1348.6999999999998
Eric Weddle,S,2007,1265.8999999999999
Terence Newman,CB,2003,1250.5
Thomas Davis,S,2005,1197.3999999999999
Malcolm Jenkins,CB,2009,1172.3999999999999
Devin McCourty,CB,2010,1150.3
Charles Tillman,CB,2003,1147.6
DeAngelo Hall,CB,2004,1097.8999999999999
Kareem Jackson,CB,2010,1094.6
Nate Clements,CB,2001,1085.5
Ed Reed,S,2002,1061.8
Reggie Nelson,S,2007,1035.0
Jordan Poyer,CB,2013,1032.2
Troy Polamalu,S,2003,986.6999999999999
Darius Slay,CB,2013,982.9999999999999
Deon Grant,S,2000,980.0999999999999
Quentin Jammer,CB,2002,964.9000000000001
Patrick Peterson,CB,2011,951.5
Budda Baker,S,2017,940.5
Joe Haden,CB,2010,926.4
Antrel Rolle,CB,2005,921.2999999999998
Sheldon Brown,CB,2002,909.9000000000001
Logan Ryan,CB,2013,907.8
Donte Whitner,S,2006,899.4
Asante Samuel,CB,2003,883.8
