player_expected,pos_expected,year,sportsref_predicted_url,player_clean,assisted_tackles,awards,class,combined_tackles,conference,expected_draft_year,final_season_year,forced_fumbles,fumble_recoveries,fumble_recovery_tds,fumble_recovery_yards,games,interception_tds,interception_yards,interceptions,page_url,passes_defended,player_scraped,pos_scraped,sacks,school,scraped_at,solo_tackles,source_type,tfl
Jaylon Carlies,SAF,2024,https://www.sports-reference.com/cfb/players/jaylon-carlies-1.html,jaylon carlies,26,,SR,64,SEC,,2023,1,1,0,0,12,0,0,2,https://www.sports-reference.com/cfb/players/jaylon-carlies-1.html,5,Jaylon Carlies,DB,2.0,Missouri,2026-04-01T19:51:57.972Z,38,season_totals,4.5
Kamren Kinchens,SAF,2024,https://www.sports-reference.com/cfb/players/kamren-kinchens-1.html,kamren kinchens,19,,JR,59,ACC,,2023,0,1,0,0,10,1,57,5,https://www.sports-reference.com/cfb/players/kamren-kinchens-1.html,5,Kamren Kinchens,S/DB,1.0,Miami (FL),2026-04-01T19:52:22.210Z,40,season_totals,2.5
Malik Mustapha,SAF,2024,https://www.sports-reference.com/cfb/players/malik-mustapha-1.html,malik mustapha,35,,JR,80,ACC,,2023,1,0,0,0,12,0,50,1,https://www.sports-reference.com/cfb/players/malik-mustapha-1.html,2,Malik Mustapha,DB,0.5,Wake Forest,2026-04-01T19:52:40.104Z,45,season_totals,5.0
Sione Vaki,SAF,2024,https://www.sports-reference.com/cfb/players/sione-vaki-1.html,sione vaki,14,,SO,51,Pac-12,,2023,0,0,0,0,12,0,2,1,https://www.sports-reference.com/cfb/players/sione-vaki-1.html,2,Sione Vaki,S,2.0,Utah,2026-04-01T19:53:28.237Z,37,season_totals,8.5
Tykee Smith,SAF,2024,https://www.sports-reference.com/cfb/players/tykee-smith-1.html,tykee smith,24,,SR,70,SEC,,2023,0,0,0,0,14,0,20,4,https://www.sports-reference.com/cfb/players/tykee-smith-1.html,2,Tykee Smith,S/DB,2.0,Georgia,2026-04-01T19:53:46.585Z,46,season_totals,8.5
Tyler Nubin,SAF,2024,https://www.sports-reference.com/cfb/players/tyler-nubin-1.html,tyler nubin,19,,SR,53,Big Ten,,2023,1,1,0,0,12,0,66,5,https://www.sports-reference.com/cfb/players/tyler-nubin-1.html,4,Tyler Nubin,DB,1.0,Minnesota,2026-04-01T19:53:52.612Z,34,season_totals,1.0
Andrew Mukuba,SAF,2025,https://www.sports-reference.com/cfb/players/andrew-mukuba-1.html,andrew mukuba,28,,SR,69,SEC,,2024,1,0,0,0,15,0,12,5,https://www.sports-reference.com/cfb/players/andrew-mukuba-1.html,7,Andrew Mukuba,S/DB,0.0,Texas,2026-04-01T19:53:58.532Z,41,season_totals,4.0
Craig Woodson,SAF,2025,https://www.sports-reference.com/cfb/players/craig-woodson-1.html,craig woodson,25,,SR,70,ACC,,2024,0,1,0,0,13,0,0,2,https://www.sports-reference.com/cfb/players/criag-woodson-1.html,9,Craig Woodson,S/DB,0.0,California,2026-04-01T20:08:06.247Z,45,season_totals,2.5
Jaylen Reed,SAF,2025,https://www.sports-reference.com/cfb/players/jaylen-reed-1.html,jaylen reed,47,,SR,98,Big Ten,,2024,1,1,0,0,16,1,50,3,https://www.sports-reference.com/cfb/players/jaylen-reed-1.html,3,Jaylen Reed,S,2.5,Penn State,2026-04-01T19:55:06.531Z,51,season_totals,6.5
Jonas Sanker,SAF,2025,https://www.sports-reference.com/cfb/players/jonas-sanker-1.html,jonas sanker,33,,SR,98,ACC,,2024,0,2,1,40,12,0,45,1,https://www.sports-reference.com/cfb/players/jonas-sanker-1.html,4,Jonas Sanker,DB/S,2.0,Virginia,2026-04-01T19:55:18.541Z,65,season_totals,8.5
Lathan Ransom,SAF,2025,https://www.sports-reference.com/cfb/players/lathan-ransom-1.html,lathan ransom,30,,SR,76,Big Ten,,2024,3,1,1,27,15,0,24,1,https://www.sports-reference.com/cfb/players/lathan-ransom-1.html,2,Lathan Ransom,S/DB,1.0,Ohio State,2026-04-01T19:55:35.007Z,46,season_totals,9.0
Malachi Moore,SAF,2025,https://www.sports-reference.com/cfb/players/malachi-moore-1.html,malachi moore,0,,JR,1,ACC,,2015,0,0,0,0,10,0,0,0,https://www.sports-reference.com/cfb/players/malachi-moore-1.html,0,Malachi Moore,DL/DE,0.0,Boston College,2026-04-01T19:55:41.090Z,1,season_totals,0.0
Malaki Starks,SAF,2025,https://www.sports-reference.com/cfb/players/malaki-starks-1.html,malaki starks,25,,JR,77,SEC,,2024,0,0,0,0,14,0,0,1,https://www.sports-reference.com/cfb/players/malaki-starks-1.html,3,Malaki Starks,DB,0.0,Georgia,2026-04-01T19:55:47.280Z,52,season_totals,4.0
Nick Emmanwori,SAF,2025,https://www.sports-reference.com/cfb/players/nick-emmanwori-1.html,nick emmanwori,31,,JR,88,SEC,,2024,0,0,0,0,13,2,107,4,https://www.sports-reference.com/cfb/players/nick-emmanwori-1.html,2,Nick Emmanwori,DB,0.0,South Carolina,2026-04-01T19:55:59.149Z,57,season_totals,3.0
R.J. Mickens,SAF,2025,https://www.sports-reference.com/cfb/players/rj-mickens-1.html,r.j. mickens,31,,SR,75,ACC,,2024,0,0,0,0,13,0,6,2,https://www.sports-reference.com/cfb/players/rj-mickens-1.html,7,R.J. Mickens,S,0.0,Clemson,2026-04-01T19:56:17.241Z,44,season_totals,6.0
Xavier Watts,SAF,2025,https://www.sports-reference.com/cfb/players/xavier-watts-1.html,xavier watts,30,AA,SR,82,Ind,,2024,1,1,0,0,16,1,136,6,https://www.sports-reference.com/cfb/players/xavier-watts-1.html,10,Xavier Watts,WR/LB/S,0.0,Notre Dame,2026-04-01T19:56:50.473Z,52,season_totals,3.5
