assisted_tackles,awards,class,combined_tackles,conference,expected_draft_year,final_season_year,forced_fumbles,fumble_recoveries,fumble_recovery_tds,fumble_recovery_yards,games,interception_tds,interception_yards,interceptions,page_url,passes_defended,player,pos,sacks,school,scraped_at,solo_tackles,source_type,tfl
9,,JR,33,SEC,,2020,0,1,0,4,10,0,0,0,https://www.sports-reference.com/cfb/players/marco-wilson-1.html,4,Marco Wilson,CB/DB,0.0,Florida,2026-04-01T19:41:09.912Z,24,season_totals,0.0
11,,SR,21,SEC,,2020,0,0,0,0,8,0,13,1,https://www.sports-reference.com/cfb/players/mark-webb-1.html,2,Mark Webb,DB,0.0,Georgia,2026-04-01T19:41:16.051Z,10,season_totals,0.0
7,,JR,30,Pac-12,,2020,1,0,0,0,6,0,0,2,https://www.sports-reference.com/cfb/players/nahshon-wright-1.html,4,Nahshon Wright,DB,1.0,Oregon State,2026-04-01T19:41:21.897Z,23,season_totals,1.0
0,,JR,6,Big Ten,,2020,0,0,0,0,2,0,0,0,https://www.sports-reference.com/cfb/players/rachad-wildgoose-1.html,1,Rachad Wildgoose,CB,0.0,Wisconsin,2026-04-01T19:41:34.069Z,6,season_totals,2.0
23,,SR,72,American,,2020,2,2,0,0,9,0,25,3,https://www.sports-reference.com/cfb/players/richie-grant-1.html,5,Richie Grant,DB,1.0,UCF,2026-04-01T19:41:44.972Z,49,season_totals,3.5
5,,SR,18,Big 12,,2020,1,0,0,0,9,0,0,0,https://www.sports-reference.com/cfb/players/rodarius-williams-1.html,7,Rodarius Williams,CB,0.0,Oklahoma State,2026-04-01T19:41:50.863Z,13,season_totals,1.0
11,AA,JR,35,Big Ten,,2020,0,0,0,0,8,1,36,2,https://www.sports-reference.com/cfb/players/shaun-wade-1.html,4,Shaun Wade,CB,0.0,Ohio State,2026-04-01T19:41:56.744Z,24,season_totals,1.0
22,AA,JR,62,Pac-12,,2020,2,0,0,0,6,0,90,4,https://www.sports-reference.com/cfb/players/talanoa-hufanga-1.html,1,Talanoa Hufanga,S,3.0,USC,2026-04-01T19:42:08.885Z,40,season_totals,5.5
4,,SR,5,SEC,,2018,0,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/tre-brown-1.html,0,Tre Brown,DL/DT,0.0,Mississippi State,2026-04-01T19:42:15.034Z,1,season_totals,0.0
11,,JR,23,Big 12,,2020,0,0,0,0,11,1,98,5,https://www.sports-reference.com/cfb/players/tre-norwood-1.html,2,Tre Norwood,CB/DB,0.0,Oklahoma,2026-04-01T19:42:21.151Z,12,season_totals,0.0
15,,SR,46,SEC,,2020,0,0,0,0,9,0,0,0,https://www.sports-reference.com/cfb/players/tyree-gillespie-1.html,4,Tyree Gillespie,S,0.0,Missouri,2026-04-01T19:42:31.904Z,31,season_totals,0.5
8,,JR,29,SEC,,2020,0,0,0,0,10,0,40,1,https://www.sports-reference.com/cfb/players/tyson-campbell-1.html,5,Tyson Campbell,DB,0.0,Georgia,2026-04-01T19:42:37.938Z,21,season_totals,3.0
3,,SR,30,SEC,,2021,2,0,0,0,11,0,0,1,https://www.sports-reference.com/cfb/players/akayleb-evans-1.html,6,Akayleb Evans,DB/CB,0.0,Missouri,2026-04-01T19:42:43.756Z,27,season_totals,1.0
19,,SR,60,SEC,,2021,1,0,0,0,12,1,85,2,https://www.sports-reference.com/cfb/players/alontae-taylor-1.html,6,Alontae Taylor,DB,0.0,Tennessee,2026-04-01T19:42:49.958Z,41,season_totals,1.0
4,,SR,34,Pac-12,,2021,0,0,0,0,10,0,0,0,https://www.sports-reference.com/cfb/players/chase-lucas-1.html,6,Chase Lucas,DB,0.0,Arizona State,2026-04-01T19:43:11.604Z,30,season_totals,1.0
11,,SR,46,American,,2021,3,0,0,0,14,1,95,3,https://www.sports-reference.com/cfb/players/coby-bryant-1.html,11,Coby Bryant,S/CB,0.0,Cincinnati,2026-04-01T19:43:22.554Z,35,season_totals,1.0
13,,JR,41,SEC,,2021,1,0,0,0,11,0,0,1,https://www.sports-reference.com/cfb/players/cordale-flott-1.html,3,Cordale Flott,CB,0.0,LSU,2026-04-01T19:43:28.935Z,28,season_totals,1.0
10,,SR,63,American,,2021,0,0,0,0,14,0,0,1,https://www.sports-reference.com/cfb/players/damarion-williams-1.html,9,Damarion Williams,CB,0.0,Houston,2026-04-01T19:43:34.810Z,53,season_totals,3.0
12,,SR,44,ACC,,2021,0,0,0,0,13,1,50,2,https://www.sports-reference.com/cfb/players/damarri-mathis-1.html,6,Damarri Mathis,DB,0.0,Pitt,2026-04-01T19:43:40.915Z,32,season_totals,0.0
17,,JR,46,Big Ten,,2021,0,0,0,0,14,0,0,5,https://www.sports-reference.com/cfb/players/dane-belton-1.html,7,Dane Belton,DB,0.0,Iowa,2026-04-01T19:43:46.667Z,29,season_totals,3.0
17,,SR,52,Big 12,,2021,0,0,0,0,10,0,0,3,https://www.sports-reference.com/cfb/players/delarrin-turner-yell-1.html,1,Delarrin Turner-Yell,S,0.0,Oklahoma,2026-04-01T19:43:52.779Z,35,season_totals,2.5
17,,SR,41,SEC,,2021,0,0,0,0,15,0,14,4,https://www.sports-reference.com/cfb/players/derion-kendrick-1.html,3,Derion Kendrick,WR/CB/DB,0.0,Georgia,2026-04-01T19:44:04.032Z,24,season_totals,2.0
19,AA,SR,75,Big 12,,2021,3,3,0,10,14,0,20,2,https://www.sports-reference.com/cfb/players/jalen-pitre-1.html,7,Jalen Pitre,LB/S,3.5,Baylor,2026-04-01T19:44:22.063Z,56,season_totals,17.0
10,,JR,32,SEC,,2021,0,0,0,0,11,0,51,3,https://www.sports-reference.com/cfb/players/jalyn-armour-davis-1.html,4,Jalyn Armour-Davis,DB,0.0,Alabama,2026-04-01T19:44:27.735Z,22,season_totals,1.0
26,,SR,64,Big Ten,,2021,0,1,0,12,12,0,39,2,https://www.sports-reference.com/cfb/players/jaquan-brisker-1.html,5,Jaquan Brisker,S,0.0,Penn State,2026-04-01T19:44:33.941Z,38,season_totals,6.0
13,,JR,29,SEC,,2021,0,0,0,0,10,0,0,1,https://www.sports-reference.com/cfb/players/kaiir-elam-1.html,5,Kaiir Elam,DB/CB,0.0,Florida,2026-04-01T19:44:45.820Z,16,season_totals,1.5
16,,JR,57,Big Ten,,2021,0,3,0,0,12,0,12,5,https://www.sports-reference.com/cfb/players/kerby-joseph-1.html,2,Kerby Joseph,DB/WR,1.0,Illinois,2026-04-01T19:44:51.517Z,41,season_totals,1.0
15,AA,JR,34,Ind,,2021,0,0,0,0,7,0,0,3,https://www.sports-reference.com/cfb/players/kyle-hamilton-1.html,4,Kyle Hamilton,DB/S,0.0,Notre Dame,2026-04-01T19:44:57.810Z,19,season_totals,2.0
9,,SO,46,Pac-12,,2021,1,0,0,0,12,0,0,2,https://www.sports-reference.com/cfb/players/kyler-gordon-1.html,7,Kyler Gordon,CB/DB,0.0,Washington,2026-04-01T19:45:03.754Z,37,season_totals,2.0
30,,JR,73,SEC,,2021,0,0,0,0,15,0,8,1,https://www.sports-reference.com/cfb/players/lewis-cine-1.html,9,Lewis Cine,DB,0.0,Georgia,2026-04-01T19:45:09.761Z,43,season_totals,2.0
25,,SR,47,ACC,,2008,0,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/marcus-jones-1.html,3,Marcus Jones,QB/LB,1.0,Duke,2026-04-01T19:45:16.211Z,22,season_totals,2.0
18,,JR,49,SEC,,2021,0,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/martin-emerson-1.html,3,Martin Emerson,CB,0.0,Mississippi State,2026-04-01T19:45:21.990Z,31,season_totals,3.0
30,,SR,54,SEC,,2021,1,1,0,0,13,0,0,5,https://www.sports-reference.com/cfb/players/montaric-brown-1.html,6,Montaric Brown,DB,0.0,Arkansas,2026-04-01T19:45:27.874Z,24,season_totals,1.0
22,,JR,67,Big Ten,,2021,2,0,0,0,13,0,55,3,https://www.sports-reference.com/cfb/players/nick-cross-1.html,4,Nick Cross,DB,3.0,Maryland,2026-04-01T19:45:33.926Z,45,season_totals,3.5
24,,JR,61,Sun Belt,,2021,0,2,0,0,13,0,0,1,https://www.sports-reference.com/cfb/players/percy-butler-1.html,4,Percy Butler,DB/S,0.0,Louisiana,2026-04-01T19:45:39.941Z,37,season_totals,6.0
14,,SR,54,Pac-12,,2021,0,0,0,0,11,0,23,3,https://www.sports-reference.com/cfb/players/quentin-lake-1.html,6,Quentin Lake,DB,0.0,UCLA,2026-04-01T19:45:46.023Z,40,season_totals,2.0
8,,SR,49,SEC,,2021,0,1,0,0,12,1,35,2,https://www.sports-reference.com/cfb/players/roger-mccreary-1.html,14,Roger McCreary,DB/CB,1.0,Auburn,2026-04-01T19:45:52.015Z,41,season_totals,2.0
7,,SR,33,Big Ten,,2021,0,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/tariq-castro-fields-1.html,6,Tariq Castro-Fields,CB,0.0,Penn State,2026-04-01T19:45:58.043Z,26,season_totals,0.0
10,,SO,35,Pac-12,,2021,0,0,0,0,11,0,0,0,https://www.sports-reference.com/cfb/players/trent-mcduffie-1.html,6,Trent McDuffie,DB,1.0,Washington,2026-04-01T19:46:04.574Z,25,season_totals,4.0
18,,SR,44,MAC,,2021,1,0,0,0,10,0,0,0,https://www.sports-reference.com/cfb/players/tycen-anderson-1.html,2,Tycen Anderson,DB/S,1.0,Toledo,2026-04-01T19:46:10.609Z,26,season_totals,2.0
15,,SO,57,Pac-12,,2022,0,1,0,0,12,1,42,2,https://www.sports-reference.com/cfb/players/alex-austin-1.html,10,Alex Austin,DB,1.0,Oregon State,2026-04-01T19:46:21.019Z,42,season_totals,1.0
26,,SR,70,Big 12,,2010,1,0,0,0,13,0,20,1,https://www.sports-reference.com/cfb/players/antonio-johnson-1.html,0,Antonio Johnson,LB,3.0,Baylor,2026-04-01T19:46:27.187Z,44,season_totals,5.0
32,,JR,90,SEC,,2022,0,0,0,0,13,0,2,2,https://www.sports-reference.com/cfb/players/brian-branch-1.html,7,Brian Branch,DB,3.0,Alabama,2026-04-01T19:46:33.700Z,58,season_totals,14.0
14,,JR,48,SEC,,2022,0,1,0,21,12,0,0,1,https://www.sports-reference.com/cfb/players/carrington-valentine-1.html,10,Carrington Valentine,DB,1.0,Kentucky,2026-04-01T19:46:51.012Z,34,season_totals,1.5
29,,SR,67,ACC,,2022,0,0,0,0,11,0,0,0,https://www.sports-reference.com/cfb/players/chamarri-conner-1.html,2,Chamarri Conner,DB,0.0,Virginia Tech,2026-04-01T19:46:57.132Z,38,season_totals,2.0
0,,SR,1,MAC,,2019,0,0,0,0,1,0,0,0,https://www.sports-reference.com/cfb/players/christian-gonzalez-1.html,0,Christian Gonzalez,DT,0.0,Buffalo,2026-04-01T19:47:03.028Z,1,season_totals,1.0
16,AA,SR,61,SEC,,2022,1,1,0,0,15,0,29,3,https://www.sports-reference.com/cfb/players/christopher-smith-1.html,5,Christopher Smith,DB,1.0,Georgia,2026-04-01T19:47:09.037Z,45,season_totals,5.0
8,AA,SO,24,Pac-12,,2022,0,0,0,0,12,2,142,6,https://www.sports-reference.com/cfb/players/clark-phillips-iii-1.html,6,Clark Phillips III,CB,1.0,Utah,2026-04-01T19:47:15.058Z,16,season_totals,2.0
6,,SR,34,Big Ten,,2022,0,0,0,0,13,1,8,2,https://www.sports-reference.com/cfb/players/cory-trice-1.html,10,Cory Trice,DB/S/CB,0.0,Purdue,2026-04-01T19:47:22.147Z,28,season_totals,2.0
0,,SR,1,ACC,,2020,0,0,0,0,11,0,0,0,https://www.sports-reference.com/cfb/players/dj-turner-1.html,0,DJ Turner,WR,0.0,Pitt,2026-04-01T19:47:27.194Z,1,season_totals,0.0
28,,SR,85,Pac-12,,2022,2,0,0,0,12,0,59,3,https://www.sports-reference.com/cfb/players/daniel-scott-1.html,4,Daniel Scott,S,0.0,California,2026-04-01T19:47:33.133Z,57,season_totals,2.5
10,,SR,38,SEC,,2022,1,0,0,0,10,0,59,2,https://www.sports-reference.com/cfb/players/darius-rush-1.html,7,Darius Rush,DB,0.0,South Carolina,2026-04-01T19:47:39.302Z,28,season_totals,2.0
13,,SR,42,Sun Belt,,2022,0,0,0,0,13,0,21,1,https://www.sports-reference.com/cfb/players/darrell-luter-jr-1.html,7,Darrell Luter Jr.,CB,0.0,South Alabama,2026-04-01T19:47:45.151Z,29,season_totals,0.5
41,,SR,108,SEC,,2022,1,1,0,0,13,0,0,1,https://www.sports-reference.com/cfb/players/demarcco-hellams-1.html,7,Demarcco Hellams,DB,1.0,Alabama,2026-04-01T19:47:51.293Z,67,season_totals,3.0
13,,SR,38,Big Ten,,2022,0,0,0,0,12,0,0,1,https://www.sports-reference.com/cfb/players/deonte-banks-1.html,8,Deonte Banks,CB/DB,0.5,Maryland,2026-04-01T19:47:57.211Z,25,season_totals,0.5
9,AA,JR,41,Big Ten,,2022,0,0,0,0,12,0,97,3,https://www.sports-reference.com/cfb/players/devon-witherspoon-1.html,14,Devon Witherspoon,DB,0.0,Illinois,2026-04-01T19:48:03.301Z,32,season_totals,2.5
20,AA,JR,46,SEC,,2022,0,0,0,0,12,3,174,6,https://www.sports-reference.com/cfb/players/emmanuel-forbes-1.html,10,Emmanuel Forbes,CB,0.0,Mississippi State,2026-04-01T19:48:09.438Z,26,season_totals,1.0
0,,JR,0,ACC,,2018,0,0,0,0,14,0,0,0,https://www.sports-reference.com/cfb/players/garrett-williams-1.html,0,Garrett Williams,TE,0.0,Clemson,2026-04-01T19:48:15.358Z,0,season_totals,0.0
20,,SR,74,American,,2022,2,1,0,0,12,0,24,1,https://www.sports-reference.com/cfb/players/gervarrius-owens-1.html,8,Gervarrius Owens,S/DB,0.0,Houston,2026-04-01T19:48:21.280Z,54,season_totals,1.0
29,,SR,65,MWC,,2022,0,0,0,0,12,0,30,4,https://www.sports-reference.com/cfb/players/jl-skinner-1.html,5,JL Skinner,S,0.0,Boise State,2026-04-01T19:48:27.353Z,36,season_totals,0.5
13,,SR,39,Big Ten,,2022,0,0,0,0,12,0,0,2,https://www.sports-reference.com/cfb/players/jakorian-bennett-1.html,11,Jakorian Bennett,DB,0.0,Maryland,2026-04-01T19:48:33.890Z,26,season_totals,1.5
53,,JR,99,ACC,,2022,0,1,0,0,13,0,0,1,https://www.sports-reference.com/cfb/players/jammie-robinson-1.html,5,Jammie Robinson,DB,1.0,Florida State,2026-04-01T19:48:39.728Z,46,season_totals,5.0
9,,SR,26,SEC,,2021,0,0,0,0,11,0,0,1,https://www.sports-reference.com/cfb/players/jaylon-jones-1.html,3,Jaylon Jones,DB/LB,0.0,Ole Miss,2026-04-01T19:48:51.530Z,17,season_totals,1.0
18,,SR,74,Big Ten,,2022,2,1,1,0,13,0,114,4,https://www.sports-reference.com/cfb/players/jiayir-brown-1.html,3,Ji'ayir Brown,S,4.5,Penn State,2026-04-01T19:48:57.730Z,56,season_totals,7.0
6,,JR,27,Big Ten,,2022,0,1,0,0,10,0,0,0,https://www.sports-reference.com/cfb/players/joey-porter-jr-1.html,11,Joey Porter Jr.,CB,0.0,Penn State,2026-04-01T19:49:03.515Z,21,season_totals,0.0
37,,SR,71,SEC,,2022,0,0,0,0,13,0,0,1,https://www.sports-reference.com/cfb/players/jordan-battle-1.html,2,Jordan Battle,DB,0.0,Alabama,2026-04-01T19:49:09.482Z,34,season_totals,0.5
18,,SR,58,Big Ten,,2022,0,0,0,0,13,0,0,2,https://www.sports-reference.com/cfb/players/jordan-howden-1.html,5,Jordan Howden,DB,0.0,Minnesota,2026-04-01T19:49:15.422Z,40,season_totals,3.5
5,,SO,42,SEC,,2022,1,0,0,0,15,0,45,2,https://www.sports-reference.com/cfb/players/kelee-ringo-1.html,7,Kelee Ringo,DB,0.0,Georgia,2026-04-01T19:49:21.356Z,37,season_totals,2.0
21,,SR,67,Pac-12,,2022,1,1,0,0,14,0,31,3,https://www.sports-reference.com/cfb/players/mekhi-blackmon-1.html,12,Mekhi Blackmon,CB/DB,0.0,USC,2026-04-01T19:49:27.332Z,46,season_totals,2.0
7,,SR,23,MAC,,2022,0,0,0,0,11,0,12,2,https://www.sports-reference.com/cfb/players/nic-jones-1.html,12,Nic Jones,CB/DB,0.0,Ball State,2026-04-01T19:49:33.396Z,16,season_totals,0.0
16,,SR,47,Big Ten,,2022,2,0,0,0,13,0,0,1,https://www.sports-reference.com/cfb/players/riley-moss-1.html,11,Riley Moss,DB,0.0,Iowa,2026-04-01T19:49:39.464Z,31,season_totals,1.0
19,,SR,60,Big Ten,,2022,1,1,1,53,12,1,86,6,https://www.sports-reference.com/cfb/players/sydney-brown-1.html,7,Sydney Brown,DB,1.0,Illinois,2026-04-01T19:49:45.516Z,41,season_totals,3.5
7,,JR,25,ACC,,2022,0,0,0,0,11,0,0,2,https://www.sports-reference.com/cfb/players/tyrique-stevenson-1.html,7,Tyrique Stevenson,DB/CB,0.0,Miami (FL),2026-04-01T19:49:51.684Z,18,season_totals,1.5
14,,JR,47,SEC,,2023,0,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/andru-phillips-1.html,5,Andru Phillips,DB,0.0,Kentucky,2026-04-01T19:49:57.565Z,33,season_totals,1.5
13,,JR,42,ACC,,2023,1,1,0,0,11,0,0,0,https://www.sports-reference.com/cfb/players/caelen-carson-1.html,8,Caelen Carson,DB,0.0,Wake Forest,2026-04-01T19:50:03.721Z,29,season_totals,1.0
6,,SR,21,Ind,,2023,3,1,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/cam-hart-1.html,4,Cam Hart,CB,0.0,Notre Dame,2026-04-01T19:50:15.795Z,15,season_totals,3.0
13,,JR,35,Pac-12,,2023,0,0,0,0,7,0,0,0,https://www.sports-reference.com/cfb/players/chau-smith-wade-1.html,6,Chau Smith-Wade,DB,0.0,Washington State,2026-04-01T19:50:21.637Z,22,season_totals,2.0
15,AA,JR,41,Big Ten,,2023,0,0,0,0,10,0,41,2,https://www.sports-reference.com/cfb/players/cooper-dejean-1.html,5,Cooper DeJean,DB,0.0,Iowa,2026-04-01T19:50:33.727Z,26,season_totals,2.0
33,,SR,61,SEC,,2023,1,0,0,0,13,0,19,3,https://www.sports-reference.com/cfb/players/daijahn-anthony-1.html,8,Daijahn Anthony,CB/S,0.0,Ole Miss,2026-04-01T19:50:45.779Z,28,season_totals,2.5
12,,SR,36,SEC,,2023,1,0,0,0,13,0,44,1,https://www.sports-reference.com/cfb/players/deantre-prince-1.html,5,Deantre Prince,DB/CB,1.0,Ole Miss,2026-04-01T19:50:51.902Z,24,season_totals,5.0
36,,SR,79,SEC,,2023,0,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/decamerion-richardson-1.html,7,Decamerion Richardson,CB,1.0,Mississippi State,2026-04-01T19:50:57.843Z,43,season_totals,1.0
15,,JR,31,MAC,,2012,2,0,0,0,13,0,16,1,https://www.sports-reference.com/cfb/players/elijah-jones-1.html,0,Elijah Jones,DL,1.5,Toledo,2026-04-01T19:51:03.867Z,16,season_totals,7.5
11,,SR,35,SEC,,2023,1,0,0,0,9,0,0,0,https://www.sports-reference.com/cfb/players/ennis-rakestraw-jr-1.html,4,Ennis Rakestraw Jr.,DB,0.0,Missouri,2026-04-01T19:51:10.001Z,24,season_totals,1.5
5,,SR,10,Ind,,2007,0,0,0,0,8,0,0,0,https://www.sports-reference.com/cfb/players/evan-williams-1.html,0,Evan Williams,DL,1.0,Army,2026-04-01T19:51:16.350Z,5,season_totals,1.5
30,,SO,79,Pac-12,,2023,1,0,0,0,12,1,37,2,https://www.sports-reference.com/cfb/players/jaden-hicks-1.html,4,Jaden Hicks,DB,2.5,Washington State,2026-04-01T19:51:21.965Z,49,season_totals,6.0
9,,SR,25,ACC,,2023,1,1,0,3,12,1,32,3,https://www.sports-reference.com/cfb/players/jarrian-jones-1.html,3,Jarrian Jones,CB/DB,1.0,Florida State,2026-04-01T19:51:33.910Z,16,season_totals,5.0
14,,JR,30,ACC,,2023,0,1,0,0,11,0,18,1,https://www.sports-reference.com/cfb/players/jarvis-brownlee-1.html,6,Jarvis Brownlee,DB/CB,0.0,Louisville,2026-04-01T19:51:40.079Z,16,season_totals,1.0
17,,JR,56,SEC,,2023,0,0,0,0,12,0,0,2,https://www.sports-reference.com/cfb/players/javon-bullard-1.html,5,Javon Bullard,DB,0.0,Georgia,2026-04-01T19:51:46.062Z,39,season_totals,1.0
8,,SR,36,SEC,,2023,0,1,0,13,13,1,87,4,https://www.sports-reference.com/cfb/players/jaylin-simpson-1.html,3,Jaylin Simpson,DB/CB,0.0,Auburn,2026-04-01T19:51:52.047Z,28,season_totals,1.5
26,,SR,64,SEC,,2023,1,1,0,0,12,0,0,2,https://www.sports-reference.com/cfb/players/jaylon-carlies-1.html,5,Jaylon Carlies,DB,2.0,Missouri,2026-04-01T19:51:57.972Z,38,season_totals,4.5
7,,SR,33,Big 12,,2023,0,0,0,0,12,0,53,1,https://www.sports-reference.com/cfb/players/josh-newton-1.html,9,Josh Newton,CB,0.0,Texas Christian,2026-04-01T19:52:04.069Z,26,season_totals,0.0
6,,SR,19,SEC,,2023,0,0,0,0,7,1,33,3,https://www.sports-reference.com/cfb/players/kamal-hadden-1.html,8,Kamal Hadden,DB,0.0,Tennessee,2026-04-01T19:52:10.179Z,13,season_totals,0.0
16,,JR,37,SEC,,2023,0,0,0,0,14,0,0,0,https://www.sports-reference.com/cfb/players/kamari-lassiter-1.html,8,Kamari Lassiter,DB,0.5,Georgia,2026-04-01T19:52:16.312Z,21,season_totals,3.5
19,,JR,59,ACC,,2023,0,1,0,0,10,1,57,5,https://www.sports-reference.com/cfb/players/kamren-kinchens-1.html,5,Kamren Kinchens,S/DB,1.0,Miami (FL),2026-04-01T19:52:22.210Z,40,season_totals,2.5
8,,JR,32,SEC,,2023,0,0,0,0,14,0,0,0,https://www.sports-reference.com/cfb/players/kool-aid-mckinstry-1.html,7,Kool-Aid McKinstry,DB,0.0,Alabama,2026-04-01T19:52:28.084Z,24,season_totals,2.0
13,,SR,51,SEC,,2023,1,0,0,0,13,0,9,4,https://www.sports-reference.com/cfb/players/kris-abrams-draine-1.html,13,Kris Abrams-Draine,WR/DB,0.0,Missouri,2026-04-01T19:52:34.145Z,38,season_totals,2.5
35,,JR,80,ACC,,2023,1,0,0,0,12,0,50,1,https://www.sports-reference.com/cfb/players/malik-mustapha-1.html,2,Malik Mustapha,DB,0.5,Wake Forest,2026-04-01T19:52:40.104Z,45,season_totals,5.0
11,,SR,36,SEC,,2023,0,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/marcellas-dial-1.html,10,Marcellas Dial,DB,1.0,South Carolina,2026-04-01T19:52:46.171Z,25,season_totals,2.0
11,,JR,32,Big Ten,,2023,1,1,0,0,12,0,5,3,https://www.sports-reference.com/cfb/players/max-melton-1.html,6,Max Melton,DB,1.0,Rutgers,2026-04-01T19:52:52.180Z,21,season_totals,4.0
18,,SR,44,Big Ten,,2023,2,0,0,0,15,2,232,6,https://www.sports-reference.com/cfb/players/mike-sainristil-1.html,6,Mike Sainristil,WR/CB/DB,1.0,Michigan,2026-04-01T19:52:58.301Z,26,season_totals,4.0
6,,JR,29,ACC,,2023,2,0,0,0,10,1,52,2,https://www.sports-reference.com/cfb/players/nate-wiggins-1.html,6,Nate Wiggins,CB,1.0,Clemson,2026-04-01T19:53:04.252Z,23,season_totals,1.0
4,,SR,22,SEC,,2023,0,0,0,0,9,0,33,1,https://www.sports-reference.com/cfb/players/nehemiah-pritchett-1.html,3,Nehemiah Pritchett,DB/CB,0.0,Auburn,2026-04-01T19:53:10.200Z,18,season_totals,1.0
9,,JR,41,MAC,,2023,0,0,0,0,13,0,3,1,https://www.sports-reference.com/cfb/players/quinyon-mitchell-1.html,18,Quinyon Mitchell,CB,0.0,Toledo,2026-04-01T19:53:16.277Z,32,season_totals,2.0
11,,SR,43,ACC,,2023,0,0,0,0,13,0,0,1,https://www.sports-reference.com/cfb/players/renardo-green-1.html,13,Renardo Green,DB,0.5,Florida State,2026-04-01T19:53:22.293Z,32,season_totals,2.5
14,,SO,51,Pac-12,,2023,0,0,0,0,12,0,2,1,https://www.sports-reference.com/cfb/players/sione-vaki-1.html,2,Sione Vaki,S,2.0,Utah,2026-04-01T19:53:28.237Z,37,season_totals,8.5
14,,SR,45,Big Ten,,2023,0,0,0,0,10,0,29,5,https://www.sports-reference.com/cfb/players/tarheeb-still-1.html,2,Tarheeb Still,DB,0.0,Maryland,2026-04-01T19:53:34.428Z,31,season_totals,2.0
23,,SO,63,SEC,,2023,1,0,0,0,14,0,69,5,https://www.sports-reference.com/cfb/players/terrion-arnold-1.html,12,Terrion Arnold,DB,1.0,Alabama,2026-04-01T19:53:40.340Z,40,season_totals,6.5
24,,SR,70,SEC,,2023,0,0,0,0,14,0,20,4,https://www.sports-reference.com/cfb/players/tykee-smith-1.html,2,Tykee Smith,S/DB,2.0,Georgia,2026-04-01T19:53:46.585Z,46,season_totals,8.5
19,,SR,53,Big Ten,,2023,1,1,0,0,12,0,66,5,https://www.sports-reference.com/cfb/players/tyler-nubin-1.html,4,Tyler Nubin,DB,1.0,Minnesota,2026-04-01T19:53:52.612Z,34,season_totals,1.0
28,,SR,69,SEC,,2024,1,0,0,0,15,0,12,5,https://www.sports-reference.com/cfb/players/andrew-mukuba-1.html,7,Andrew Mukuba,S/DB,0.0,Texas,2026-04-01T19:53:58.532Z,41,season_totals,4.0
17,,JR,52,ACC,,2024,0,0,0,0,12,0,0,1,https://www.sports-reference.com/cfb/players/azareyeh-thomas-1.html,4,Azareye'h Thomas,DB,0.0,Florida State,2026-04-01T19:54:04.478Z,35,season_totals,1.5
6,,SR,18,Big 12,,2024,0,0,0,0,12,0,5,3,https://www.sports-reference.com/cfb/players/darien-porter-1.html,2,Darien Porter,WR/DB,0.0,Iowa State,2026-04-01T19:54:30.515Z,12,season_totals,2.0
11,,SR,48,Big Ten,,2024,0,0,0,0,16,0,31,2,https://www.sports-reference.com/cfb/players/denzel-burke-1.html,2,Denzel Burke,CB/DB,0.0,Ohio State,2026-04-01T19:54:36.462Z,37,season_totals,3.0
12,,SR,32,ACC,,2024,1,1,0,12,12,0,-7,2,https://www.sports-reference.com/cfb/players/dorian-strong-1.html,6,Dorian Strong,DB/CB,0.0,Virginia Tech,2026-04-01T19:54:42.347Z,20,season_totals,0.0
10,,JR,50,Big 12,,2024,0,0,0,0,12,0,0,1,https://www.sports-reference.com/cfb/players/jacob-parrish-1.html,7,Jacob Parrish,CB,0.0,Kansas State,2026-04-01T19:54:48.346Z,40,season_totals,2.5
21,AA,SR,67,SEC,,2024,0,1,0,2,16,0,82,5,https://www.sports-reference.com/cfb/players/jahdae-barron-1.html,11,Jahdae Barron,DB,1.0,Texas,2026-04-01T19:54:54.468Z,46,season_totals,2.5
7,,SR,20,SEC,,2024,1,0,0,0,7,0,0,0,https://www.sports-reference.com/cfb/players/jason-marshall-jr-1.html,4,Jason Marshall Jr.,CB/DB,0.0,Florida,2026-04-01T19:55:00.471Z,13,season_totals,1.5
47,,SR,98,Big Ten,,2024,1,1,0,0,16,1,50,3,https://www.sports-reference.com/cfb/players/jaylen-reed-1.html,3,Jaylen Reed,S,2.5,Penn State,2026-04-01T19:55:06.531Z,51,season_totals,6.5
19,,SR,59,Big Ten,,2024,0,0,0,0,10,0,0,2,https://www.sports-reference.com/cfb/players/jaylin-smith-1.html,2,Jaylin Smith,S/DB/CB,0.0,USC,2026-04-01T19:55:12.559Z,40,season_totals,4.0
33,,SR,98,ACC,,2024,0,2,1,40,12,0,45,1,https://www.sports-reference.com/cfb/players/jonas-sanker-1.html,4,Jonas Sanker,DB/S,2.0,Virginia,2026-04-01T19:55:18.541Z,65,season_totals,8.5
