assisted_tackles,awards,class,combined_tackles,conference,final_season_year,forced_fumbles,fumble_recoveries,fumble_recovery_tds,fumble_recovery_yards,games,interception_tds,interception_yards,interceptions,page_url,passes_defended,player,pos,sacks,school,solo_tackles,source_type,tfl
52,,SR,77,Big Ten,2009,0,0,0,0,13,0,29,5,https://www.sports-reference.com/cfb/players/aj-edds-1.html,0,A.J. Edds,LB,0.0,Iowa,25,season_totals,4.0
17,,JR,49,Big Ten,2019,4,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/aj-epenesa-1.html,3,A.J. Epenesa,DE,11.5,Iowa,32,season_totals,14.5
52,"H-6,AA",SR,121,Big Ten,2005,2,0,0,0,12,0,24,1,https://www.sports-reference.com/cfb/players/aj-hawk-1.html,0,A.J. Hawk,LB,9.5,Ohio State,69,season_totals,16.5
58,,SR,117,Big 12,2012,0,0,0,0,13,1,87,1,https://www.sports-reference.com/cfb/players/aj-klein-1.html,0,A.J. Klein,LB,1.0,Iowa State,59,season_totals,3.5
10,,JR,34,ACC,2019,0,0,0,0,15,0,65,2,https://www.sports-reference.com/cfb/players/aj-terrell-1.html,4,A.J. Terrell,CB,0.5,Clemson,24,season_totals,0.5
11,,SR,55,Big 12,2013,0,1,0,0,11,0,0,1,https://www.sports-reference.com/cfb/players/aaron-colvin-1.html,3,Aaron Colvin,DB,1.0,Oklahoma,44,season_totals,5.0
39,,SR,105,ACC,2008,1,0,0,0,13,0,22,1,https://www.sports-reference.com/cfb/players/aaron-curry-1.html,0,Aaron Curry,LB,2.5,Wake Forest,66,season_totals,16.0
16,"Nagurski,Bednarik,AA",SR,59,ACC,2013,4,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/aaron-donald-1.html,3,Aaron Donald,DL,11.0,Pitt,43,season_totals,28.5
12,,SO,29,American,2013,0,1,1,44,12,0,0,0,https://www.sports-reference.com/cfb/players/aaron-lynch-1.html,1,Aaron Lynch,DL,5.0,South Florida,17,season_totals,12.0
19,AA,SO,49,Big Ten,2008,3,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/aaron-maybin-1.html,3,Aaron Maybin,DL,12.0,Penn State,30,season_totals,20.0
10,,SR,57,Big 12,2006,3,0,1,3,13,0,7,6,https://www.sports-reference.com/cfb/players/aaron-ross-1.html,0,Aaron Ross,DB,1.0,Texas,47,season_totals,2.0
33,,SR,57,ACC,2006,1,0,0,0,13,0,28,1,https://www.sports-reference.com/cfb/players/aaron-rouse-1.html,0,Aaron Rouse,LB,0.0,Virginia Tech,24,season_totals,2.0
16,,SO,34,MAC,2009,0,0,0,0,6,0,0,0,https://www.sports-reference.com/cfb/players/aaron-williams-1.html,0,Aaron Williams,LB,0.0,Akron,18,season_totals,4.0
25,AA,JR,68,Big Ten,2024,2,0,0,0,16,0,0,0,https://www.sports-reference.com/cfb/players/abdul-carter-1.html,4,Abdul Carter,LB,12.0,Penn State,43,season_totals,23.5
