assisted_tackles,awards,class,combined_tackles,conference,final_season_year,forced_fumbles,fumble_recoveries,fumble_recovery_tds,fumble_recovery_yards,games,interception_tds,interception_yards,interceptions,page_url,passes_defended,player,pos,sacks,school,scraped_at,solo_tackles,source_type,tfl
12,,SO,29,American,2013,0,1,1,44,12,0,0,0,https://www.sports-reference.com/cfb/players/aaron-lynch-1.html,1,Aaron Lynch,DL,5.0,South Florida,2026-04-01T15:08:05.454Z,17,season_totals,12.0
19,AA,SO,49,Big Ten,2008,3,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/aaron-maybin-1.html,3,Aaron Maybin,DL,12.0,Penn State,2026-04-01T15:08:12.509Z,30,season_totals,20.0
10,,SR,57,Big 12,2006,3,0,1,3,13,0,7,6,https://www.sports-reference.com/cfb/players/aaron-ross-1.html,0,Aaron Ross,DB,1.0,Texas,2026-04-01T15:08:26.575Z,47,season_totals,2.0
33,,SR,57,ACC,2006,1,0,0,0,13,0,28,1,https://www.sports-reference.com/cfb/players/aaron-rouse-1.html,0,Aaron Rouse,LB,0.0,Virginia Tech,2026-04-01T15:08:33.438Z,24,season_totals,2.0
16,,SO,34,MAC,2009,0,0,0,0,6,0,0,0,https://www.sports-reference.com/cfb/players/aaron-williams-1.html,0,Aaron Williams,LB,0.0,Akron,2026-04-01T15:08:47.556Z,18,season_totals,4.0
25,AA,JR,68,Big Ten,2024,2,0,0,0,16,0,0,0,https://www.sports-reference.com/cfb/players/abdul-carter-1.html,4,Abdul Carter,LB,12.0,Penn State,2026-04-01T15:08:54.645Z,43,season_totals,23.5
62,,SR,158,Big Ten,2005,3,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/abdul-hodge-1.html,0,Abdul Hodge,LB,1.0,Iowa,2026-04-01T15:09:01.952Z,96,season_totals,11.0
28,,SR,52,Big 12,2006,0,0,0,0,14,0,-3,1,https://www.sports-reference.com/cfb/players/adam-carriker-1.html,0,Adam Carriker,DL,7.0,Nebraska,2026-04-01T15:09:17.186Z,24,season_totals,14.0
11,,SR,31,ACC,2015,0,2,1,11,9,0,0,0,https://www.sports-reference.com/cfb/players/adam-gotsis-1.html,0,Adam Gotsis,DL,3.0,Georgia Tech,2026-04-01T15:09:22.752Z,20,season_totals,5.0
8,,SR,23,ACC,2020,1,1,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/adetokunbo-ogundeji-1.html,0,Adetokunbo Ogundeji,DL,7.0,Notre Dame,2026-04-01T15:09:43.807Z,15,season_totals,7.0
11,,SR,38,Big Ten,2022,2,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/adetomiwa-adebawore-1.html,1,Adetomiwa Adebawore,DL,5.0,Northwestern,2026-04-01T15:09:50.804Z,27,season_totals,9.0
14,,SR,37,Big Ten,2023,1,1,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/adisa-isaac-1.html,0,Adisa Isaac,DE,7.5,Penn State,2026-04-01T15:09:57.861Z,23,season_totals,16.0
26,,SR,49,Big Ten,2015,1,1,0,0,12,1,20,1,https://www.sports-reference.com/cfb/players/adolphus-washington-1.html,1,Adolphus Washington,DL,4.0,Ohio State,2026-04-01T15:10:04.880Z,23,season_totals,7.0
9,AA,JR,55,Pac-12,2016,0,2,0,26,13,0,21,5,https://www.sports-reference.com/cfb/players/adoree-jackson-1.html,11,Adoree Jackson,CB/DB,0.0,USC,2026-04-01T15:10:11.959Z,46,season_totals,2.0
12,,SR,42,Big Ten,2014,0,0,0,0,13,0,35,3,https://www.sports-reference.com/cfb/players/adrian-amos-1.html,7,Adrian Amos,DB/S,0.0,Penn State,2026-04-01T15:10:19.210Z,30,season_totals,2.5
33,AA,SR,52,Big Ten,2010,1,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/adrian-clayborn-1.html,1,Adrian Clayborn,DL,3.5,Iowa,2026-04-01T15:10:25.907Z,19,season_totals,7.0
20,,SR,31,ACC,2024,0,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/aeneas-peebles-1.html,3,Aeneas Peebles,DT,3.0,Virginia Tech,2026-04-01T15:10:38.583Z,11,season_totals,6.5
4,,SR,23,Pac-12,2016,1,1,0,0,14,0,0,1,https://www.sports-reference.com/cfb/players/ahkello-witherspoon-1.html,22,Ahkello Witherspoon,DB,0.0,Colorado,2026-04-01T15:10:45.727Z,19,season_totals,0.0
35,,SR,108,SEC,2010,3,0,0,0,13,1,171,5,https://www.sports-reference.com/cfb/players/ahmad-black-1.html,0,Ahmad Black,DB,1.0,Florida,2026-04-01T15:10:52.797Z,73,season_totals,10.0
28,,SR,81,Big 12,2013,1,1,0,0,12,0,0,1,https://www.sports-reference.com/cfb/players/ahmad-dixon-1.html,6,Ahmad Dixon,DB/S,0.0,Baylor,2026-04-01T15:11:06.800Z,53,season_totals,2.0
18,,SR,42,Big 12,2007,1,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/ahtyba-rubin-1.html,1,Ahtyba Rubin,OL/DL,1.5,Iowa State,2026-04-01T15:11:13.780Z,24,season_totals,4.0
26,"H-2,AA",SR,62,Big Ten,2021,2,1,0,0,14,0,0,0,https://www.sports-reference.com/cfb/players/aidan-hutchinson-1.html,3,Aidan Hutchinson,DL,14.0,Michigan,2026-04-01T15:11:21.040Z,36,season_totals,16.5
3,,SR,30,SEC,2021,2,0,0,0,11,0,0,1,https://www.sports-reference.com/cfb/players/akayleb-evans-1.html,6,Akayleb Evans,DB/CB,0.0,Missouri,2026-04-01T15:11:27.888Z,27,season_totals,1.0
23,,JR,68,Pac-10,2010,2,0,0,0,12,0,90,2,https://www.sports-reference.com/cfb/players/akeem-ayers-1.html,0,Akeem Ayers,LB,4.0,UCLA,2026-04-01T15:11:34.960Z,45,season_totals,10.0
53,,SR,102,Sun Belt,2019,0,0,0,0,14,0,0,1,https://www.sports-reference.com/cfb/players/akeem-davis-gaither-1.html,8,Akeem Davis-Gaither,LB,5.0,Appalachian State,2026-04-01T15:11:41.938Z,49,season_totals,14.5
57,,SR,126,SEC,2010,2,1,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/akeem-dent-1.html,2,Akeem Dent,LB,2.5,Georgia,2026-04-01T15:11:48.931Z,69,season_totals,6.5
40,,JR,72,Big Ten,2012,1,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/akeem-spence-1.html,0,Akeem Spence,DL,1.0,Illinois,2026-04-01T15:11:55.949Z,32,season_totals,7.0
20,,SO,54,ACC,2015,1,0,0,0,12,0,0,0,https://www.sports-reference.com/cfb/players/al-quadin-muhammad-1.html,1,Al-Quadin Muhammad,DE/DL,5.0,Miami (FL),2026-04-01T15:12:22.941Z,34,season_totals,8.5
15,,SR,30,Pac-12,2011,0,0,0,0,13,0,0,0,https://www.sports-reference.com/cfb/players/alameda-taamu-1.html,0,Alameda Ta'Amu,DL,3.5,Washington,2026-04-01T15:12:29.996Z,15,season_totals,7.0
7,,JR,25,Big Ten,2006,2,0,0,0,13,0,0,1,https://www.sports-reference.com/cfb/players/alan-branch-1.html,0,Alan Branch,DL,2.0,Michigan,2026-04-01T15:12:37.311Z,18,season_totals,6.0
7,,SO,15,Big 12,2010,0,0,0,0,10,0,58,1,https://www.sports-reference.com/cfb/players/aldon-smith-1.html,0,Aldon Smith,DL,3.0,Missouri,2026-04-01T15:12:56.713Z,8,season_totals,4.0
48,,JR,111,SEC,2012,1,0,1,0,10,0,0,1,https://www.sports-reference.com/cfb/players/alec-ogletree-1.html,0,Alec Ogletree,DB/LB,3.0,Georgia,2026-04-01T15:13:03.863Z,63,season_totals,11.5
31,,JR,53,SEC,2016,0,1,0,0,8,0,0,0,https://www.sports-reference.com/cfb/players/alex-anzalone-1.html,2,Alex Anzalone,LB,3.0,Florida,2026-04-01T15:13:10.940Z,22,season_totals,4.0
15,,SO,57,Pac-12,2022,0,1,0,0,12,1,42,2,https://www.sports-reference.com/cfb/players/alex-austin-1.html,10,Alex Austin,DB,1.0,Oregon State,2026-04-01T15:13:17.895Z,42,season_totals,1.0
