Player,Pos,combine_year,NFL_production_value
Harrison Smith,S,2012,1230.4499999999998
Eric Weddle,S,2007,1170.85
Thomas Davis,S,2005,1131.1
Terence Newman,CB,2003,1096.6999999999998
Malcolm Jenkins,CB,2009,1075.35
Devin McCourty,CB,2010,1047.1999999999998
Charles Tillman,CB,2003,1023.5
Kareem Jackson,CB,2010,1005.0999999999999
DeAngelo Hall,CB,2004,968.3
Jordan Poyer,CB,2013,962.45
Nate Clements,CB,2001,961.75
Reggie Nelson,S,2007,932.45
Ed Reed,S,2002,909.5999999999999
Budda Baker,S,2017,899.0999999999999
Deon Grant,S,2000,880.75
Troy Polamalu,S,2003,880.3
Quentin Jammer,CB,2002,860.5
Darius Slay,CB,2013,856.5
Donte Whitner,S,2006,853.3
Antrel Rolle,CB,2005,849.9
Patrick Peterson,CB,2011,839.5
Logan Ryan,CB,2013,820.9
Roman Harper,S,2006,817.3999999999999
Michael Griffin,S,2007,814.8999999999999
Jessie Bates,S,2018,811.0
