Player,Pos,combine_year,NFL_production_value
Harrison Smith,S,2012,1201.3
Eric Weddle,S,2007,1126.1
Thomas Davis,S,2005,1084.8
Terence Newman,CB,2003,1051.6999999999998
Malcolm Jenkins,CB,2009,1026.2
Devin McCourty,CB,2010,1002.3
Charles Tillman,CB,2003,996.4
Kareem Jackson,CB,2010,947.1999999999999
DeAngelo Hall,CB,2004,944.2999999999998
Nate Clements,CB,2001,928.8999999999999
Jordan Poyer,CB,2013,923.8
Ed Reed,S,2002,908.2
Reggie Nelson,S,2007,902.5999999999999
Budda Baker,S,2017,858.8999999999999
Troy Polamalu,S,2003,857.4999999999999
Deon Grant,S,2000,844.8999999999999
Antrel Rolle,CB,2005,816.6999999999999
Darius Slay,CB,2013,810.4
Quentin Jammer,CB,2002,808.3
Donte Whitner,S,2006,803.6
Patrick Peterson,CB,2011,797.9
Logan Ryan,CB,2013,787.4000000000001
Jessie Bates,S,2018,786.7
Michael Griffin,S,2007,783.1999999999999
Roman Harper,S,2006,778.5999999999999
