Player,Pos,combine_year,NFL_production_value
Harrison Smith,S,2012,1211.45
Eric Weddle,S,2007,1149.85
Terence Newman,CB,2003,1118.6999999999998
Thomas Davis,S,2005,1084.5
Malcolm Jenkins,CB,2009,1062.35
Charles Tillman,CB,2003,1040.3
Devin McCourty,CB,2010,1031.1999999999998
Kareem Jackson,CB,2010,988.5
DeAngelo Hall,CB,2004,985.0999999999999
Nate Clements,CB,2001,974.3499999999999
Jordan Poyer,CB,2013,926.05
Ed Reed,S,2002,924.0
Reggie Nelson,S,2007,920.05
Troy Polamalu,S,2003,883.0999999999999
Darius Slay,CB,2013,879.5000000000001
Deon Grant,S,2000,875.1499999999999
Quentin Jammer,CB,2002,870.7
Budda Baker,S,2017,870.3
Patrick Peterson,CB,2011,832.3
Joe Haden,CB,2010,832.1
Antrel Rolle,CB,2005,830.4999999999999
Donte Whitner,S,2006,823.5
Logan Ryan,CB,2013,818.1
Sheldon Brown,CB,2002,808.3
Jessie Bates,S,2018,801.0
