Player,Pos,combine_year,NFL_production_value
Harrison Smith,S,2012,1604.75
Eric Weddle,S,2007,1532.25
Thomas Davis,S,2005,1461.7
Terence Newman,CB,2003,1423.5
Malcolm Jenkins,CB,2009,1396.25
Devin McCourty,CB,2010,1357.5
Charles Tillman,CB,2003,1351.9
Kareem Jackson,CB,2010,1298.2
DeAngelo Hall,CB,2004,1271.3999999999999
Nate Clements,CB,2001,1254.55
Jordan Poyer,CB,2013,1243.55
Reggie Nelson,S,2007,1207.05
Budda Baker,S,2017,1184.6000000000001
Ed Reed,S,2002,1181.2
Troy Polamalu,S,2003,1146.4
Deon Grant,S,2000,1137.95
Quentin Jammer,CB,2002,1111.6000000000001
Donte Whitner,S,2006,1111.1
Antrel Rolle,CB,2005,1107.3
Darius Slay,CB,2013,1104.0
Jessie Bates,S,2018,1071.0
Patrick Peterson,CB,2011,1063.9
Logan Ryan,CB,2013,1063.6
Michael Griffin,S,2007,1055.2
Roman Harper,S,2006,1051.9
