Player,Pos,combine_year,NFL_production_value
Harrison Smith,S,2012,1265.5
Eric Weddle,S,2007,1185.4999999999998
Terence Newman,CB,2003,1162.1
Thomas Davis,S,2005,1117.8
Malcolm Jenkins,CB,2009,1092.8
Charles Tillman,CB,2003,1080.4
Devin McCourty,CB,2010,1068.3
DeAngelo Hall,CB,2004,1029.5
Nate Clements,CB,2001,1013.5
Kareem Jackson,CB,2010,1012.6
Ed Reed,S,2002,992.2
Reggie Nelson,S,2007,962.5999999999999
Jordan Poyer,CB,2013,959.8
Troy Polamalu,S,2003,923.4999999999999
Deon Grant,S,2000,909.6999999999998
Darius Slay,CB,2013,908.1999999999999
Quentin Jammer,CB,2002,891.7
Budda Baker,S,2017,885.3
Patrick Peterson,CB,2011,871.1
Joe Haden,CB,2010,863.1999999999999
Antrel Rolle,CB,2005,859.2999999999998
Logan Ryan,CB,2013,846.2
Sheldon Brown,CB,2002,839.9000000000001
Donte Whitner,S,2006,836.6
Jessie Bates,S,2018,828.7
