score_bin,players,score_mean,proxy_outcome_mean
0,513,7.956255016626534,1.0763060428849902
1,515,21.259280411193604,3.2316990291262138
2,510,35.85651672433679,6.578607843137254
3,511,51.19920570968113,10.47054794520548
4,515,68.80691033695031,15.401699029126213
5,510,86.10311418685122,20.05871568627451
6,513,102.13983488132095,24.328255360623782
7,511,120.06780246345114,29.08528375733855
8,512,151.83082490808823,35.98787109375
9,513,520.1116844398578,124.41698830409356
