Player,Pos,combine_year,NFL_production_value
Harrison Smith,S,2012,1147.25
Eric Weddle,S,2007,1090.4499999999998
Thomas Davis,S,2005,1051.5
Terence Newman,CB,2003,1008.2999999999998
Malcolm Jenkins,CB,2009,995.75
Devin McCourty,CB,2010,965.1999999999999
Charles Tillman,CB,2003,956.3
Kareem Jackson,CB,2010,923.0999999999999
DeAngelo Hall,CB,2004,899.8999999999999
Jordan Poyer,CB,2013,890.05
Nate Clements,CB,2001,889.75
Reggie Nelson,S,2007,860.05
Budda Baker,S,2017,843.8999999999999
Ed Reed,S,2002,840.0
Troy Polamalu,S,2003,817.0999999999999
Deon Grant,S,2000,810.3499999999999
Donte Whitner,S,2006,790.5
Antrel Rolle,CB,2005,787.9
Quentin Jammer,CB,2002,787.3
Darius Slay,CB,2013,781.7
Logan Ryan,CB,2013,759.3000000000001
Patrick Peterson,CB,2011,759.0999999999999
Jessie Bates,S,2018,759.0
Roman Harper,S,2006,754.9999999999999
Michael Griffin,S,2007,753.3
