quantile,residual_quantile,abs_residual_quantile
0.05,-446.53687034307006,24.052931910610766
0.25,-211.117579450474,119.93721179713991
0.5,-41.49388493462067,217.6476322458702
0.75,230.0407528486649,438.76622301091356
0.95,886.375813390882,886.375813390882
