feature,coefficient,abs_value
cat__Pos_CB,2.0319131476291155,2.0319131476291155
cat__Pos_S,1.875405799412378,1.875405799412378
num__college_interceptions_z,0.16354568300763722,0.16354568300763722
num__weight_lb_z,0.16051439978729354,0.16051439978729354
num__college_fumble_recovery_tds_z,0.11993187930907108,0.11993187930907108
num__college_assisted_tackles_z,0.11649084340916277,0.11649084340916277
num__three_cone_sec_missing,-0.11337527928679972,0.11337527928679972
num__forty_yard_sec_z,-0.11157785018209826,0.11157785018209826
num__college_fumble_recoveries_z,0.10401658365366077,0.10401658365366077
num__vertical_jump_in_z,0.08239381013402194,0.08239381013402194
num__college_passes_defended_z,-0.07455681589264769,0.07455681589264769
num__college_sacks_z,0.06991383691488243,0.06991383691488243
num__shuttle_sec_z,-0.06751596858825064,0.06751596858825064
num__college_tfl_z,0.0662494091086721,0.0662494091086721
num__college_fumble_recovery_yards_z,-0.056076770524373654,0.056076770524373654
num__vertical_jump_in_missing,0.04718798060274802,0.04718798060274802
num__bench_reps_missing,-0.040591948564935865,0.040591948564935865
num__college_combined_tackles_z,0.03867754378193813,0.03867754378193813
num__broad_jump_in_z,0.0339915621804285,0.0339915621804285
num__bench_reps_z,-0.033083680250404125,0.033083680250404125
num__college_interception_yards_missing,-0.031178149267299317,0.031178149267299317
num__college_interceptions_missing,-0.031178149267299317,0.031178149267299317
num__college_games_z,0.03074508876932702,0.03074508876932702
num__height_in_z,-0.03042931015406942,0.03042931015406942
num__college_interception_tds_z,0.02581262741213763,0.02581262741213763
num__college_solo_tackles_z,-0.025774507353835182,0.025774507353835182
num__shuttle_sec_missing,0.02366978000203886,0.02366978000203886
num__college_forced_fumbles_z,-0.020537765801284205,0.020537765801284205
num__broad_jump_in_missing,0.017313275356591204,0.017313275356591204
num__height_in_missing,0.010528661675078304,0.010528661675078304
num__weight_lb_missing,0.010528661675078304,0.010528661675078304
num__forty_yard_sec_missing,-0.00847796289070614,0.00847796289070614
num__college_fumble_recoveries_missing,0.006554268433904605,0.006554268433904605
num__college_fumble_recovery_yards_missing,0.006554268433904605,0.006554268433904605
num__college_fumble_recovery_tds_missing,0.006554268433904605,0.006554268433904605
num__college_interception_yards_z,-0.004751969741881996,0.004751969741881996
num__college_combined_tackles_missing,0.0028835395551700983,0.0028835395551700983
num__college_solo_tackles_missing,0.0028835395551700983,0.0028835395551700983
num__college_assisted_tackles_missing,0.0028835395551700983,0.0028835395551700983
num__college_sacks_missing,0.0028835395551700983,0.0028835395551700983
num__college_tfl_missing,0.0028835395551700983,0.0028835395551700983
num__college_forced_fumbles_missing,0.0028835395551700983,0.0028835395551700983
num__college_passes_defended_missing,0.0028835395551700983,0.0028835395551700983
num__three_cone_sec_z,-0.0027055965472836544,0.0027055965472836544
num__college_games_missing,0.0,0.0
num__college_interception_tds_missing,0.0,0.0
