feature,importance,stddev,p_value,n,p99_high,p99_low,abs_value
college_combined_tackles_z,0.0354940028105446,0.005516914443715061,6.7839815566945e-05,5,0.04685340590201487,0.024134599719074327,0.0354940028105446
shuttle_sec_z,0.033853865880341026,0.002733518293466159,5.056735283433198e-06,5,0.03948221782782571,0.028225513932856345,0.033853865880341026
weight_lb_z,0.03152886577133951,0.002525468454425401,4.897895177979168e-06,5,0.03672884022468491,0.02632889131799411,0.03152886577133951
college_interceptions_z,0.029461787433628706,0.0037483506765360096,3.0774447513553525e-05,5,0.03717969328432835,0.021743881582929062,0.029461787433628706
college_games_z,0.02939601519588697,0.004684683471066342,7.484853327173004e-05,5,0.039041843212019096,0.019750187179754845,0.02939601519588697
college_tfl_z,0.028719610494643444,0.004537814682814172,7.236595163871897e-05,5,0.03806303364582197,0.01937618734346492,0.028719610494643444
forty_yard_sec_z,0.026773606681795938,0.0016451423057661752,1.7020975154034178e-06,5,0.030160977427651576,0.0233862359359403,0.026773606681795938
bench_reps_z,0.025522489927164837,0.003206461456452979,2.927577389572468e-05,5,0.032124638384008565,0.018920341470321112,0.025522489927164837
college_interception_yards_z,0.02534304234153213,0.0026716021384498596,1.4602446541923426e-05,5,0.030843908070066043,0.019842176612998214,0.02534304234153213
vertical_jump_in_z,0.01954954694117341,0.002257073686981315,2.0947776401089942e-05,5,0.024196892858741527,0.014902201023605295,0.01954954694117341
college_solo_tackles_z,0.015765120270812005,0.0011942645777359622,3.921738137122684e-06,5,0.018224127542860975,0.013306112998763036,0.015765120270812005
broad_jump_in_z,0.015378763378659866,0.00110001545069382,3.1198512655330625e-06,5,0.017643710395467693,0.013113816361852038,0.015378763378659866
college_assisted_tackles_z,0.013843756600018442,0.002878207503944473,0.00021185050691412526,5,0.019770025631695384,0.0079174875683415,0.013843756600018442
college_passes_defended_z,0.012508610875283965,0.0009667014574576822,4.24681936070669e-06,5,0.014499062537423385,0.010518159213144545,0.012508610875283965
three_cone_sec_z,0.009516397637254648,0.00037354690092490336,2.843019177548083e-07,5,0.010285535869225867,0.008747259405283429,0.009516397637254648
height_in_z,0.008850758200819219,0.0014501015414901484,8.345778809489879e-05,5,0.011836537317280675,0.005864979084357763,0.008850758200819219
college_fumble_recoveries_z,0.00820318754882412,0.0011734935327088172,4.891200183059179e-05,5,0.010619426952075846,0.005786948145572394,0.00820318754882412
college_forced_fumbles_z,0.006853140889616127,0.001358862422252289,0.0001761547512914912,5,0.00965105739850819,0.004055224380724065,0.006853140889616127
three_cone_sec_missing,0.004536477503116565,0.0007142662206118792,7.137173177284548e-05,5,0.0060071615235647215,0.003065793482668408,0.004536477503116565
college_sacks_z,0.0038594529017726754,0.000732142062189248,0.00014821889041487585,5,0.0053669435270990214,0.0023519622764463298,0.0038594529017726754
college_interception_tds_z,0.0034358979712794113,0.0006818590724192125,0.00017673841868323951,5,0.004839855225684479,0.002031940716874344,0.0034358979712794113
bench_reps_missing,0.00212862149456543,0.00029644068461812193,4.399373053690067e-05,5,0.0027389969614398223,0.0015182460276910378,0.00212862149456543
Pos,0.0015980705701771126,0.0004151403811998886,0.0005005839328310552,5,0.0024528503529175176,0.0007432907874367075,0.0015980705701771126
broad_jump_in_missing,0.0011258069660352588,0.0001339470070766598,2.3599598382914273e-05,5,0.0014016057049504832,0.0008500082271200344,0.0011258069660352588
college_fumble_recovery_tds_z,0.001082199922048299,0.0003693388013287634,0.0014029571485209443,5,0.0018426736187889493,0.0003217262253076488,0.001082199922048299
vertical_jump_in_missing,0.0009027336608542491,0.00012770892502114587,4.680871051272378e-05,5,0.0011656881025977135,0.0006397792191107847,0.0009027336608542491
college_fumble_recovery_yards_z,0.0008944866621548586,0.0004019218925637596,0.003808329808999961,5,0.0017220493940945456,6.692393021517158e-05,0.0008944866621548586
shuttle_sec_missing,0.0006660540491619127,0.00026953919183859303,0.0026199229439845175,5,0.0012210389705851114,0.00011106912773871402,0.0006660540491619127
college_interceptions_missing,6.233244597666498e-05,7.852817469234326e-05,0.07528846217183287,5,0.00022402304304291773,-9.935815108958777e-05,6.233244597666498e-05
height_in_missing,7.61882847624129e-06,9.693972278710388e-06,0.0768409656728186,5,2.7578851383041567e-05,-1.2341194430558985e-05,7.61882847624129e-06
forty_yard_sec_missing,0.0,0.0,0.5,5,0.0,0.0,0.0
college_passes_defended_missing,0.0,0.0,0.5,5,0.0,0.0,0.0
college_fumble_recoveries_missing,0.0,0.0,0.5,5,0.0,0.0,0.0
