feature,coefficient,abs_value
cat__Player_Micah Hyde,4.9845631054222626,4.9845631054222626
cat__Player_Kam Chancellor,4.969358971291153,4.969358971291153
cat__Player_Tanner Muse,-4.967044981472372,4.967044981472372
cat__Player_Harold Blackmon,-4.945320900562378,4.945320900562378
cat__Player_Denzel Ward,4.915411066285741,4.915411066285741
cat__Player_D'Joun Smith,-4.886832490501057,4.886832490501057
num__bench_reps_missing,-4.869428320646726,4.869428320646726
cat__Player_Marshon Lattimore,4.849405588663458,4.849405588663458
cat__Player_Will Poole,-4.847282173349691,4.847282173349691
cat__Player_Landon Collins,4.842149037852953,4.842149037852953
cat__Player_B.J. Tucker,-4.785895852298633,4.785895852298633
cat__Player_Adam Archuleta,4.776851130482857,4.776851130482857
cat__Player_Will Davis,-4.741128368900402,4.741128368900402
cat__Player_Ben Kelly,-4.6766877202985215,4.6766877202985215
cat__Player_Kerry Rhodes,4.675701171360822,4.675701171360822
cat__Player_Saquan Hampton,-4.653736733174838,4.653736733174838
cat__Player_Adam Jones,4.649079782572143,4.649079782572143
cat__Player_Damian Swann,-4.634704537783646,4.634704537783646
cat__Player_Tyvon Branch,4.621920336634439,4.621920336634439
cat__Player_Justin Simmons,4.60251088382593,4.60251088382593
cat__Player_Erik Olson,-4.589983778209063,4.589983778209063
cat__college_name_Colorado State,-4.589983778209063,4.589983778209063
cat__Player_Brandon Meriweather,4.552425971745164,4.552425971745164
cat__Player_Brandon Taylor,-4.540287573853511,4.540287573853511
cat__Player_Mark Roman,4.491879619091587,4.491879619091587
cat__college_name_LSU,4.491879619091587,4.491879619091587
cat__Player_John Johnson,4.445951005792536,4.445951005792536
cat__Player_Darcel McBath,-4.425429963828345,4.425429963828345
cat__Player_Willie Andrews,-4.4252871336804,4.4252871336804
cat__Player_Byron Murphy,4.421933674241526,4.421933674241526
cat__Player_Jalen Myrick,-4.398034455381529,4.398034455381529
cat__Player_Justin Gilbert,-4.384561597978539,4.384561597978539
cat__Player_Kevin Curtis,-4.378491851013799,4.378491851013799
cat__Player_Kenoy Kennedy,4.3664623153658315,4.3664623153658315
cat__Player_Armani Watts,-4.353807763590665,4.353807763590665
cat__Player_Earl Wolff,-4.353263351633487,4.353263351633487
cat__Player_Deommodore Lenoir,4.349832455060158,4.349832455060158
cat__Player_Marqueston Huff,-4.328721115322055,4.328721115322055
cat__Player_Sanders Commings,-4.3070517337716305,4.3070517337716305
cat__Player_Donte Jackson,4.302462035619015,4.302462035619015
cat__Player_Steven Nelson,4.297124995721548,4.297124995721548
cat__Player_Eric Wright,4.2796183469819065,4.2796183469819065
cat__Player_Brandon McGee,-4.279039048894723,4.279039048894723
cat__Player_A.J. Terrell,4.271771180937394,4.271771180937394
cat__Player_Jamal Adams,4.266597799517306,4.266597799517306
cat__Player_Ken Hamlin,4.256839368585251,4.256839368585251
cat__Player_Corey Webster,4.248259142502501,4.248259142502501
cat__Player_Myron Lewis,-4.247883397188759,4.247883397188759
cat__Player_Cedric Griffin,4.234053525347089,4.234053525347089
cat__Player_Jamie Henderson,-4.205391611221892,4.205391611221892
cat__Player_Derwin James,4.190833212520774,4.190833212520774
cat__Player_Lloyd Harrison,-4.1877696216821505,4.1877696216821505
cat__Player_Zack Sanchez,-4.179268552237065,4.179268552237065
cat__Player_Shane Walton,-4.148845894042457,4.148845894042457
cat__Player_Jerome Murphy,-4.148509755212936,4.148509755212936
cat__Player_Chris Conte,4.133640396961811,4.133640396961811
cat__Player_Carlos Rogers,4.123137661465095,4.123137661465095
cat__Player_Brock Williams,-4.115319737808555,4.115319737808555
cat__Player_Tyrone Carter,4.11026102983035,4.11026102983035
cat__Player_Brandyn Thompson,-4.10693297533941,4.10693297533941
cat__Player_Kevin Garrett,-4.102034271997117,4.102034271997117
cat__Player_James Boyd,-4.099329153927416,4.099329153927416
cat__Player_Eric Frampton,-4.094858454503027,4.094858454503027
cat__Player_Jabari Price,-4.081278200440456,4.081278200440456
cat__Player_Mike Echols,-4.079781786836157,4.079781786836157
cat__Player_Kyle Hamilton,4.0478159292509615,4.0478159292509615
cat__Player_Greg Blue,-4.046004737024534,4.046004737024534
cat__Player_Reggie Smith,-4.03690462861871,4.03690462861871
cat__Player_Xavier Rhodes,4.034218536446494,4.034218536446494
cat__Player_Bradley Roby,4.025599071211008,4.025599071211008
cat__Player_Desmond Trufant,4.020854974337932,4.020854974337932
cat__Player_John Wendling,-4.012693116796766,4.012693116796766
cat__Player_Lito Sheppard,4.011413823139811,4.011413823139811
cat__Player_Jermale Hines,-4.009662355221075,4.009662355221075
cat__Player_Nate Salley,-4.0077484765504545,4.0077484765504545
cat__Player_Dezmen Southward,-4.006364554155251,4.006364554155251
cat__Player_C.J. Wilson,-4.003773609893145,4.003773609893145
cat__Player_Derek Pagel,-3.995451375608163,3.995451375608163
cat__Player_Jamar Wall,-3.9884711645016826,3.9884711645016826
num__college_combined_tackles_z,3.9882650191286197,3.9882650191286197
num__college_combined_tackles,3.988265019128617,3.988265019128617
cat__Player_Joe Burnett,-3.9841823601378734,3.9841823601378734
cat__Player_Eli Apple,3.965030268940888,3.965030268940888
cat__Player_Curtis Marsh,-3.961070485183771,3.961070485183771
cat__Player_Shalom Luani,-3.959962616882282,3.959962616882282
cat__Player_Kris Richard,-3.9503251247807065,3.9503251247807065
cat__Player_Eric Hagg,-3.9364833590614556,3.9364833590614556
cat__Player_Duke Dawson,-3.9332342801371984,3.9332342801371984
cat__Player_Isaiah Johnson,-3.9253931264635638,3.9253931264635638
cat__Player_Daniel Bullocks,-3.90862061362595,3.90862061362595
cat__Player_Brandon Harrison,-3.88955952430911,3.88955952430911
cat__Player_Phillip Thomas,-3.865103736421292,3.865103736421292
cat__Player_David Macklin,3.864069750975037,3.864069750975037
cat__college_name_Penn State,3.864069750975037,3.864069750975037
cat__Player_Brandon Hogan,-3.8628595153316305,3.8628595153316305
cat__Player_Ashton Youboty,-3.854237562077216,3.854237562077216
cat__Player_Tyler Sash,-3.8447323845218935,3.8447323845218935
cat__Player_Derrick Martin,-3.8376522935945947,3.8376522935945947
cat__Player_Josh Barrett,-3.828015951030692,3.828015951030692
cat__Player_Hakim Akbar,-3.8249235723324317,3.8249235723324317
cat__Player_Dwight Lowery,3.799346026150807,3.799346026150807
cat__Player_Chris Young,-3.7861491646943444,3.7861491646943444
cat__Player_Jerraud Powers,3.772357621849567,3.772357621849567
cat__Player_Brandon Ghee,-3.768398908182937,3.768398908182937
cat__Player_Captain Munnerlyn,3.76598126354893,3.76598126354893
cat__Player_Jack Jones,3.764541930117251,3.764541930117251
num__weight_lb_missing,3.7596130948968005,3.7596130948968005
num__height_in_missing,3.7596130948968005,3.7596130948968005
cat__Player_Larry Asante,-3.7355748626166814,3.7355748626166814
cat__Player_Rich Gardner,-3.708360795642973,3.708360795642973
cat__Player_Sheldrick Redwine,-3.7081189081307566,3.7081189081307566
cat__Player_Jimmy Williams,-3.698586023599652,3.698586023599652
cat__Player_Jason Shivers,-3.6940934415866193,3.6940934415866193
cat__Player_Ahmad Black,-3.6925461578647285,3.6925461578647285
cat__Player_Craig Steltz,-3.6749331638338156,3.6749331638338156
cat__Player_Antoine Winfield Jr.,3.663985693840232,3.663985693840232
cat__Player_Lewis Cine,-3.6619284449284186,3.6619284449284186
cat__Player_Aqib Talib,3.661584541633605,3.661584541633605
cat__Player_Chris Houston,3.6491263247006205,3.6491263247006205
cat__Player_Willie Pile,-3.6464126385867477,3.6464126385867477
cat__Player_Xavier McKinney,3.645349688894461,3.645349688894461
cat__Player_Parry Nickerson,-3.622057057117829,3.622057057117829
cat__Player_Chevis Jackson,-3.601307991005577,3.601307991005577
cat__Player_Derrick Strait,-3.5921507897794944,3.5921507897794944
