quantile,residual_quantile,abs_residual_quantile
0.05,-372.13502825334393,35.33604659461891
0.25,-202.71220844595555,136.87123376020622
0.5,-18.0109284880304,218.59470382258468
0.75,276.25016946796654,367.7387279244041
0.95,853.1277818215779,871.5189445301016
