Player,Pos,combine_year,NFL_production_value
Harrison Smith,S,2012,1565.75
Eric Weddle,S,2007,1503.25
Thomas Davis,S,2005,1448.7
Terence Newman,CB,2003,1381.5
Malcolm Jenkins,CB,2009,1375.25
Devin McCourty,CB,2010,1322.5
Charles Tillman,CB,2003,1313.9
Kareem Jackson,CB,2010,1276.2
DeAngelo Hall,CB,2004,1228.3999999999999
Nate Clements,CB,2001,1218.55
Jordan Poyer,CB,2013,1218.55
Budda Baker,S,2017,1176.6000000000001
Reggie Nelson,S,2007,1169.05
Ed Reed,S,2002,1117.2
Troy Polamalu,S,2003,1114.4
Deon Grant,S,2000,1107.95
Donte Whitner,S,2006,1100.1
Quentin Jammer,CB,2002,1090.6000000000001
Antrel Rolle,CB,2005,1081.3
Darius Slay,CB,2013,1076.0
Logan Ryan,CB,2013,1044.6
Jessie Bates,S,2018,1044.0
Roman Harper,S,2006,1040.9
Michael Griffin,S,2007,1030.2
Patrick Peterson,CB,2011,1027.9
