Player,Pos,combine_year,NFL_production_value
Harrison Smith,S,2012,1702.9999999999998
Eric Weddle,S,2007,1619.3000000000002
Thomas Davis,S,2005,1561.6
Terence Newman,CB,2003,1513.3000000000002
Malcolm Jenkins,CB,2009,1485.3
Devin McCourty,CB,2010,1441.6
Charles Tillman,CB,2003,1421.1999999999998
Kareem Jackson,CB,2010,1382.3
DeAngelo Hall,CB,2004,1341.2
Nate Clements,CB,2001,1329.7
Jordan Poyer,CB,2013,1324.7
Reggie Nelson,S,2007,1284.0
Ed Reed,S,2002,1255.0
Budda Baker,S,2017,1246.8
Troy Polamalu,S,2003,1218.0
Deon Grant,S,2000,1212.9
Quentin Jammer,CB,2002,1184.8
Darius Slay,CB,2013,1179.5000000000002
Donte Whitner,S,2006,1176.0
Antrel Rolle,CB,2005,1172.1
Patrick Peterson,CB,2011,1147.1
Logan Ryan,CB,2013,1134.3
Roman Harper,S,2006,1126.9
Jessie Bates,S,2018,1123.7
Michael Griffin,S,2007,1121.7
