Player,Pos,combine_year,NFL_production_value
Harrison Smith,S,2012,1638.8
Eric Weddle,S,2007,1559.9
Thomas Davis,S,2005,1528.6
Malcolm Jenkins,CB,2009,1418.7
Terence Newman,CB,2003,1402.9
Devin McCourty,CB,2010,1375.6
Charles Tillman,CB,2003,1337.1999999999998
Kareem Jackson,CB,2010,1316.8999999999999
Jordan Poyer,CB,2013,1288.7
DeAngelo Hall,CB,2004,1256.0
Nate Clements,CB,2001,1245.1
Reggie Nelson,S,2007,1224.0
Budda Baker,S,2017,1220.3999999999999
Ed Reed,S,2002,1171.0
Troy Polamalu,S,2003,1152.0
Deon Grant,S,2000,1148.1
Donte Whitner,S,2006,1143.0
Antrel Rolle,CB,2005,1129.5
Quentin Jammer,CB,2002,1101.3999999999999
Roman Harper,S,2006,1086.7
Michael Griffin,S,2007,1085.7
Jessie Bates,S,2018,1081.7
Darius Slay,CB,2013,1081.7
Logan Ryan,CB,2013,1075.5
Patrick Peterson,CB,2011,1073.8999999999999
