Player,Pos,combine_year,NFL_production_value
Harrison Smith,S,2012,1623.75
Eric Weddle,S,2007,1553.25
Thomas Davis,S,2005,1508.3
Malcolm Jenkins,CB,2009,1409.25
Terence Newman,CB,2003,1401.5
Devin McCourty,CB,2010,1373.5
Charles Tillman,CB,2003,1335.1
Kareem Jackson,CB,2010,1314.8
Jordan Poyer,CB,2013,1279.95
DeAngelo Hall,CB,2004,1254.6000000000001
Nate Clements,CB,2001,1241.95
Reggie Nelson,S,2007,1219.45
Budda Baker,S,2017,1213.3999999999999
Ed Reed,S,2002,1166.8
Troy Polamalu,S,2003,1143.6
Deon Grant,S,2000,1143.55
Donte Whitner,S,2006,1140.9
Antrel Rolle,CB,2005,1126.7
Quentin Jammer,CB,2002,1101.3999999999999
Jessie Bates,S,2018,1081.0
Darius Slay,CB,2013,1081.0
Michael Griffin,S,2007,1080.8
Roman Harper,S,2006,1074.1
Patrick Peterson,CB,2011,1071.1
Logan Ryan,CB,2013,1066.4
